題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
CMU-113-Q01,FORMAL,False,D,D,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,2,2,4,,questions/Q01.png,0f657d108631bb934068402201065916a9594f620ca8e593cadb7cbf13c9bade,L1649,26.2 / Sorting Homology from Analogy,L1646,26.2 / Morphological and Molecular Homologies,題目問演化親緣推論，判別同源與同功是直接決策步驟，主歸26.2 Sorting Homology from Analogy。,同章Morphological and Molecular Homologies支援rRNA及構造證據；不另以一般演化史作主分類。,採D。同功相似可能源於趨同，不能單憑此推論近緣；rRNA同源序列、同源構造與生物地理均可提供歷史證據。「無法幫助」應讀為不能把同功當共享祖徵，而非否認其生態研究價值。,"558,559","607,608",Codex /root,CMU-113-R2-Q01
CMU-113-Q02,FORMAL,False,B,B,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,2,2,4,,questions/Q02.png,e4a9c6fce5d8b49c0a65ed79e1a9e1b42967907367d7739315e70b30b5f495b6,L0662,10.3 / A Comparison of Chemiosmosis in Chloroplasts and Mitochondria,"L0656,L0585",10.3 / Linear Electron Flow ; 9.4 / Chemiosmosis: The Energy-Coupling Mechanism,題幹直接比較葉綠體與粒線體化學滲透，10.3的比較條目比整章光合作用精確。,保留同章線性電子流及9.4化學滲透，分別核對電子來源及ATP形成。,採B。葉綠體線性電子流由水供電子，NADPH是產物；粒線體以NADH、FADH2供電子。兩者均由膜上電子傳遞建立質子驅動力，再使質子沿梯度通過ATP合成酶。,"197,198,199,200,175","246,247,248,249,224",Codex /root,CMU-113-R2-Q02
CMU-113-Q03,FORMAL,False,B,B,維持原答案B,2,2,4,8,questions/Q03.png,a0f258130e821b55bfc7e782df7d2b42313cad0d2dee5b0cde25f79152d26f5a,L1488,24.1 / The Biological Species Concept,L1501,24.2 / Sympatric (“Same Country”) Speciation,生殖隔離如何定義物種是判斷目的論錯句的核心，主歸24.1 The Biological Species Concept。,同域種化直接核對C，保存同章最小次條目。,官方維持B。生殖隔離是演化過程的結果，不能目的論地說為了保存生殖能力。A限於生物學物種概念，不能普遍套於無性生殖或化石物種；D的生態交會區與沙漠比較缺乏條件，並非普遍速率定律。分類仍明確屬物種形成。,"507,508,510,513,515","556,557,559,562,564",Codex /root,CMU-113-R2-Q03
CMU-113-Q04,FORMAL,False,C,C,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,2,2,4,,questions/Q04.png,9269f6ab987569b6744ff8f193a59de4e525300a646be01c77293d7f4ef61a15,L1412,22.3 / Homology,,,三種共同祖源證據與棲地相似的區別，直接屬22.3 Homology。,無必要次條目；分子與胚胎同源已在此最小條目涵蓋，不把水棲字樣另計生態章。,採C。共同使用DNA、脊椎動物胚胎相似與前肢骨骼模式支持同源；鯊魚與海豚同為水棲只描述生活環境，不能直接作同源構造例子。,"479,480","528,529",Codex /root,CMU-113-R2-Q04
CMU-113-Q05,FORMAL,False,A,A,維持原答案A,2,2,4,8,questions/Q05.png,22c6692de8601f54d6ec6b53f14eea2bc3a1035cc6123765013820947296cadf,L1136,18.3 / Effects on mRNAs by MicroRNAs and Small Interfering RNAs,"L1139,L0948,L1091",18.3 / Chromatin Remodeling and Effects on Transcription by ncRNAs ; 15.2 / X Inactivation in Female Mammals ; 17.5 / Using CRISPR to Edit Genes and Correct Disease-Causing Mutations,錯句聚焦siRNA鏈狀態及沉默作用，主歸18.3 Effects on mRNAs by MicroRNAs and Small Interfering RNAs。,同章ncRNA染色質調控及15.2 X失活對應XIST，17.5 CRISPR條目對應Cas9引導RNA；這兩種機制不冒充RNAi。,官方維持A。釋疑以siRNA雙股形式判錯；本地12e區分多為雙股的前體與處理後小RNA，RISC作用時保留單股引導鏈，原始研究亦能以單股反義siRNA引導切割。因此不能把「siRNA在任何階段均非單股」當科學結論。miRNA、XIST與CRISPR各自機制分開。,"379,380,381,300,360,361","428,429,430,349,409,410",Codex /root,CMU-113-R2-Q05
CMU-113-Q06,FORMAL,False,C,C,維持原答案C,2,2,4,"8,9",questions/Q06.png,101bb54134962356cc4d9ec48a38ddb6ff5448d0774455a6e31ac5d1bf6760aa,L0333,6.3 / The Nucleus: Information Central,L0336,6.3 / Ribosomes: Protein Factories,核仁的rRNA合成與核糖體次單元組裝，最小對應6.3 The Nucleus: Information Central。,同章Ribosomes: Protein Factories補充活躍蛋白質合成的需求。,官方維持C。代謝與蛋白質合成活躍的細胞常有明顯核仁；原題問「能觀察」比釋疑的「最容易觀察」寬。核仁是否存在仍依分裂階段及細胞類型，不能據此斷言所有老化或減數分裂細胞全程無核仁，也不能把所有木質化細胞都當死細胞。,"102,103","151,152",Codex /root,CMU-113-R2-Q06
CMU-113-Q07,FORMAL,False,A,A,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,2,2,4,,questions/Q07.png,3791b1d185e3ebbad3400c89dc1e115adc3c6bb3eba2b4a8948de53c62c513ff,L0433,7.2 / Transport Proteins,"L0443,L0450",7.3 / Facilitated Diffusion: Passive Transport Aided by Proteins ; 7.4 / The Need for Energy in Active Transport,共同點是轉運蛋白對溶質的選擇性，主歸7.2 Transport Proteins。,促進擴散與主動運輸能量需求各有獨立最小條目，兩者同章仍保留。,採A。兩種載體均有專一性；載體數有限可出現飽和。促進擴散沿電化學梯度不直接耗ATP，主動運輸利用能量逆梯度；並非所有主動運輸都直接水解ATP。,"132,135,136","181,184,185",Codex /root,CMU-113-R2-Q07
CMU-113-Q08,FORMAL,False,A,A,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,3,3,4,,questions/Q08.png,4c9e4485d24f38f96f80d84e41a622cadeec579178740943d7c97865f132c608,L3381,50.5 / Vertebrate Skeletal Muscle,,,神經肌肉接合到Ca2+啟動橫橋的順序完整位於50.5 Vertebrate Skeletal Muscle。,無必要次條目；此條目正文已直接描述ACh、T管、肌漿網與troponin的連續事件。,採A，順序3→7→4→1→2→5→6：ACh釋放、肌膜動作電位、T管傳播、肌漿網釋鈣、鈣結合troponin、橫橋循環、擊球。原題Ca+2寫法保留。,"1127,1128,1129","1176,1177,1178",Codex /root,CMU-113-R2-Q08
CMU-113-Q09,FORMAL,False,B,B,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,3,3,4,,questions/Q09.png,50e2bb1a17117ea4577117db990fd42e4b1d1d3810e6632f8661c16284a7f743,L3381,50.5 / Vertebrate Skeletal Muscle,L3212,48.3 / Conduction of Action Potentials,檢驗ATP在肌球蛋白循環與肌漿網回收Ca2+中的功能，主歸50.5骨骼肌。,48.3動作電位傳導補充B錯誤所在；Q8背景原圖與題文一併保留。,採B。ATP結合使myosin離開actin，水解使頭部重新蓄能；Ca2+泵耗能回收鈣，持久運動靠氧化代謝。T管動作電位靠離子通道與膜電性傳播；ATP維持梯度等間接作用不等於直接供能加速T管訊號。,"1127,1128,1129,1130,1075","1176,1177,1178,1179,1124",Codex /root,CMU-113-R2-Q09
CMU-113-Q10,FORMAL,False,B,B,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,3,3,4,,questions/Q10.png,99ddc68920ed7fc62cb4ba8087c9f15cff53f6d313d33ad7e68695d21e4fc532,L3364,50.3 / The Vertebrate Visual System,,,視網膜到視神經及視覺中樞的路徑直接位於50.3 The Vertebrate Visual System。,無另列次章；腦部路徑已包含於該條目。,採B，2→5→1→3→4。光感受器訊息經雙極細胞等網路到神經節細胞，再由其軸突組成視神經、經丘腦中繼到視皮層。題列1與3都是視神經路徑的不同敘述，並非兩條不同腦神經。,"1119,1120,1121,1122","1168,1169,1170,1171",Codex /root,CMU-113-R2-Q10
CMU-113-Q11,FORMAL,False,A,A,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,3,3,4,,questions/Q11.png,65aa87f3e0feb66027495bc1b80d5f39a4f9fda9637ef67a38a6820de57e037e,L3245,49.1 / The Peripheral Nervous System,L3039,45.3 / Adrenal Hormones: Response to Stress,戰或逃的器官效應是交感周邊神經調節，主歸49.1 The Peripheral Nervous System。,45.3腎上腺壓力反應補充肝臟燃料動員及內分泌協同。,採A。交感作用使瞳孔放大、心跳加速、肝臟釋葡萄糖，並抑制胃腸活動；不是增加腸胃活動。,"1088,1089,1012,1013","1137,1138,1061,1062",Codex /root,CMU-113-R2-Q11
CMU-113-Q12,FORMAL,False,B,B,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,3,3,4,,questions/Q12.png,4b5ebc51c303dec0162d2ef761d1d57daf5b7574491890d21cbd81ce07576c1b,L3245,49.1 / The Peripheral Nervous System,L3231,48.4 / Neurotransmitters,題目指定神經末梢到器官，49.1周邊神經正文直接區分節前與節後傳遞物。,48.4 Neurotransmitters支援正腎上腺素的化學傳遞角色；Q11背景保留。,採B。多數交感節後神經元釋放norepinephrine；交感節前主要用ACh，部分節後通路也例外。不能把血中腎上腺髓質激素與所有末梢傳遞物混為一談。,"1089,1080,1081","1138,1129,1130",Codex /root,CMU-113-R2-Q12
CMU-113-Q13,FORMAL,False,C,C,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,3,3,4,,questions/Q13.png,dd85b2a5401e3bf55b768a7a04fad676001051ea4da4a8dcc5c17239bec9253f,L1107,18.1 / Operons: The Basic Concept,L1199,19.2 / Replicative Cycles of Phages,最可能的多基因共同轉錄調控是operon，主歸18.1 Operons: The Basic Concept。,19.2噬菌體複製週期提供病毒宿主與抑制蛋白背景，避免只因病毒字樣歸整章病毒。,採C。細菌宿主可用單一啟動子共同調控多基因，噬菌體也有協調表現。病毒可同時使用正負向調控，故B排他敘述不成立；不能把D轉錄活化因子斷言為噬菌體完全不存在，只是C最符合題意。,"366,367,368,403","415,416,417,452",Codex /root,CMU-113-R2-Q13
CMU-113-Q14,FORMAL,False,C,C,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,3,3,4,,questions/Q14.png,2e3264781dcc75c44b8c0ce85e65d7382748cbef6912420353f7d577fa6c54ab,L0355,6.4 / The Endomembrane System: A Review,"L0349,L1075",6.4 / Lysosomes: Digestive Compartments ; 17.4 / Completing and Targeting the Functional Protein,分泌蛋白經內膜系統運送，主歸6.4 The Endomembrane System: A Review。,同章溶酶體消化功能及17.4蛋白定位分別支持排除C與ER訊號肽。,採C。一般真核分泌路徑為核內轉錄、核糖體/粗糙ER合成、Golgi加工及囊泡胞吐；溶酶體主要細胞內消化，並非此一般路徑必經站。,"108,109,107,353,354","157,158,156,402,403",Codex /root,CMU-113-R2-Q14
CMU-113-Q15,FORMAL,False,A,A,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,4,4,4,,questions/Q15.png,cf28c8c9cb1a8bc83e3ab5ccec376ecde9960be2ad7df451bbd3a732fa1f5ffc,L2792,42.3 / Capillary Function,L2802,42.4 / Blood Composition and Function,白蛋白不足改變微血管兩側滲透力並促進組織液累積，主歸42.3 Capillary Function。,42.4血液成分條目直接提供albumin與血漿滲透平衡作用。,採A。白蛋白不足使血漿膠體滲透壓下降，利於液體留在組織間。肝病水腫可有其他機制，本題所給選項以白蛋白不足最直接；不把單一機制外推成全部肝病水腫唯一原因。,"932,933,934","981,982,983",Codex /root,CMU-113-R2-Q15
CMU-113-Q16,FORMAL,False,B,B,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,4,4,4,,questions/Q16.png,66742ed819855b7c3c65a615b4eb79fe3d6d4a9728402391a3f62bc591199a0d,L2773,42.2 / The Mammalian Heart: A Closer Look,L2789,42.3 / Blood Pressure,未代償出血導致回心血量與搏出量下降，直接考42.2 The Mammalian Heart: A Closer Look中的心輸出量。,42.3 Blood Pressure連結流量、血量及血壓，不以反射性心跳加速作本題主因。,採B。循環血量減少使靜脈回流及心室充盈降低，搏出量下降，心輸出量下降；題幹已排除代償，不能選反射心搏加速。,"927,930,931,932","976,979,980,981",Codex /root,CMU-113-R2-Q16
CMU-113-Q17,FORMAL,False,C,A或C,原C，官方更正為A或C,4,4,4,9,questions/Q17.png,5e211b34781774c9d8dfc809a1fd93433c146783efc07e6a374d4a345e0c999b,L2967,44.3 / Survey of Excretory Systems,L2974,44.4 / From Blood Filtrate to Urine: A Closer Look,腎絲球壓力形成濾液屬44.3 Survey of Excretory Systems的脊椎動物腎與腎元最小條目。,44.4 From Blood Filtrate to Urine補充鮑氏囊及後續濾液處理；入球血管細部由官方教科書補足。,原答案表C，官方更正A或C。入球擴張在其他條件固定時可提高腎絲球血流與靜水壓；腎絲球靜水壓上升增加淨過濾力，鮑氏囊壓力上升則抵抗過濾。不能把提高GFR與所有調節條件下的結果混同。,"985,986,987,988","1034,1035,1036,1037",Codex /root,CMU-113-R2-Q17
CMU-113-Q18,FORMAL,False,D,D,未列於已取得113生物釋疑PDF8–12；依同年度原答案PDF4採計,4,4,4,,questions/Q18.png,5a7ba86dfe22fb7cffec0aefa1bdc6f3b31dc1b921ce78501aa7da54eeebb1c6,L2977,44.4 / Solute Gradients and Water Conservation,,,逆流倍增建立髓質溶質梯度以保水，主歸44.4 Solute Gradients and Water Conservation。,無必要次條目；不是葡萄糖重吸收、尿溫或酸鹼調節題。,採D。Henle環水與鹽通透性差異建立髓質高滲梯度，集合管依水通透性使尿液濃縮；直小血管逆流交換協助維持梯度，與Henle環倍增的角色不同。,"989,990,991","1038,1039,1040",Codex /root,CMU-113-R2-Q18
