mode,chapter_number,chapter,count
primary,42,Ch42 Circulation and Gas Exchange,10
primary,9,Ch09 Cellular Respiration and Fermentation,4
primary,15,Ch15 The Chromosomal Basis of Inheritance,3
primary,18,Ch18 Regulation of Gene Expression,3
primary,41,Ch41 Animal Nutrition,3
primary,44,Ch44 Osmoregulation and Excretion,3
primary,7,Ch07 Membrane Structure and Function,2
primary,10,Ch10 Photosynthesis,2
primary,39,Ch39 Plant Responses to Internal and External Signals,2
primary,48,"Ch48 Neurons, Synapses, and Signaling",2
primary,49,Ch49 Nervous Systems,2
primary,50,Ch50 Sensory and Motor Mechanisms,2
primary,6,Ch06 A Tour of the Cell,1
primary,13,Ch13 Meiosis and Sexual Life Cycles,1
primary,14,Ch14 Mendel and the Gene Idea,1
primary,16,Ch16 The Molecular Basis of Inheritance,1
primary,19,Ch19 Viruses,1
primary,20,Ch20 DNA Tools and Biotechnology,1
primary,23,Ch23 The Evolution of Populations,1
primary,25,Ch25 The History of Life on Earth,1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,45,Ch45 Hormones and the Endocrine System,1
primary,47,Ch47 Animal Development,1
primary,56,Ch56 Conservation Biology and Global Change,1
secondary,41,Ch41 Animal Nutrition,2
secondary,5,Ch05 The Structure and Function of Large Biological Molecules,1
secondary,6,Ch06 A Tour of the Cell,1
secondary,12,Ch12 The Cell Cycle,1
secondary,14,Ch14 Mendel and the Gene Idea,1
secondary,16,Ch16 The Molecular Basis of Inheritance,1
secondary,17,Ch17 Gene Expression: From Gene to Protein,1
secondary,45,Ch45 Hormones and the Endocrine System,1
secondary,48,"Ch48 Neurons, Synapses, and Signaling",1
both,42,Ch42 Circulation and Gas Exchange,10
both,41,Ch41 Animal Nutrition,5
both,9,Ch09 Cellular Respiration and Fermentation,4
both,15,Ch15 The Chromosomal Basis of Inheritance,3
both,18,Ch18 Regulation of Gene Expression,3
both,44,Ch44 Osmoregulation and Excretion,3
both,48,"Ch48 Neurons, Synapses, and Signaling",3
both,6,Ch06 A Tour of the Cell,2
both,7,Ch07 Membrane Structure and Function,2
both,10,Ch10 Photosynthesis,2
both,14,Ch14 Mendel and the Gene Idea,2
both,16,Ch16 The Molecular Basis of Inheritance,2
both,39,Ch39 Plant Responses to Internal and External Signals,2
both,45,Ch45 Hormones and the Endocrine System,2
both,49,Ch49 Nervous Systems,2
both,50,Ch50 Sensory and Motor Mechanisms,2
both,5,Ch05 The Structure and Function of Large Biological Molecules,1
both,12,Ch12 The Cell Cycle,1
both,13,Ch13 Meiosis and Sexual Life Cycles,1
both,17,Ch17 Gene Expression: From Gene to Protein,1
both,19,Ch19 Viruses,1
both,20,Ch20 DNA Tools and Biotechnology,1
both,23,Ch23 The Evolution of Populations,1
both,25,Ch25 The History of Life on Earth,1
both,38,Ch38 Angiosperm Reproduction and Biotechnology,1
both,47,Ch47 Animal Development,1
both,56,Ch56 Conservation Biology and Global Change,1
