mode,chapter_number,chapter,count
primary,49,Ch49 Nervous Systems,6
primary,42,Ch42 Circulation and Gas Exchange,4
primary,43,Ch43 The Immune System,3
primary,44,Ch44 Osmoregulation and Excretion,3
primary,45,Ch45 Hormones and the Endocrine System,3
primary,12,Ch12 The Cell Cycle,2
primary,17,Ch17 Gene Expression: From Gene to Protein,2
primary,18,Ch18 Regulation of Gene Expression,2
primary,21,Ch21 Genomes and Their Evolution,2
primary,33,Ch33 An Introduction to Invertebrates,2
primary,47,Ch47 Animal Development,2
primary,48,"Ch48 Neurons, Synapses, and Signaling",2
primary,50,Ch50 Sensory and Motor Mechanisms,2
primary,6,Ch06 A Tour of the Cell,1
primary,7,Ch07 Membrane Structure and Function,1
primary,11,Ch11 Cell Communication,1
primary,14,Ch14 Mendel and the Gene Idea,1
primary,16,Ch16 The Molecular Basis of Inheritance,1
primary,24,Ch24 The Origin of Species,1
primary,25,Ch25 The History of Life on Earth,1
primary,26,Ch26 Phylogeny and the Tree of Life,1
primary,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
primary,34,Ch34 The Origin and Evolution of Vertebrates,1
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,1
primary,37,Ch37 Soil and Plant Nutrition,1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,41,Ch41 Animal Nutrition,1
primary,54,Ch54 Community Ecology,1
secondary,42,Ch42 Circulation and Gas Exchange,3
secondary,45,Ch45 Hormones and the Endocrine System,2
secondary,49,Ch49 Nervous Systems,2
secondary,6,Ch06 A Tour of the Cell,1
secondary,11,Ch11 Cell Communication,1
secondary,16,Ch16 The Molecular Basis of Inheritance,1
secondary,17,Ch17 Gene Expression: From Gene to Protein,1
secondary,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
secondary,37,Ch37 Soil and Plant Nutrition,1
secondary,43,Ch43 The Immune System,1
secondary,48,"Ch48 Neurons, Synapses, and Signaling",1
both,49,Ch49 Nervous Systems,8
both,42,Ch42 Circulation and Gas Exchange,7
both,45,Ch45 Hormones and the Endocrine System,5
both,43,Ch43 The Immune System,4
both,17,Ch17 Gene Expression: From Gene to Protein,3
both,44,Ch44 Osmoregulation and Excretion,3
both,48,"Ch48 Neurons, Synapses, and Signaling",3
both,6,Ch06 A Tour of the Cell,2
both,11,Ch11 Cell Communication,2
both,12,Ch12 The Cell Cycle,2
both,16,Ch16 The Molecular Basis of Inheritance,2
both,18,Ch18 Regulation of Gene Expression,2
both,21,Ch21 Genomes and Their Evolution,2
both,33,Ch33 An Introduction to Invertebrates,2
both,37,Ch37 Soil and Plant Nutrition,2
both,47,Ch47 Animal Development,2
both,50,Ch50 Sensory and Motor Mechanisms,2
both,7,Ch07 Membrane Structure and Function,1
both,14,Ch14 Mendel and the Gene Idea,1
both,24,Ch24 The Origin of Species,1
both,25,Ch25 The History of Life on Earth,1
both,26,Ch26 Phylogeny and the Tree of Life,1
both,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
both,34,Ch34 The Origin and Evolution of Vertebrates,1
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,1
both,38,Ch38 Angiosperm Reproduction and Biotechnology,1
both,41,Ch41 Animal Nutrition,1
both,54,Ch54 Community Ecology,1
