題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
CMU-112-Q01,FORMAL,False,B,B,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,2,2,4,,questions/Q01.png,5543340045fe1f9cf9428853c12cea0772a5fd875db3a30121e4a18e2afea538,L3787,56.4 / Greenhouse Gases and Climate Change,L3483,52.1 / Global Climate Change,辨識甲烷的溫室效應與人為濃度增加，主列56.4溫室氣體與氣候變遷。,52.1全球氣候變遷保留大氣組成改變的生態背景；不另列單純分子化學。,官方B。CH4為適合的選項；題給相對CO2約30%的總貢獻是原題估計，需區分年份、輻射強迫與單位質量或分子效力，不視為固定比例。,"1278,1279,1170","1327,1328,1219",Codex /root,CMU-112-R2-Q01
CMU-112-Q02,FORMAL,False,D,D,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,2,2,4,,questions/Q02.png,8f00454bc9682754ab98206b26ae7307962847fca59d394982bf00b47109f822,L1196,19.2 / General Features of Viral Replicative Cycles,"L1189,L1202",19.1 / Structure of Viruses ; 19.2 / Replicative Cycles of Animal Viruses,考病毒表面蛋白辨識宿主受體的附著步驟，主列19.2一般複製週期。,19.1結構與19.2動物病毒週期分別保留表面蛋白及宿主範圍脈絡。,官方D（I、III）。HIV gp120與腺病毒fiber具有附著功能；流感主要為HA，VP7屬輪狀病毒；gp350/220屬EBV而非麻疹。具名蛋白由補充來源支援。,"399,400,401,404,405","448,449,450,453,454",Codex /root,CMU-112-R2-Q02
CMU-112-Q03,FORMAL,False,C,C,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,2,2,4,,questions/Q03.png,d3323582fe9976db9369e4c50d707181e0fc8917f3b53760a8a85bd292f3b3af,L3686,55.2 / Ecosystem Energy Budgets,,,題目須區分GPP、自營與全生態系呼吸，主列55.2生態系能量預算。,全部運算均屬同一最小條目，無另加次條目。,官方C=150，採題意將90視為淨碳累積，GPP=90+40+20。Campbell用NEP=GPP−總呼吸；通量學常用NEE=總呼吸−GPP。若直接套後者且90為正，得GPP=−30，與題意不合。保留NEE名稱及符號未交代的衝突。,"1241,1242","1290,1291",Codex /root,CMU-112-R2-Q03
CMU-112-Q04,FORMAL,False,A,A,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,2,2,4,,questions/Q04.png,98b7746678c4693b6a9972b83e23e86adb128a4f7f53e16c72ec7bb358cd01dc,L3620,54.2 / Species with a Large Impact,,,需讀原圖的生物量與總影響雙軸，辨識關鍵及基礎物種，主列54.2影響大的物種。,兩種物種都在同一最小條目，不以一般多樣性重複分類。,官方A。圖A為低生物量高影響的關鍵物種；圖B為高生物量高影響的基礎物種。完整保留A–D四點及雙軸；並非所有基礎物種都僅由生物量定義。,"1225,1226","1274,1275",Codex /root,CMU-112-R2-Q04
CMU-112-Q05,FORMAL,False,A,A,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,2,2,4,,questions/Q05.png,c7c20635c932af10ba02407d30f1b5adfda5264befcb9e20d0bccbb8a1716a6f,L1189,19.1 / Structure of Viruses,,,比較疱疹病毒的基因組大小，主列19.1病毒結構中病毒基因組部分。,不是人類基因組比較，無須將21章Genome Size列為主次。,官方A。在四個人類疱疹病毒選項中CMV基因組最大，約230–240kb，EBV約170kb、HSV約150kb、VZV約125kb；株別長度可異。不把此題擴張為整個疱疹病毒類群最大者。,"399,400","448,449",Codex /root,CMU-112-R2-Q05
CMU-112-Q06,FORMAL,False,D,D,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,2,2,4,,questions/Q06.png,b3442c25461cffa8fcf36141d5d9959f85805e15b4e456ef2a2942abb8345596,L0634,10.2 / Tracking Atoms Through Photosynthesis,L0656,10.3 / Linear Electron Flow,計算光合作用淨反應的水與氧係數，主列10.2光合作用原子追蹤。,10.3線性電子流保留水光解及氧來源，可解釋淨耗水與總光解量不同。,官方D。依題明定淨反應，每葡萄糖淨耗6H2O並產6O2，12兆對應72兆與72兆。若分解指光系統II實際光解，產6O2須12H2O，即144兆水；題目把分解與淨耗水混用，兩者分開。,"190,191,197,198","239,240,246,247",Codex /root,CMU-112-R2-Q06
CMU-112-Q07,FORMAL,False,B,B,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,2,2,4,,questions/Q07.png,ac3b8190410b465247de6e5b40d57c15c406b24cce19181777b2e4defdcc8212,L3474,52.1 / Regional and Local Effects on Climate,,,核心為海氣耦合改變區域氣候，主列52.1氣候的區域與局部效應。,海洋環流是此條目內的Bodies of Water內容，無另造ENSO目錄節點。,官方B。El Niño暖相時信風減弱，東太平洋上升流減弱或停止。ENSO含冷暖相，不能把暖相特徵套到所有ENSO狀態；具名機制由NOAA補足。,"1168,1169,1170","1217,1218,1219",Codex /root,CMU-112-R2-Q07
CMU-112-Q08,FORMAL,False,B,B,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,3,3,4,,questions/Q08.png,e2c7999d854d3545e33340c56aab78bcfe3198c1a08893c1d2b0993abff1f518,L0517,8.4 / The Activation Energy Barrier,"L0491,L0520","8.2 / Free-Energy Change, ΔG ; 8.4 / How Enzymes Speed Up Reactions",負ΔG仍極慢的直接原因是活化能障礙，主列8.4活化能障礙。,8.2自由能與8.4酵素加速反應保留熱力學和動力學的區別。,官方B。自發性不保證速率快；反應需跨越活化能障礙，酵素降低障礙而不改變反應ΔG。負ΔG亦不違反第二定律。,"147,153,154","196,202,203",Codex /root,CMU-112-R2-Q08
CMU-112-Q09,FORMAL,False,C,C,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,3,3,4,,questions/Q09.png,f22619b1674e173847b087496ad862d5db5ebdc185738bd988a49a60b252a5e1,L0698,11.1 / Local and Long-Distance Signaling,L0792,12.3 / Loss of Cell Cycle Controls in Cancer Cells,判斷局部腫瘤細胞間訊號的作用距離，主列11.1局部與遠距訊號。,12.3癌細胞失去週期控制保留腫瘤生長的應用背景。,官方C。題設最符合旁分泌；小且未轉移本身不是旁分泌的充分實驗證明，這是四選一模型判斷。背景流行率是原題敘述，未當作現行流行病學資料。,"215,216,248,249","264,265,297,298",Codex /root,CMU-112-R2-Q09
CMU-112-Q10,FORMAL,False,B,B,未列於已取得112生物釋疑PDF5–6；依同年度原答案PDF4採計,3,3,4,,questions/Q10.png,011e258e7c9d829ef17ce2108828611915d0d54e7663beca3adf2f7563410ffa,L0824,13.2 / Sets of Chromosomes in Human Cells,L0763,12.1 / Distribution of Chromosomes During Eukaryotic Cell Division,求單倍體數與體細胞染色體數，主列13.2人類細胞染色體組套並套用假設哺乳類。,12.1染色體分配條目釐清每條複製染色體含兩條姊妹染色質絲。,官方B。在正常二倍體核型分析、姊妹絲尚未分離的假設下，32姊妹絲=16條染色體，n=8。不能只按DNA分子數宣稱32條染色體。,"256,257,236","305,306,285",Codex /root,CMU-112-R2-Q10
