題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-115-Q01,FORMAL,False,D,D,同年度釋疑維持原答案D,1,24,1,1,7,questions/Q01.png,e33f0e2458f05f1a90007afd8f4674c9faa5c0b6dae89e77f66a94f549f3e461,L0676,10.5 / C4 Plants,,,10.5 / C4 Plants：題幹問送往何處進行C4植物的後續固碳，須區別葉肉初次固定與維管束鞘Calvin循環。,無另列最小次條目；同年度釋疑保留D；分類確定為C4 Plants，葉肉也有初次固定的科學界線保留。,官方D且釋疑維持D。PEP羧化酶在葉肉先將無機碳固定成四碳酸，再送到維管束鞘釋放CO2供Calvin循環；不能把釋疑的「只捕捉」擴張成葉肉不發生初次碳固定。,"203,204","252,253",Codex /root,ISU-115-R2-Q01
ISU-115-Q02,FORMAL,False,B,B,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q02.png,348adcd7ab9c141d5265ce36a49e5725d57a36cbfdcd66835e4af1157954a16a,L0608,9.6 / The Versatility of Catabolism,,,9.6 / The Versatility of Catabolism：考脂肪酸分解如何匯入中央呼吸途徑，屬分解代謝多樣性。,無另列最小次條目；乙醯CoA為所問匯入形式，分類在分解代謝多樣性，不依選項字面另加每個循環條目。,B。一般脂肪酸β氧化產生乙醯CoA，進入檸檬酸循環；不能寫成脂肪直接進入糖解作用。題目採一般路徑，非逐一列出所有特殊脂肪酸的末端產物。,"182,183","231,232",Codex /root,ISU-115-R2-Q02
ISU-115-Q03,FORMAL,False,B,B,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q03.png,a5e57c25fe329536811e727237096eaae651077158823308b759506d6fac0c7a,L1010,16.2 / DNA Replication: A Closer Look,,,16.2 / DNA Replication: A Closer Look：解旋酶拆開複製叉的DNA雙股，屬複製機制。,無另列最小次條目；B與複製叉機制一致，不把topoisomerase當解開配對雙股的主角。,B。解旋酶分開配對股；拓樸異構酶處理複製叉前的扭轉應力，連接酶接合DNA片段，引發酶製造引子。,"322,323,324","371,372,373",Codex /root,ISU-115-R2-Q03
ISU-115-Q04,FORMAL,False,C,C,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q04.png,ba9078f6067bdd4c46f5dd3e58e4eb585abed156bbbb8a65319b2b26e3e7922a,L2394,36.4 / Mechanisms of Stomatal Opening and Closing,,,36.4 / Mechanisms of Stomatal Opening and Closing：離子吸收改變保衛細胞水勢與膨壓，直接屬氣孔開閉機制。,無另列最小次條目；氣孔開啟機制最直接；一般膜運輸只是基礎背景，不另列次條目。,C。K+累積使保衛細胞水勢降低，水進入後膨壓增加；這不表示氣孔調節只有鉀離子，陰離子、有機溶質及其他訊號也參與。,"797,798","846,847",Codex /root,ISU-115-R2-Q04
ISU-115-Q05,FORMAL,False,B,B,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q05.png,b68f743d8bc315e9b458033c408a796e2f2e02b1e082dc2b3cf15a84de3b0c9e,L2967,44.3 / Survey of Excretory Systems,,,44.3 / Survey of Excretory Systems：腎臟子節介紹腎絲球與濾液形成，提供血中肌酸酐反映濾過的構造基礎；此為實際目錄最小條目。,無另列最小次條目；GFR題落在排泄系統概覽中的腎臟與腎元濾過，採真實最小條目2967；肌酸酐特定用途由NIDDK補足。,B。血清肌酸酐可用於估算GFR，並非直接、精確測得濾過率。Campbell提供濾過框架；NIDDK資料補充肌酸酐估算的臨床界線。,"985,986,987,988","1034,1035,1036,1037",Codex /root,ISU-115-R2-Q05
ISU-115-Q06,FORMAL,False,A,A,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q06.png,032fa884f1765a45f520032a90200319182d74cc61bf4c07ec304d0e8adc72d3,L0724,11.3 / Small Molecules and Ions as Second Messengers,L0711,11.2 / Intracellular Receptors,11.3 / Small Molecules and Ions as Second Messengers：題目比較典型細胞內第二傳訊分子，直接對應第二傳訊者條目。,11.2 / Intracellular Receptors：對照NO穿膜後作用於細胞內受體，解釋本書的分類措辭。,官方A。Campbell在第二傳訊者段落舉cAMP、Ca2+與IP3，並在細胞內受體段落介紹NO；但Purves教材也把NO列為非典型第二傳訊者。因此保留原題「常見」限定，不能教成NO在所有情境都不是第二傳訊者。,"220,222,223,224,225","269,271,272,273,274",Codex /root,ISU-115-R2-Q06
ISU-115-Q07,FORMAL,False,C,C,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q07.png,a5da4efa88ed8ea242b74c7a034191c5884a49e8c47365361c5b7f2f504ac6e2,L1709,27.1 / Cell-Surface Structures,,,27.1 / Cell-Surface Structures：辨認細菌細胞壁的化學結構，屬原核細胞表面構造。,無另列最小次條目；C確認，原核細胞表面構造足以涵蓋，不把干擾選項全加入次分類。,C。肽聚醣為典型細菌細胞壁成分；纖維素與幾丁質分屬其他生物的常見細胞壁材料。題目不是說所有細菌都有細胞壁。,"574,575","623,624",Codex /root,ISU-115-R2-Q07
ISU-115-Q08,FORMAL,False,B,B,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q08.png,d4de1ff5ada786c129242ca49c89c59b2503fa98afa6c3cde62d5d0fde7a1023,L0582,9.4 / The Pathway of Electron Transport,,,9.4 / The Pathway of Electron Transport：直接詢問粒線體電子傳遞鏈的膜定位。,無另列最小次條目；內膜電子傳遞鏈最切題，主項不換成單純粒線體外形。,B。電子傳遞鏈位於粒線體內膜；基質含檸檬酸循環多數酵素，外膜不是主要呼吸鏈位置。,"174,175","223,224",Codex /root,ISU-115-R2-Q08
ISU-115-Q09,FORMAL,False,A,A,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q09.png,261196a9a89096d9dbf0792e6048ae19472f3ab43bd16c698835b9d224fc32ab,L3258,49.2 / Biological Clock Regulation,,,49.2 / Biological Clock Regulation：SCN是哺乳類日夜節律的同步中樞，直接屬生物時鐘調控。,無另列最小次條目；教材以哺乳類SCN支援A；原題脊椎動物措辭較廣，說明使用具體哺乳類機制，不宣稱每類脊椎動物時鐘完全相同。,A。視交叉上核位於下視丘，接收眼部光週期訊息並同步身體時鐘；松果腺等相關器官不等於主時鐘所在地。,"1091,1094,1095","1140,1143,1144",Codex /root,ISU-115-R2-Q09
ISU-115-Q10,FORMAL,False,D,D,未列於本輪取得115生物釋疑PDF7下方至8；依同年度答案PDF1最下方生物表採計,1,24,1,1,,questions/Q10.png,074470d2b756b3cda3f21360dc6b9a40ac4a087b8f2b3016e8b1e839b89d8a77,L3516,52.4 / Abiotic Factors,L3503,52.3 / Zonation in Aquatic Biomes,52.4 / Abiotic Factors：以棲地條件判斷物種分布，鹽度與水分等非生物因子最直接。,52.3 / Zonation in Aquatic Biomes：用水域生物群系的鹽度與濕地情境區別河口紅樹林與內陸湖泊。,D。台江官方資料記載四草五梨跤、欖李、海茄苳及少量人工復育水筆仔；陽明山資料指出臺灣水韭的野生棲地為夢幻湖。原D「台灣水韮」字形及B「欖李海茄苳」連寫照存，不自行改成一個物種名。地點與物種由在地官方來源支援，Campbell支援分布原理。,"1177,1178,1179,1184,1185","1226,1227,1228,1233,1234",Codex /root,ISU-115-R2-Q10
