題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-113-Q01,FORMAL,False,A,A,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q01.png,1591b0b12d5c1ee7f45c8effbc55716e66e6fec68f3ac5068c252b6eeff98bf4,L2443,37.1 / Soil Conservation and Sustainable Agriculture,L2527,38.3 / Plant Biotechnology and Genetic Engineering,37.1 / Soil Conservation and Sustainable Agriculture：判別根部分泌有機酸如何減輕酸性土壤鋁毒；37.1土壤保育正文809直接討論此機制。,38.3 / Plant Biotechnology and Genetic Engineering：題幹以轉殖增加檸檬酸合成為介入，38.3提高作物品質與產量補充工程應用。,採A。檸檬酸等有機陰離子在根際與Al3+形成錯合物，降低具毒性游離鋁的可用性；不是把鋁元素分解，也不是阻隔根與土壤的外衣。原題英文citrate synthesis是過程名，酵素應為citrate synthase。教材809沿用1997菸草／木瓜案例；2001獨立研究未重現增加檸檬酸及耐鋁效果，保留工程成效的研究差異，不把本題假設當所有轉殖株必然成功。,"808,809,837,838","857,858,886,887",Codex /root,TCU-113-R2-Q01
TCU-113-Q02,FORMAL,False,C,C,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q02.png,5e324f8c47f69c96664d12d79a5a82a8e1b14175b22023c20e44e0fff9404202,L1932,30.2 / Gymnosperm Diversity,L1916,30.1 / Pollen and Production of Sperm,30.2 / Gymnosperm Diversity：蘇鐵與銀杏保留具鞭毛精子，是裸子植物多樣性中的實際譜系差異。,30.1 / Pollen and Production of Sperm：花粉及精子形成說明外界水依賴降低，仍能保留游動精子的原因。,採C。蘇鐵與銀杏的精子具鞭毛，許多其他種子植物以花粉管直接遞送不具鞭毛的精子。保留祖徵不表示今天的裸子植物是朝被子植物前進的線性過渡階段；題幹「過渡類型」是歷史簡化用語。,"638,641,642","687,690,691",Codex /root,TCU-113-R2-Q02
TCU-113-Q03,FORMAL,False,D,D,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q03.png,0fe11147d0be58aef8019ebace71c88b39c104c8a5f83ba6dbbf36a6ae4570d6,L2300,35.3 / Primary Growth of Roots,L2286,"35.1 / Dermal, Vascular, and Ground Tissues",35.3 / Primary Growth of Roots：單子葉根的初生組織橫切面及內外排列直接屬35.3根初生生長，圖35.14在769。,"35.1 / Dermal, Vascular, and Ground Tissues：35.1表皮、維管與基本組織系統用來辨認各層名稱。",採D，即髓、木質部、韌皮部、周鞘、內皮、皮層、表皮的題設簡序。教材768–769的單子葉圖有中央薄壁細胞及周圍維管組織，並明示不同植物有變化；木質部、韌皮部常呈相間的放射組織，不應把選項理解為所有根都具七個完整同心圓層。根部周鞘在內皮內側，不能倒置。,"762,768,769","811,817,818",Codex /root,TCU-113-R2-Q03
TCU-113-Q04,FORMAL,False,B,B,113年度釋疑維持B,2,2,1,2,questions/Q04.png,35e1a510e7e0a1b20cb20b46d219e7848151de873b8147ac46f15e9c11b75398,L0362,6.5 / The Evolutionary Origins of Mitochondria and Chloroplasts,L1794,28.1 / Endosymbiosis in Eukaryotic Evolution,6.5 / The Evolutionary Origins of Mitochondria and Chloroplasts：問題核心是葉綠體內共生的來源與代謝利益，6.5粒線體及葉綠體的演化起源最直接。,28.1 / Endosymbiosis in Eukaryotic Evolution：28.1真核生物起源補充藍綠菌內共生形成光合真核譜系。,依原答案及113釋疑採B。題幹寫「對於藍綠菌祖先而言」，釋疑卻解釋為植物宿主因取得光合能力受益，主詞確有差異。教材109及594支持宿主得到光合產物，不能據此推得被吞入的藍綠菌本身製糖效率一定增加。保留受益者與效率敘述衝突，官方B與科學限制分開；分類仍明確是內共生，不能自行另訂採計。,"109,110,594,595,596","158,159,643,644,645",Codex /root,TCU-113-R2-Q04
TCU-113-Q05,FORMAL,False,C,C,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q05.png,f4bad260b4b2d09d04e587314c32721b31582c3da3ab6ef01aa940db292e6f88,L0381,6.6 / Components of the Cytoskeleton,L0378,6.6 / Roles of the Cytoskeleton: Support and Motility,6.6 / Components of the Cytoskeleton：辨識細胞質流動的微絲與馬達蛋白屬細胞骨架成分，113表格及117正文直接相符。,6.6 / Roles of the Cytoskeleton: Support and Motility：骨架的支持與運動功能補充馬達蛋白沿纖維運動的共同原理。,採C。肌動蛋白微絲與肌凝蛋白的交互作用帶動植物細胞質流動；kinesin、dynein常沿微管作用，不能代換為本題的actin–myosin組合。,"112,113,116,117","161,162,165,166",Codex /root,TCU-113-R2-Q05
TCU-113-Q06,FORMAL,False,A,A,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q06.png,1ce49617953ab2437f463bafdbb41743d71596c3172ca673cda548f069cd4c6b,L1827,28.4 / Red Algae,L0647,10.3 / Photosynthetic Pigments: The Light Receptors,28.4 / Red Algae：紅藻在較深水層的色素適應直接屬28.4紅藻條目609。,10.3 / Photosynthetic Pigments: The Light Receptors：10.3光合色素與光吸收說明輔助色素如何吸收仍可穿透水體的光。,採A。藻紅素等輔助色素可吸收穿透較深的藍綠光並供光合作用；呈紅色是反射／透射色，不代表主要吸收紅光。不能把褐藻的固著器、柄與葉狀體一律套到紅藻。,"192,193,609,610","241,242,658,659",Codex /root,TCU-113-R2-Q06
TCU-113-Q07,FORMAL,False,D,D,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q07.png,e02155696c762c5a6a4a319a3bafe07a9295def5fc529588f4ea634aa1da2007,L2517,"38.2 / Totipotency, Vegetative Reproduction, and Tissue Culture",,,"38.2 / Totipotency, Vegetative Reproduction, and Tissue Culture：同一砧木保留不同接穗品種屬38.2營養繁殖與全能性所涵蓋的嫁接實務；835–836直接列grafting。",無另列最小次條目；第二輪完整題文確認是蘋果，已將首稿誤寫葡萄改正。835–836嫁接接穗保留母體品種的機制直接支持D；最小目錄是38.2全能性／營養繁殖，不虛造Grafting目錄ID。,採D。把八種蘋果品種的芽或枝嫁接到同一砧木，可由各接穗長出不同品種的結果枝。果實主要來自接穗的母體組織；互相授粉不會直接將同株不同枝變成八個原品種。嫁接形成組合植株，不等同把各品種全部基因融合成單一新基因型。,"835,836","884,885",Codex /root,TCU-113-R2-Q07
TCU-113-Q08,FORMAL,False,A,A,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q08.png,97b269469ba0ef3532d180e784a9b8122a51f8e92db97fed89724edbd5145810,L2394,36.4 / Mechanisms of Stomatal Opening and Closing,L2365,36.2 / Short-Distance Transport of Water Across Plasma Membranes,36.4 / Mechanisms of Stomatal Opening and Closing：保衛細胞吸鉀、水進入及膨壓改變直接屬氣孔開閉機制797。,36.2 / Short-Distance Transport of Water Across Plasma Membranes：36.2水跨膜運輸補足溶質勢降低及滲透的因果步驟。,採A。K+累積使保衛細胞溶質勢更負，水沿水勢差進入，膨壓配合細胞壁構造使孔隙開大。水不是由所謂水幫浦主動打入；K+也不是唯一參與的溶質。,"789,790,797,798","838,839,846,847",Codex /root,TCU-113-R2-Q08
TCU-113-Q09,FORMAL,False,B,B,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q09.png,3bada24d4a6bed734bf6015e73957913a4fb0194685fc06374dd713c7758c93b,L0268,5.4 / Protein Structure and Function,L0262,5.4 / Amino Acids (Monomers),5.4 / Protein Structure and Function：蛋白質整體電性及其pH依賴性屬5.4蛋白質結構與功能；本地82–83討論環境pH對蛋白質的影響。,5.4 / Amino Acids (Monomers)：胺基酸單體的可解離基團及酸鹼側鏈是蛋白質淨電荷的來源。,採B。等電點是指定條件下蛋白質淨電荷為零時的pH，不是電泳到兩極等距所需的時間、所有側鏈都不帶電的pH或不氧化不還原的電壓。本地教材提供側鏈電性及pH原理，但未在所讀段直接定義isoelectric point；精確定義另據IUPAC。,"75,76,77,78,82,83","124,125,126,127,131,132",Codex /root,TCU-113-R2-Q09
TCU-113-Q10,FORMAL,False,B,B,未列本輪取得的113年度生物釋疑PDF2下方至3；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q10.png,f02816c478a489186d2de3c6663a58ce6d9c1a1a0e91983afbc79bf961476294,L1085,17.5 / Types of Small-Scale Mutations,L1042,17.1 / The Genetic Code,17.5 / Types of Small-Scale Mutations：同義替換屬17.5點突變類型，357直接定義synonymous mutation。,17.1 / The Genetic Code：遺傳密碼的冗餘性解釋不同密碼子可指定相同胺基酸。,採B。密碼子改變而所指定胺基酸不變仍是DNA突變。教材357亦指出同義改變有時影響基因表現，故「沉默」不能擴大為對所有生物功能絕對無影響；非同義、終止或移碼另有不同結果。,"340,341,357,358","389,390,406,407",Codex /root,TCU-113-R2-Q10
