mode,chapter_number,chapter,count
primary,39,Ch39 Plant Responses to Internal and External Signals,5
primary,17,Ch17 Gene Expression: From Gene to Protein,4
primary,23,Ch23 The Evolution of Populations,3
primary,35,"Ch35 Vascular Plant Structure, Growth, and Development",3
primary,10,Ch10 Photosynthesis,2
primary,16,Ch16 The Molecular Basis of Inheritance,2
primary,18,Ch18 Regulation of Gene Expression,2
primary,29,Ch29 Plant Diversity I: How Plants Colonized Land,2
primary,32,Ch32 An Overview of Animal Diversity,2
primary,33,Ch33 An Introduction to Invertebrates,2
primary,45,Ch45 Hormones and the Endocrine System,2
primary,48,"Ch48 Neurons, Synapses, and Signaling",2
primary,50,Ch50 Sensory and Motor Mechanisms,2
primary,6,Ch06 A Tour of the Cell,1
primary,7,Ch07 Membrane Structure and Function,1
primary,9,Ch09 Cellular Respiration and Fermentation,1
primary,11,Ch11 Cell Communication,1
primary,13,Ch13 Meiosis and Sexual Life Cycles,1
primary,14,Ch14 Mendel and the Gene Idea,1
primary,15,Ch15 The Chromosomal Basis of Inheritance,1
primary,20,Ch20 DNA Tools and Biotechnology,1
primary,21,Ch21 Genomes and Their Evolution,1
primary,24,Ch24 The Origin of Species,1
primary,34,Ch34 The Origin and Evolution of Vertebrates,1
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,1
primary,37,Ch37 Soil and Plant Nutrition,1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,41,Ch41 Animal Nutrition,1
primary,42,Ch42 Circulation and Gas Exchange,1
primary,53,Ch53 Population Ecology,1
secondary,7,Ch07 Membrane Structure and Function,2
secondary,33,Ch33 An Introduction to Invertebrates,2
secondary,5,Ch05 The Structure and Function of Large Biological Molecules,1
secondary,6,Ch06 A Tour of the Cell,1
secondary,11,Ch11 Cell Communication,1
secondary,17,Ch17 Gene Expression: From Gene to Protein,1
secondary,18,Ch18 Regulation of Gene Expression,1
secondary,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
secondary,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
secondary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,1
secondary,39,Ch39 Plant Responses to Internal and External Signals,1
secondary,44,Ch44 Osmoregulation and Excretion,1
secondary,45,Ch45 Hormones and the Endocrine System,1
secondary,46,Ch46 Animal Reproduction,1
secondary,49,Ch49 Nervous Systems,1
both,39,Ch39 Plant Responses to Internal and External Signals,6
both,17,Ch17 Gene Expression: From Gene to Protein,5
both,33,Ch33 An Introduction to Invertebrates,4
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",4
both,7,Ch07 Membrane Structure and Function,3
both,18,Ch18 Regulation of Gene Expression,3
both,23,Ch23 The Evolution of Populations,3
both,45,Ch45 Hormones and the Endocrine System,3
both,6,Ch06 A Tour of the Cell,2
both,10,Ch10 Photosynthesis,2
both,11,Ch11 Cell Communication,2
both,16,Ch16 The Molecular Basis of Inheritance,2
both,29,Ch29 Plant Diversity I: How Plants Colonized Land,2
both,32,Ch32 An Overview of Animal Diversity,2
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
both,48,"Ch48 Neurons, Synapses, and Signaling",2
both,50,Ch50 Sensory and Motor Mechanisms,2
both,5,Ch05 The Structure and Function of Large Biological Molecules,1
both,9,Ch09 Cellular Respiration and Fermentation,1
both,13,Ch13 Meiosis and Sexual Life Cycles,1
both,14,Ch14 Mendel and the Gene Idea,1
both,15,Ch15 The Chromosomal Basis of Inheritance,1
both,20,Ch20 DNA Tools and Biotechnology,1
both,21,Ch21 Genomes and Their Evolution,1
both,24,Ch24 The Origin of Species,1
both,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
both,34,Ch34 The Origin and Evolution of Vertebrates,1
both,37,Ch37 Soil and Plant Nutrition,1
both,38,Ch38 Angiosperm Reproduction and Biotechnology,1
both,41,Ch41 Animal Nutrition,1
both,42,Ch42 Circulation and Gas Exchange,1
both,44,Ch44 Osmoregulation and Excretion,1
both,46,Ch46 Animal Reproduction,1
both,49,Ch49 Nervous Systems,1
both,53,Ch53 Population Ecology,1
