mode,chapter_number,chapter,count
primary,42,Ch42 Circulation and Gas Exchange,7
primary,41,Ch41 Animal Nutrition,4
primary,48,"Ch48 Neurons, Synapses, and Signaling",4
primary,27,Ch27 Bacteria and Archaea,3
primary,49,Ch49 Nervous Systems,3
primary,9,Ch09 Cellular Respiration and Fermentation,2
primary,15,Ch15 The Chromosomal Basis of Inheritance,2
primary,16,Ch16 The Molecular Basis of Inheritance,2
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
primary,44,Ch44 Osmoregulation and Excretion,2
primary,45,Ch45 Hormones and the Endocrine System,2
primary,46,Ch46 Animal Reproduction,2
primary,50,Ch50 Sensory and Motor Mechanisms,2
primary,6,Ch06 A Tour of the Cell,1
primary,10,Ch10 Photosynthesis,1
primary,12,Ch12 The Cell Cycle,1
primary,13,Ch13 Meiosis and Sexual Life Cycles,1
primary,17,Ch17 Gene Expression: From Gene to Protein,1
primary,18,Ch18 Regulation of Gene Expression,1
primary,23,Ch23 The Evolution of Populations,1
primary,24,Ch24 The Origin of Species,1
primary,37,Ch37 Soil and Plant Nutrition,1
primary,39,Ch39 Plant Responses to Internal and External Signals,1
primary,40,Ch40 Basic Principles of Animal Form and Function,1
primary,43,Ch43 The Immune System,1
primary,47,Ch47 Animal Development,1
secondary,6,Ch06 A Tour of the Cell,2
secondary,7,Ch07 Membrane Structure and Function,2
secondary,45,Ch45 Hormones and the Endocrine System,2
secondary,3,Ch03 Water and Life,1
secondary,12,Ch12 The Cell Cycle,1
secondary,25,Ch25 The History of Life on Earth,1
secondary,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
secondary,42,Ch42 Circulation and Gas Exchange,1
both,42,Ch42 Circulation and Gas Exchange,8
both,41,Ch41 Animal Nutrition,4
both,45,Ch45 Hormones and the Endocrine System,4
both,48,"Ch48 Neurons, Synapses, and Signaling",4
both,6,Ch06 A Tour of the Cell,3
both,27,Ch27 Bacteria and Archaea,3
both,49,Ch49 Nervous Systems,3
both,7,Ch07 Membrane Structure and Function,2
both,9,Ch09 Cellular Respiration and Fermentation,2
both,12,Ch12 The Cell Cycle,2
both,15,Ch15 The Chromosomal Basis of Inheritance,2
both,16,Ch16 The Molecular Basis of Inheritance,2
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
both,44,Ch44 Osmoregulation and Excretion,2
both,46,Ch46 Animal Reproduction,2
both,50,Ch50 Sensory and Motor Mechanisms,2
both,3,Ch03 Water and Life,1
both,10,Ch10 Photosynthesis,1
both,13,Ch13 Meiosis and Sexual Life Cycles,1
both,17,Ch17 Gene Expression: From Gene to Protein,1
both,18,Ch18 Regulation of Gene Expression,1
both,23,Ch23 The Evolution of Populations,1
both,24,Ch24 The Origin of Species,1
both,25,Ch25 The History of Life on Earth,1
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
both,37,Ch37 Soil and Plant Nutrition,1
both,39,Ch39 Plant Responses to Internal and External Signals,1
both,40,Ch40 Basic Principles of Animal Form and Function,1
both,43,Ch43 The Immune System,1
both,47,Ch47 Animal Development,1
