mode,chapter_number,chapter,count
primary,9,Ch09 Cellular Respiration and Fermentation,6
primary,23,Ch23 The Evolution of Populations,6
primary,27,Ch27 Bacteria and Archaea,6
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,3
primary,55,Ch55 Ecosystems and Restoration Ecology,3
primary,22,Ch22 Descent with Modification: A Darwinian View of Life,2
primary,31,Ch31 Fungi,2
primary,53,Ch53 Population Ecology,2
primary,6,Ch06 A Tour of the Cell,1
primary,7,Ch07 Membrane Structure and Function,1
primary,10,Ch10 Photosynthesis,1
primary,13,Ch13 Meiosis and Sexual Life Cycles,1
primary,14,Ch14 Mendel and the Gene Idea,1
primary,15,Ch15 The Chromosomal Basis of Inheritance,1
primary,17,Ch17 Gene Expression: From Gene to Protein,1
primary,18,Ch18 Regulation of Gene Expression,1
primary,20,Ch20 DNA Tools and Biotechnology,1
primary,26,Ch26 Phylogeny and the Tree of Life,1
primary,28,Ch28 Protists,1
primary,29,Ch29 Plant Diversity I: How Plants Colonized Land,1
primary,32,Ch32 An Overview of Animal Diversity,1
primary,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
primary,37,Ch37 Soil and Plant Nutrition,1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,45,Ch45 Hormones and the Endocrine System,1
primary,49,Ch49 Nervous Systems,1
primary,54,Ch54 Community Ecology,1
primary,56,Ch56 Conservation Biology and Global Change,1
secondary,27,Ch27 Bacteria and Archaea,2
secondary,1,"Ch01 Evolution, the Themes of Biology, and Scientific Inquiry",1
secondary,8,Ch08 An Introduction to Metabolism,1
secondary,12,Ch12 The Cell Cycle,1
secondary,25,Ch25 The History of Life on Earth,1
secondary,26,Ch26 Phylogeny and the Tree of Life,1
secondary,28,Ch28 Protists,1
secondary,29,Ch29 Plant Diversity I: How Plants Colonized Land,1
secondary,32,Ch32 An Overview of Animal Diversity,1
secondary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,1
secondary,49,Ch49 Nervous Systems,1
secondary,55,Ch55 Ecosystems and Restoration Ecology,1
secondary,56,Ch56 Conservation Biology and Global Change,1
both,27,Ch27 Bacteria and Archaea,8
both,9,Ch09 Cellular Respiration and Fermentation,6
both,23,Ch23 The Evolution of Populations,6
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,4
both,55,Ch55 Ecosystems and Restoration Ecology,4
both,22,Ch22 Descent with Modification: A Darwinian View of Life,2
both,26,Ch26 Phylogeny and the Tree of Life,2
both,28,Ch28 Protists,2
both,29,Ch29 Plant Diversity I: How Plants Colonized Land,2
both,31,Ch31 Fungi,2
both,32,Ch32 An Overview of Animal Diversity,2
both,49,Ch49 Nervous Systems,2
both,53,Ch53 Population Ecology,2
both,56,Ch56 Conservation Biology and Global Change,2
both,1,"Ch01 Evolution, the Themes of Biology, and Scientific Inquiry",1
both,6,Ch06 A Tour of the Cell,1
both,7,Ch07 Membrane Structure and Function,1
both,8,Ch08 An Introduction to Metabolism,1
both,10,Ch10 Photosynthesis,1
both,12,Ch12 The Cell Cycle,1
both,13,Ch13 Meiosis and Sexual Life Cycles,1
both,14,Ch14 Mendel and the Gene Idea,1
both,15,Ch15 The Chromosomal Basis of Inheritance,1
both,17,Ch17 Gene Expression: From Gene to Protein,1
both,18,Ch18 Regulation of Gene Expression,1
both,20,Ch20 DNA Tools and Biotechnology,1
both,25,Ch25 The History of Life on Earth,1
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
both,37,Ch37 Soil and Plant Nutrition,1
both,38,Ch38 Angiosperm Reproduction and Biotechnology,1
both,45,Ch45 Hormones and the Endocrine System,1
both,54,Ch54 Community Ecology,1
