mode,chapter_number,chapter,count
primary,43,Ch43 The Immune System,6
primary,50,Ch50 Sensory and Motor Mechanisms,6
primary,6,Ch06 A Tour of the Cell,3
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,3
primary,42,Ch42 Circulation and Gas Exchange,3
primary,44,Ch44 Osmoregulation and Excretion,3
primary,49,Ch49 Nervous Systems,3
primary,20,Ch20 DNA Tools and Biotechnology,2
primary,39,Ch39 Plant Responses to Internal and External Signals,2
primary,45,Ch45 Hormones and the Endocrine System,2
primary,1,"Ch01 Evolution, the Themes of Biology, and Scientific Inquiry",1
primary,3,Ch03 Water and Life,1
primary,7,Ch07 Membrane Structure and Function,1
primary,8,Ch08 An Introduction to Metabolism,1
primary,9,Ch09 Cellular Respiration and Fermentation,1
primary,10,Ch10 Photosynthesis,1
primary,11,Ch11 Cell Communication,1
primary,15,Ch15 The Chromosomal Basis of Inheritance,1
primary,16,Ch16 The Molecular Basis of Inheritance,1
primary,18,Ch18 Regulation of Gene Expression,1
primary,26,Ch26 Phylogeny and the Tree of Life,1
primary,31,Ch31 Fungi,1
primary,34,Ch34 The Origin and Evolution of Vertebrates,1
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,1
primary,46,Ch46 Animal Reproduction,1
primary,48,"Ch48 Neurons, Synapses, and Signaling",1
primary,54,Ch54 Community Ecology,1
secondary,8,Ch08 An Introduction to Metabolism,2
secondary,21,Ch21 Genomes and Their Evolution,2
secondary,6,Ch06 A Tour of the Cell,1
secondary,17,Ch17 Gene Expression: From Gene to Protein,1
secondary,18,Ch18 Regulation of Gene Expression,1
secondary,45,Ch45 Hormones and the Endocrine System,1
secondary,49,Ch49 Nervous Systems,1
both,43,Ch43 The Immune System,6
both,50,Ch50 Sensory and Motor Mechanisms,6
both,6,Ch06 A Tour of the Cell,4
both,49,Ch49 Nervous Systems,4
both,8,Ch08 An Introduction to Metabolism,3
both,38,Ch38 Angiosperm Reproduction and Biotechnology,3
both,42,Ch42 Circulation and Gas Exchange,3
both,44,Ch44 Osmoregulation and Excretion,3
both,45,Ch45 Hormones and the Endocrine System,3
both,18,Ch18 Regulation of Gene Expression,2
both,20,Ch20 DNA Tools and Biotechnology,2
both,21,Ch21 Genomes and Their Evolution,2
both,39,Ch39 Plant Responses to Internal and External Signals,2
both,1,"Ch01 Evolution, the Themes of Biology, and Scientific Inquiry",1
both,3,Ch03 Water and Life,1
both,7,Ch07 Membrane Structure and Function,1
both,9,Ch09 Cellular Respiration and Fermentation,1
both,10,Ch10 Photosynthesis,1
both,11,Ch11 Cell Communication,1
both,15,Ch15 The Chromosomal Basis of Inheritance,1
both,16,Ch16 The Molecular Basis of Inheritance,1
both,17,Ch17 Gene Expression: From Gene to Protein,1
both,26,Ch26 Phylogeny and the Tree of Life,1
both,31,Ch31 Fungi,1
both,34,Ch34 The Origin and Evolution of Vertebrates,1
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,1
both,46,Ch46 Animal Reproduction,1
both,48,"Ch48 Neurons, Synapses, and Signaling",1
both,54,Ch54 Community Ecology,1
