題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-109-Q01,FORMAL,False,A,A,未列本輪取得的109年度生物釋疑PDF2–4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q01.png,767993d15a2942ada3a226c7ebccf482ee51c94fe08faafb754d9fea14a6796c,L0572,9.3 / Oxidation of Pyruvate to Acetyl CoA,"L0575,L0365",9.3 / The Citric Acid Cycle ; 6.5 / Mitochondria: Chemical Energy Conversion,9.3 / Oxidation of Pyruvate to Acetyl CoA：葡萄糖分解所生CO2須定位到粒線體內丙酮酸氧化的脫羧反應。,9.3 / The Citric Acid Cycle：檸檬酸循環也是CO2來源；6.5 / Mitochondria: Chemical Energy Conversion：粒線體的構造與基質定位支援胞器選項比較。,採A。真核有氧呼吸的丙酮酸氧化及檸檬酸循環在粒線體產生CO2；糖解本身不放CO2。核糖體、高基氏體與溶小體並非本題葡萄糖呼吸的主要放CO2胞器。,"110,111,171,172,173","159,160,220,221,222",Codex /root,TCU-109-R2-Q01
TCU-109-Q02,FORMAL,False,B,B,未列本輪取得的109年度生物釋疑PDF2–4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q02.png,b5b7dae54066867f3f93a3a1af11b8f4c9d82ae37e9d0e5f0433dd35410f8611,L0598,9.5 / Comparing Fermentation with Anaerobic and Aerobic Respiration,L0582,9.4 / The Pathway of Electron Transport,9.5 / Comparing Fermentation with Anaerobic and Aerobic Respiration：區分發酵與呼吸回收NAD+的途徑，而非僅比較是否消耗葡萄糖。,9.4 / The Pathway of Electron Transport：呼吸藉電子傳遞鏈把NADH氧化，發酵則把電子交給有機受體。,採B。兩者均可有糖解、ATP生成與NADH氧化；差異在NADH是否藉電子傳遞鏈再氧化。不能把所有無氧過程都稱發酵，無氧呼吸仍有電子傳遞鏈。 C把呼吸排除異化作用也錯誤，D的磷酸化級聯並非發酵特有。,"174,175,179,180,181","223,224,228,229,230",Codex /root,TCU-109-R2-Q02
TCU-109-Q03,FORMAL,False,B,B,109年度釋疑維持B,2,2,1,2,questions/Q03.png,976608e1d995fd6784478c613cfb65f9f4bfa01b689e734ce3c28437c84ddf92,L0585,9.4 / Chemiosmosis: The Energy-Coupling Mechanism,L0662,10.3 / A Comparison of Chemiosmosis in Chloroplasts and Mitochondria,9.4 / Chemiosmosis: The Energy-Coupling Mechanism：表格的共同核心是膜上的電子傳遞、質子梯度與氧化磷酸化。,10.3 / A Comparison of Chemiosmosis in Chloroplasts and Mitochondria：比較粒線體與葉綠體的化學滲透，排除有光合便無呼吸的錯誤推論。,採B，僅丙合適，同年釋疑PDF2維持B。成熟哺乳類紅血球無粒線體，因此甲的所有動物細胞過廣；藻類也能呼吸，乙不成立；丙依釋疑限定仍存活的光合與非光合植物細胞；大腸桿菌無粒線體，但能以細胞膜進行呼吸電子傳遞，丁由無粒線體推出無法氧化磷酸化的推論錯誤。,"174,175,176,177,199,200","223,224,225,226,248,249",Codex /root,TCU-109-R2-Q03
TCU-109-Q04,FORMAL,False,A,A,未列本輪取得的109年度生物釋疑PDF2–4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q04.png,78a44df262cfe8662f072fad715e4f62e970ae2b454d5efcf8f5455642c0be50,L1738,27.3 / Nitrogen Metabolism,"L0362,L1754",6.5 / The Evolutionary Origins of Mitochondria and Chloroplasts ; 27.4 / Archaea,27.3 / Nitrogen Metabolism：辨認固氮菌與硝化菌的氮代謝作用及生活方式被交換。,6.5 / The Evolutionary Origins of Mitochondria and Chloroplasts：內共生起源支援粒線體來源的選項比較；27.4 / Archaea：古菌的甲烷生成及多樣性支援其餘選項判別。,採A。根瘤共生固氮菌將N2轉為可用的含氮物；硝化菌氧化氨或亞硝酸鹽，不等同根瘤固氮。甲烷菌屬古菌且適應無氧環境；原核生物的形態、代謝、棲地及營養方式均具多樣性。粒線體內共生來源宜精確表述為細菌祖先，題目的紫色細菌用語保留，不擴寫成所有現生紫色菌。 C的種類最多取決於物種界定與採樣，不能當成已全面計數的結論。,"109,110,581,582,583,585,586","158,159,630,631,632,634,635",Codex /root,TCU-109-R2-Q04
TCU-109-Q05,FORMAL,False,C,C或D,109.6.8更新釋疑明示C改為C或D,2,2,1,2,questions/Q05.png,3909545d497a819729ab23af4309e577212120dbbb3e65414b58a30101b544ec,L1069,17.4 / Molecular Components of Translation,L1709,27.1 / Cell-Surface Structures,17.4 / Molecular Components of Translation：兩個被正式接受的錯誤配對都涉及抗生素對細菌核糖體與蛋白質合成的作用。,27.1 / Cell-Surface Structures：Ampicillin抑制肽聚糖細胞壁建構，須區分細胞壁與細胞膜。,原答案C；109.6.8更新釋疑PDF2明示改為C或D。Erythromycin抑制核糖體翻譯，不以破壞細胞膜為主要機制；Tetracycline也作用於核糖體，不以DNA gyrase為主要標的；Streptomycin干擾核糖體，Ampicillin干擾細胞壁合成。釋疑把膜通透性受影響概括為壁受損的說法不可當成壁、膜同一構造；採計更正與機制說明分列。,"348,349,350,574,575,588,589","397,398,399,623,624,637,638",Codex /root,TCU-109-R2-Q05
TCU-109-Q06,FORMAL,False,C,C,未列本輪取得的109年度生物釋疑PDF2–4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q06.png,addc48269ecc098d260f9f8d22c5e691eeb166880ec83b346a9355cae65f2283,L0529,8.4 / Effects of Local Conditions on Enzyme Activity,,,8.4 / Effects of Local Conditions on Enzyme Activity：Aspirin的主要藥理作用屬酵素抑制，對應本地目錄中涵蓋抑制劑的最小條目。,無另列最小次條目；原圖三個干擾選項已逐一讀回並修正首稿描述；Aspirin酵素抑制機制可確定8.4最小條目，不因藥名另加人體系統。,採C，酵素抑制劑。Aspirin抑制cyclooxygenase及前列腺素生成；不可把它歸為抗生素、轉錄因子或酵素活化劑。教材支援抑制原理，Aspirin專名機制另以Vane作者文獻摘要補足，未宣稱已閱讀1971全文。,"157,158,159","206,207,208",Codex /root,TCU-109-R2-Q06
TCU-109-Q07,FORMAL,False,D,D,未列本輪取得的109年度生物釋疑PDF2–4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q07.png,5d1fb582e0733b7c90e26ca4b354dae38c720b5a2a732385b229a40291a8f336,L0371,6.5 / Peroxisomes: Oxidation,"L0333,L0362",6.3 / The Nucleus: Information Central ; 6.5 / The Evolutionary Origins of Mitochondria and Chloroplasts,6.5 / Peroxisomes: Oxidation：含RNA機率的比較須識別過氧化體不具自身基因體與核糖體。,6.3 / The Nucleus: Information Central：細胞核具轉錄與核仁rRNA來源；6.5 / The Evolutionary Origins of Mitochondria and Chloroplasts：粒線體及葉綠體保有DNA與核糖體，與過氧化體比較。,採D過氧化體。核內有多種RNA；粒線體與葉綠體有自身基因表現系統。這是四種胞器的相對比較，不宣稱過氧化體或其相關分離樣本絕對沒有任何RNA。,"102,103,109,110,111,112","151,152,158,159,160,161",Codex /root,TCU-109-R2-Q07
TCU-109-Q08,FORMAL,False,A,A,未列本輪取得的109年度生物釋疑PDF2–4；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q08.png,0aebdf017ee4d1da12e7498f452a921cd124594a8b914835ef0b64d7138e50a0,L0708,11.2 / Receptors in the Plasma Membrane,,,11.2 / Receptors in the Plasma Membrane：GTP直接參與G蛋白受器途徑的GDP/GTP交換，須與酪胺酸激酶受器的ATP依賴反應區分。,無另列最小次條目；G蛋白GDP/GTP切換為直接需要，RTK磷酸化用ATP；C、D非直接結果，主受器途徑已足夠。,採A。缺GTP不能正常形成活化的G蛋白-GTP；配體結合受器本身與ATP提供的受器磷酸化是不同步驟。題目是指定分子的直接作用比較，不能把長期完全缺GTP仍正常存活當作實驗事實。 無GTP不直接改變鈣通道選擇性，cAMP也不能替代GTP活化G蛋白。,"217,218,219,220","266,267,268,269",Codex /root,TCU-109-R2-Q08
TCU-109-Q09,FORMAL,False,A,A,未列本輪取得的109年度生物釋疑PDF2–4；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q09.png,f1aa594bc32458128df39a534bbfe4705b7b1eefbe3b0081b743e93fe244e0e0,L0770,12.2 / Phases of the Cell Cycle,L1010,16.2 / DNA Replication: A Closer Look,12.2 / Phases of the Cell Cycle：依完整DNA含量曲線判讀G1、S、G2與分裂段，分類核心是細胞週期時相。,16.2 / DNA Replication: A Closer Look：S期持續時間與複製起點、複製速率相關，不能無條件當成DNA量的等比例量尺。,官方採A。I對應G1、II為S、III為G2，IV涵蓋DNA量下降的分裂區段。b的S期較長，在複製總速率等其他條件相同下可符合較多DNA，但圖未保證全部條件；不能由時間三倍直接證明DNA三倍。D的中期在IV若按整段M期解讀亦有可成立空間，故保留圖區界線與單選唯一性的限制，分類可明確判入細胞週期。,"237,238,239,322,323,324","286,287,288,371,372,373",Codex /root,TCU-109-R2-Q09
TCU-109-Q10,FORMAL,False,A,A,未列本輪取得的109年度生物釋疑PDF2–4；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q10.png,a97ccd3d2f35fa223ad1a4551f7712f15b00c46a276815ff6878ee14a02a36c0,L0773,12.2 / The Mitotic Spindle: A Closer Look,L0381,6.6 / Components of the Cytoskeleton,12.2 / The Mitotic Spindle: A Closer Look：Vinblastine干擾紡錘絲的機制直接決定有絲分裂是否正常進行。,6.6 / Components of the Cytoskeleton：微管由微管蛋白組成，與微絲及中間絲區別。,採A微管。紡錘體由微管構成，干擾微管動態可阻斷正常染色體分離；B微絲、C核糖體、D粒線體不是此題紡錘體的構成標的。,"113,114,115,240,241","162,163,164,289,290",Codex /root,TCU-109-R2-Q10
