題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,官方答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-107-Q01,FORMAL,False,C,C,107年度6/15審議會議釋疑維持原答案C,1,18,1,1,24,26,questions/Q01.png,4ceafe121198fcc25d8d9483a233a8b10a14c733b6bcc7c602cfc3f7e904a39b,L2711,41.3 / Digestion in the Stomach,L0450,7.4 / The Need for Energy in Active Transport,41.3 / Digestion in the Stomach：胃壁細胞分泌胃酸與質子幫浦抑制是判定C的直接情境，採胃消化最小條目。,7.4 / The Need for Energy in Active Transport：ATP供能的主動運輸支援幫浦機制，不能把一般致電幫浦直接等同胃H/K幫浦。,官方C；同年Q1釋疑維持C，引用Vander 11e印刷546的H/K-ATPase電中性。胃壁細胞利用ATP將H送入胃腔並交換K，抑制它會降低胃酸分泌，並非刺激分泌。D依此胃幫浦語境成立；不能從一般proton pump用語推論所有質子幫浦都電中性。Vander僅實讀公告引文，胃與通用幫浦差異由Campbell136–137、907及S01交叉確認。,"136,137,907,908","185,186,956,957",Codex /root,ISU-107-R2-Q01
ISU-107-Q02,FORMAL,False,A,A,未列本輪取得的107年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q02.png,3d31582f2bb028138219a5b811237e351a38d1c9e36647b4b8c7c8751c336c04,L3245,49.1 / The Peripheral Nervous System,L2776,42.2 / Maintaining the Heart’s Rhythmic Beat,49.1 / The Peripheral Nervous System：自主神經的交感與副交感分支及器官效應直接列於周邊神經系統條目。,42.2 / Maintaining the Heart’s Rhythmic Beat：交感調節竇房結、加快心率的心臟端機制另列。,官方A。交感興奮通常加速心跳、使瞳孔放大並抑制消化活動；一般也增強心臟收縮，D心搏量減少不符典型反應。原題心博量字形保留。文字目錄L2776的Rhythms與PDF實際Rhythmic Beat異文已在年度catalog標明，原目錄不改。,"928,1088,1089","977,1137,1138",Codex /root,ISU-107-R2-Q02
ISU-107-Q03,FORMAL,False,B,B,未列本輪取得的107年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q03.png,1415be71463aafddc2445f07c17da001f8484b13ab933c81f662cd6c0b75184c,L2802,42.4 / Blood Composition and Function,L2789,42.3 / Blood Pressure,42.4 / Blood Composition and Function：血栓源於血液凝固機制失當，凝血與thrombus正文在Blood Composition and Function末段印刷936–937。,42.3 / Blood Pressure：低壓靜脈回流依賴瓣膜與骨骼肌作用，與下肢淤滯的部位解讀相關。,官方B；NHLBI指出深靜脈血栓通常發生於下腿、大腿或骨盆。Campbell支援凝血、血栓及靜脈回流原理，但未給四選項的普遍發生率排序。「最容易」須依靜脈血栓等病況理解，不能當作任何疾病與所有動脈血栓的一律排名。凝血段雖延至印刷937，仍位於心血管疾病標題之前，主條目不因頁號自動改成下一小節。,"930,931,934,935,936,937","979,980,983,984,985,986",Codex /root,ISU-107-R2-Q03
ISU-107-Q04,FORMAL,False,D,D,未列本輪取得的107年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q04.png,5f0c13e0169a9b86cc0daa48b758366c65468f0ad0f61e6ac422c359310b5bd0,L2714,41.3 / Digestion in the Small Intestine,,,41.3 / Digestion in the Small Intestine：肝臟製造膽汁、膽鹽乳化脂肪的直接段落在小腸消化。,無另列最小次條目；909正文明確區分肝製造與膽囊儲存，D成立。最小條目為小腸消化，無需用整個動物營養章代替。,官方D。膽鹽由肝臟製造，膽囊負責儲存與濃縮膽汁；十二指腸是接受膽汁協助脂肪消化的部位，胰臟分泌的是胰液，不是膽鹽。,"908,909","957,958",Codex /root,ISU-107-R2-Q04
ISU-107-Q05,FORMAL,False,C,C,未列本輪取得的107年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q05.png,2949f242d45de75cfe4d56a68bba75f3ea36415d0462862ca52cd9453ad53f93,L3364,50.3 / The Vertebrate Visual System,,,50.3 / The Vertebrate Visual System：視網膜的位置與眼球構造直接由脊椎動物視覺系統條目及圖50.17界定。,無另列最小次條目；完整眼球圖及1119正文確認視網膜內層；C成立。圖起於1118、目錄標題始1119的頁差保留。,官方C；視網膜位於眼球內層，接收聚焦影像並進行初步神經處理。鞏膜外層、脈絡膜中層，水晶體為聚焦構造；形成視覺知覺仍須腦部處理。圖50.17在印刷1118，條目正文始1119，保留實際跨頁對應。,"1118,1119,1120","1167,1168,1169",Codex /root,ISU-107-R2-Q05
ISU-107-Q06,FORMAL,False,D,D,未列本輪取得的107年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q06.png,906a7db1cb7c9403b7f39ddf8857ababdc39928b3c623fd6349b3a5bb288cbe8,L3023,45.2 / Coordination of the Endocrine and Nervous Systems,L3026,45.2 / Thyroid Regulation: A Hormone Cascade Pathway,45.2 / Coordination of the Endocrine and Nervous Systems：前葉與後葉、下視丘調控及前葉激素表屬內分泌與神經系統協調條目。,45.2 / Thyroid Regulation: A Hormone Cascade Pathway：thyroid hormone和前葉TSH須用甲狀腺級聯區別，同章次目保留。,官方D。前葉分泌生長激素、泌乳素與促性腺激素FSH/LH；甲狀腺素T3/T4由甲狀腺分泌。前葉TSH是促甲狀腺激素，不等於選項D thyroid hormone。,"1006,1007,1008,1009","1055,1056,1057,1058",Codex /root,ISU-107-R2-Q06
ISU-107-Q07,FORMAL,False,A,A,107年度6/15審議會議釋疑維持原答案A,1,18,1,1,24,26,questions/Q07.png,5ec4074c3493cb1b7708697be4a15b2ce395a0bd6e1a73acfdc8894c5ec8af1b,L1163,18.5 / Types of Genes Associated with Cancer,L1166,18.5 / Interference with Normal Cell-Signaling Pathways,18.5 / Types of Genes Associated with Cancer：致癌基因與原致癌基因的關係是本題四句判讀核心。,18.5 / Interference with Normal Cell-Signaling Pathways：Ras的細胞訊息路徑與癌化為D選項提供直接機制。,官方A，同年Q7釋疑維持A。致癌基因是遺傳物質，可由正常proto-oncogene突變或表現失調形成，並非細胞遺傳物質以外。原題D及釋疑以較寬的RAS致癌基因用語討論；Campbell更精確地區別正常ras原致癌基因與突變後過度活化Ras。此術語差異保留，不能因此任意改官方採計。,"388,389,390","437,438,439",Codex /root,ISU-107-R2-Q07
ISU-107-Q08,FORMAL,False,D,D,未列本輪取得的107年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q08.png,a1d3c75e5a3093fb9ab387db825e7b3d40578873439080b7e3a4a9e42d0a4da8,L0333,6.3 / The Nucleus: Information Central,L0275,5.5 / The Roles of Nucleic Acids,6.3 / The Nucleus: Information Central：D的錯誤在真核染色體的主要儲存位置，核的最小條目最直接。,5.5 / The Roles of Nucleic Acids：核酸的資訊儲存與遺傳作用支援A及B。,官方D。典型真核細胞的主要染色體在細胞核，並非細胞質。線粒體與葉綠體另有DNA，不因此使D成立；C把整組染色體與genome連用屬簡化說法，完整基因組定義應注意胞器等核外遺傳物質的範圍。,"84,85,102,103","133,134,151,152",Codex /root,ISU-107-R2-Q08
ISU-107-Q09,FORMAL,False,A,A,未列本輪取得的107年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q09.png,8f78b3d90e42e86504be4c80575dfdb449f7c238900317f2dfdd03ee04ae12ad,L0346,6.4 / The Golgi Apparatus: Shipping and Receiving Center,L0343,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory,6.4 / The Golgi Apparatus: Shipping and Receiving Center：高基氏體對分泌產物的加工、分類及包裝是官方A對應的胞器功能。,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory：原題「合成」過廣，須另列內質網及其附著核糖體的分泌蛋白製造分工。,官方A。高基氏體加工、修飾、分類及包裝分泌產物，也能製造某些多醣；分泌蛋白的翻譯主要由粗糙內質網附著核糖體完成。不能把「合成及儲存分泌物」解釋為高基氏體獨自合成全部分泌蛋白，亦不抹去核糖體選項與廣義合成措辭的差異。,"104,105,106,107","153,154,155,156",Codex /root,ISU-107-R2-Q09
ISU-107-Q10,FORMAL,False,B,B,未列本輪取得的107年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q10.png,fcc3cf3bf6bb55521618b9e20e4b79af8933c33bf14f42f0fdf21e32f5773b1e,L3251,49.2 / The vertebrate brain is regionally specialized,L2843,42.6 / Control of Breathing in Humans,49.2 / The vertebrate brain is regionally specialized：延腦、橋腦與中腦的腦幹功能介紹在49.2開頭，沒有更小的Brainstem正式目錄葉節。,42.6 / Control of Breathing in Humans：呼吸中樞的CO2/pH調節在42.6的專門小節補足功能。,官方B。延腦調節心跳、血管及基本呼吸節律；橋腦也參與呼吸調節，並非完全無關。題目問主要位置，採延腦，不將正文小標Brainstem虛構為目錄條目。,"946,1091,1092,1093","995,1140,1141,1142",Codex /root,ISU-107-R2-Q10
