題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-112-Q01,FORMAL,False,B,B,同年度釋疑維持原答案B,22,22,1,1,4,questions/Q01.png,527977711de49aef5f812dad32a350a6620da332331134cef8e0c7040bf8c8f2,L3351,50.2 / Hearing and Equilibrium in Mammals,,,50.2 / Hearing and Equilibrium in Mammals：耳石在橢圓囊與球囊造成毛細胞偏折，題目問頭位與平衡，最小目錄直接落在哺乳類聽覺與平衡。,無另列最小次條目；重比原題A–D、官方B及釋疑1，印刷1115的耳石與頭位、加速度可直接解釋B；保留50.2哺乳類聽覺平衡，不另列一般動作電位條目。,官方B且釋疑維持。耳石協助感知頭部相對位置及直線加速度，缺少耳石不等於耳內所有傳入訊號都消失，也不能推出完全失聰。Campbell印刷1115直接描述此機制；釋疑引用Vander 2008僅作公告引用記錄，未冒稱本輪取得該書。,"1112,1113,1114,1115,1116","1161,1162,1163,1164,1165",Codex /root,ISU-112-R2-Q01
ISU-112-Q02,FORMAL,False,B,B,未列於本輪取得112生物釋疑PDF4下方至7；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,22,22,1,1,,questions/Q02.png,d0c88a8f6b9ba86e63f16425888d778d1284c013d9530b541b619659b47c4132,L3271,49.3 / Information Processing,,,49.3 / Information Processing：枕葉受傷與視覺皮質功能的對應屬大腦資訊處理，正文圖與段落指向枕葉視覺區。,無另列最小次條目；枕葉受損屬中樞資訊處理；印刷1097–1098的大腦皮質定位支持49.3最小條目，不把周邊眼球感光混入次目。,官方B。枕葉含主要視覺處理區，最可能造成視覺障礙；題目問皮質功能定位，並非眼球光受器或聽覺傳入機制。,"1091,1092,1096,1097,1098","1140,1141,1145,1146,1147",Codex /root,ISU-112-R2-Q02
ISU-112-Q03,FORMAL,False,A,A,未列於本輪取得112生物釋疑PDF4下方至7；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,22,22,1,1,,questions/Q03.png,a805c0c34b6a1dc1504826289c1159a90c23ca73278939f30f8ffafeb2ca13fd,L2927,43.4 / Evolutionary Adaptations of Pathogens That Underlie Immune System Avoidance,,,43.4 / Evolutionary Adaptations of Pathogens That Underlie Immune System Avoidance：本題辨識HIV感染的細胞類型；病原體規避免疫系統的演化適應條目下，印刷973的Attack on the Immune System: HIV直接列巨噬細胞與腦細胞。正文HIV小標不是獨立目錄。,無另列最小次條目；印刷973直接列巨噬及腦細胞的HIV段落隸屬Evolutionary Adaptations of Pathogens That Underlie Immune System Avoidance，故保留L2927而不誤稱另一個Immunodeficiency Diseases目錄。官方A一致，未擴大腦細胞感染範圍。,官方A。Campbell在輔助性T細胞之外列出低CD4量的巨噬細胞及腦細胞等感染對象；原題的腦細胞是廣稱，不將其擴張成所有神經元皆受感染。,"972,973","1021,1022",Codex /root,ISU-112-R2-Q03
ISU-112-Q04,FORMAL,False,D,D,未列於本輪取得112生物釋疑PDF4下方至7；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,22,22,1,1,,questions/Q04.png,07ea3ad3b250fa74a2450f62f5a1c097e0a24912de1008edc2a82f426c829169,L2795,42.3 / Fluid Return by the Lymphatic System,,,42.3 / Fluid Return by the Lymphatic System：骨骼肌收縮促進淋巴回流，直接對應淋巴系統回收組織液的最小條目。,無另列最小次條目；題目考淋巴流動的驅力而不問肌動肌凝蛋白；印刷933回流段落直接解釋D。只列淋巴回流最小條目，並保留瓣膜和平滑肌作用。,官方D。鄰近骨骼肌擠壓淋巴管、管壁平滑肌活動與瓣膜共同促進單向回流；D是選項中的主要因素，不表示只有骨骼肌能影響淋巴流動。,"932,933,934","981,982,983",Codex /root,ISU-112-R2-Q04
ISU-112-Q05,FORMAL,False,C,C,未列於本輪取得112生物釋疑PDF4下方至7；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,22,22,1,1,,questions/Q05.png,66d56b47b652c1c64ddc015367cc56f398b4f760fc3fa0b9f55def02ceacc312,L2763,42.1 / Organization of Vertebrate Circulatory Systems,,,42.1 / Organization of Vertebrate Circulatory Systems：比較兩生類與哺乳類的循環迴路與房室配置，最小條目為脊椎動物循環系統組織。,無另列最小次條目；對照兩生類三腔及哺乳類四腔，確定共有兩迴路而非完全分隔；原題C與印刷924–926一致，採脊椎動物循環組織最小條目。,官方C。人類與成體兩生類皆為雙循環，但典型兩生類心臟三腔、人類四腔，前者兩迴路血液不完全分離。共有的是迴路數目，不是心房心室數或完全分隔。,"924,925,926","973,974,975",Codex /root,ISU-112-R2-Q05
ISU-112-Q06,FORMAL,False,D,D,未列於本輪取得112生物釋疑PDF4下方至7；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,22,22,1,1,,questions/Q06.png,2b476675ee3022fb4e6281b209541db9cd50ecde849f294a6f55cbfa90c5a522,L2623,40.1 / Hierarchical Organization of Body Plans,,,40.1 / Hierarchical Organization of Body Plans：骨是具礦化基質的結締組織，印刷878組織圖說在身體構造的階層組織條目內，當地目錄無更小的硬骨或結締組織條目。,無另列最小次條目；重新核對目錄階層，硬骨圖在Hierarchical Organization of Body Plans下，原題D的礦化膠原基質與878圖說吻合，未新增虛構葉節點。,官方D。硬骨基質含膠原與鈣、磷等礦物鹽；軟骨、疏鬆與纖維結締組織的基質性質不同。不以正文圖中Bone標題冒造目錄條目。,"876,877,878,879","925,926,927,928",Codex /root,ISU-112-R2-Q06
ISU-112-Q07,FORMAL,False,D,D,未列於本輪取得112生物釋疑PDF4下方至7；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,22,22,1,1,,questions/Q07.png,a1e04f42c974f3bb6fa06cf48ce1ce97ca91d6ed10fce3181b80fae076ca343c,L2626,40.1 / Coordination and Control,,,40.1 / Coordination and Control：神經與內分泌通訊的訊號類型、傳遞速度及範圍在協調與控制條目直接比較。,無另列最小次條目；印刷880比較神經軸突電位與神經元間化學傳遞，配合題幹神經相對內分泌特徵確定D。最小目錄用協調與控制，無需另將各訊號泛列到11章。,官方D。軸突沿線以電位變化傳訊，神經元間常以短距離化學訊號傳遞，因此涉及不止一類訊號。內分泌訊號經體液傳送、作用常較慢且持久是一般比較，並非每一種激素或神經反應都遵守絕對時間界線。,"880,881","929,930",Codex /root,ISU-112-R2-Q07
ISU-112-Q08,FORMAL,False,A,A,同年度釋疑維持原答案A,22,22,1,1,4,questions/Q08.png,e26d9d0ecac9a639cf3831ea7ee1e026afd374ae8a3a8ac0e8cb8da36d450937,L1817,28.3 / Alveolates,L1814,28.3 / Stramenopiles,28.3 / Alveolates：正文Alveolates之下的渦鞭藻段落直接說明赤潮，Dinoflagellates不是本地目錄中的獨立最小條目。,28.3 / Stramenopiles：矽藻是原題B且在釋疑中被承認亦有少見赤潮案例，保留其所在Stramenopiles最小條目以呈現同章有效差異。,官方A且釋疑維持。Campbell印刷605以渦鞭藻大量繁生說明赤潮，未提出排除所有其他生物的全稱命題。釋疑與Penn State教材亦承認少見矽藻案例，因此原題「會引起」的措辭比官方擇優解釋更廣。,"602,603,604,605","651,652,653,654",Codex /root,ISU-112-R2-Q08
ISU-112-Q09,FORMAL,False,C,C,未列於本輪取得112生物釋疑PDF4下方至7；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,22,22,1,1,,questions/Q09.png,4b02515a2a40befceee1e8edf19d6ea12d6231cf94dcdb8f7754be6944fcac2c,L1741,27.3 / Metabolic Cooperation,,,27.3 / Metabolic Cooperation：生物膜中不同原核細胞互利完成代謝，最小目錄有Metabolic Cooperation可直接選用。,無另列最小次條目；題幹特別問細胞間合作，生物膜群落分工才符合；印刷582–583與官方C一致。Metabolic Cooperation已足以覆蓋，不把光合干擾選項列為次目。,官方C。生物膜群落可分工利用或轉移代謝產物，呈現細胞間代謝協作；二分裂、形成內孢子或單一細胞光合自營本身不代表細胞間合作。,"582,583","631,632",Codex /root,ISU-112-R2-Q09
ISU-112-Q10,FORMAL,False,A,A,未列於本輪取得112生物釋疑PDF4下方至7；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,22,22,1,1,,questions/Q10.png,cebf6fccc02508d93d849ad03fd449138f33599b8f754b69bcaac297ef107181,L1606,25.6 / Evolutionary Novelties,,,25.6 / Evolutionary Novelties：原有保溫構造後來被用於飛行的功能轉用，屬演化新特徵條目中的exaptation。,無另列最小次條目；比對題設從保溫轉用飛行的歷程與印刷547–548，確認是構造功能徵用；主Evolutionary Novelties，沒有物種快速分化或功能喪失的分類需要。,官方A。題設為條件敘述：羽毛起初在體溫調節上有用，後被徵用於飛行，稱擴展適應。不能推成演化預先為將來飛行設計羽毛，也不是適應性輻射的物種數增加。,"547,548","596,597",Codex /root,ISU-112-R2-Q10
