題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-114-Q01,FORMAL,False,D,D,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,26,26,1,1,,questions/Q01.png,8a8440398b0af5f00bb33c04b7827a6e792369da8c26ea060b41bcf0e2bf6f5b,L2701,41.2 / Digestive Compartments,,,41.2 / Digestive Compartments：直接考消化道分區中砂囊的機械研磨功能，非蚯蚓演化親緣。,無另列最小次條目；重新比較咽、嗉囊、腸、砂囊四項，問題只需研磨功能，Ch41的Digestive Compartments直接涵蓋；Ch33物種分類不另列。,採D。砂囊研磨，嗉囊主要暫存；咽吞食、腸消化吸收。蚯蚓名稱只是器官比較的情境。,"903,904,905","952,953,954",Codex /root,ISU-114-R2-Q01
ISU-114-Q02,FORMAL,False,A,A,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,26,26,1,1,,questions/Q02.png,f9bfc9c92a86283f309a2f3ff9ce5f55c79bedd684b96587ec52cc957457d875,L1107,18.1 / Operons: The Basic Concept,,,18.1 / Operons: The Basic Concept：核心是操縱組調控中調控基因的蛋白產物。,無另列最小次條目；辨認題問調控基因產物，repressor不同於三個DNA區；保留Ch18操縱組，另註operator中文誤用而不改答案。,採A。抑制子為蛋白，operator、promoter、enhancer是DNA調控區。題本把operator譯為「操縱子」而非操縱區，原文照存，勿混成整個operon。,"366,367,368","415,416,417",Codex /root,ISU-114-R2-Q02
ISU-114-Q03,FORMAL,False,B,B,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,26,26,1,1,,questions/Q03.png,a226ba218636e061ee287b6b9936b56451d16ee19cadc68313263f9203e32ee6,L2623,40.1 / Hierarchical Organization of Body Plans,,,40.1 / Hierarchical Organization of Body Plans：直接依上皮形態與分泌功能辨認腺體，最小目錄為身體階層組織，細胞組織圖位於此條目。,無另列最小次條目；圖40.5直接列唾液腺立方上皮，題目只問形態；不因器官名稱加上未考的消化反應。採最小可驗目錄L2623。,採B。圖40.5把唾液腺列為立方上皮例；腺體實際含不同導管與支持組織，不能說每個細胞皆立方。,"876,877,878","925,926,927",Codex /root,ISU-114-R2-Q03
ISU-114-Q04,FORMAL,False,D,D,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,26,26,1,1,,questions/Q04.png,e061684a330edbb51318c595adb929fcc76515060e9842060474c2d23f63f205,L2967,44.3 / Survey of Excretory Systems,,,44.3 / Survey of Excretory Systems：比較不同動物的排泄構造，馬氏管是本條目中的昆蟲例。,無另列最小次條目；四物種是不同排泄構造的對照，Malpighian實見984–985；主維持排泄系統總覽，不增加演化支系。,採D。蚱蜢為昆蟲，馬氏管向消化道分泌廢物；扁蟲的原腎管系統不是馬氏管。,"983,984,985","1032,1033,1034",Codex /root,ISU-114-R2-Q04
ISU-114-Q05,FORMAL,False,C,C,同年度釋疑維持原答案C,26,26,1,1,8,questions/Q05.png,cac53cd31e6a84038bc817fdaca934074566ac74a3f416d7bdeeca501fbf4acf,L2557,39.2 / A Survey of Plant Hormones,"L2599,L2596",39.5 / Defenses Against Herbivores ; 39.5 / Defenses Against Pathogens,39.2 / A Survey of Plant Hormones：以激素身分及功能組合辨認茉莉酸，故主歸植物激素總覽的真實最小目錄。,39.5 / Defenses Against Herbivores：昆蟲取食誘發茉莉酸防禦是題幹的蟲害面向；39.5 / Defenses Against Pathogens：病原入侵及防禦亦是明示條件，同章次目照存,採C，釋疑維持。Campbell表39.1與855頁同時連結茉莉酸、傷害、植食與病原防禦。ABA也參與逆境，不能把抗逆性專屬茉莉酸；此題依病蟲害聯合條件判讀。,"846,847,855,866,867,868","895,896,904,915,916,917",Codex /root,ISU-114-R2-Q05
ISU-114-Q06,FORMAL,False,B,B,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,26,26,1,1,,questions/Q06.png,f23320f700d820a65232eb0cacab2f18e54e773d965d1faaa4cf6ca0b9068e1b,L1890,29.3 / Origins and Traits of Vascular Plants,L1893,29.3 / Classification of Seedless Vascular Plants,29.3 / Origins and Traits of Vascular Plants：辨別維管植物的世代優勢、輸導組織等共同衍生性狀。,29.3 / Classification of Seedless Vascular Plants：蕨類具名類群的生活史與分類提供主條目所述特徵的具體對照,採B為最不正確。蕨類主要可見植株是孢子體，配子體非優勢世代；有木質部韌皮部、以孢子繁殖。,"629,630,631,632","678,679,680,681",Codex /root,ISU-114-R2-Q06
ISU-114-Q07,FORMAL,False,D,D,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,26,26,1,1,,questions/Q07.png,13f59412d0fe6b56e39656a9853b115b81cecebe6eed648ee1b45687bc295235,L3493,52.2 / General Features of Terrestrial Biomes,L3643,54.4 / Latitudinal Gradients,52.2 / General Features of Terrestrial Biomes：四選项為陸域生物群系，先依群系比較辨別熱帶森林。,54.4 / Latitudinal Gradients：熱帶高物種豐度也涉及群落多樣性的緯度梯度,採D。教材熱帶森林圖列高度多樣性；緯度模式為一般趨勢，不能保證每片森林與每個分類群都最高。,"1172,1173,1174,1232","1221,1222,1223,1281",Codex /root,ISU-114-R2-Q07
ISU-114-Q08,FORMAL,False,A,A,同年度釋疑維持原答案A,26,26,1,1,8,questions/Q08.png,0e74b201d11bd84c894dadaf97f2656000f0db3a74f785505bbf1b538fbc73f3,L2763,42.1 / Organization of Vertebrate Circulatory Systems,L2760,42.1 / Open and Closed Circulatory Systems,42.1 / Organization of Vertebrate Circulatory Systems：心房心室數與脊椎動物血流路徑為主要判斷。,42.1 / Open and Closed Circulatory Systems：B、C另考開放與閉鎖循環的能耗和脊椎動物系統，保留同章次目,採A，釋疑維持。多數非鳥爬蟲兩心房一心室，鱷類四腔例外；魚類閉鎖循環，肺循環從右心室出發。原題「爬行類」未限縮，保留鱷類例外，不改題幹。,"923,924,925","972,973,974",Codex /root,ISU-114-R2-Q08
ISU-114-Q09,FORMAL,False,B,B,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,26,26,1,1,,questions/Q09.png,5c4e3b86e2bec38b342fbcb5e289683c57a52355fb03b479c73d176318bfc561,L1738,27.3 / Nitrogen Metabolism,L2463,37.3 / Bacteria and Plant Nutrition,27.3 / Nitrogen Metabolism：共同功能是原核生物把大氣N2還原的氮代謝。,37.3 / Bacteria and Plant Nutrition：根瘤共生菌供應植物氮素，解釋其中一方的植物營養情境,採B。中文根瘤菌通常對應rhizobia，題本英文Rhizobacteria較廣；也非所有藍綠菌皆固氮。以具固氮能力的代表判讀，保留雙語與量詞界線。,"582,814,815,816","631,863,864,865",Codex /root,ISU-114-R2-Q09
ISU-114-Q10,FORMAL,False,A,A,同年度釋疑維持原答案A,27,27,2,1,8,questions/Q10.png,05e78865725b88ca5bbf3e2f1b999ad199a93c6ca43bede062abd4ed48e99945,L2883,43.2 / Antigen Recognition by B Cells and Antibodies,L2899,43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens,43.2 / Antigen Recognition by B Cells and Antibodies：直接辨認B細胞膜上抗原受體與啟動，主歸B細胞抗原辨識。,43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens：Ig類型及膜型／分泌型抗體差異是四個選项的比較基礎,官方採A且維持。Campbell966頁把IgD稱為膜上BCR並写exclusively membrane bound；原始研究顯示IgM亦為BCR且存在分泌IgD，因此不能把A讀成IgD獨占B細胞活化。官方「主要」採計與科學非排他性分開。,"958,959,964,965,966","1007,1008,1013,1014,1015",Codex /root,ISU-114-R2-Q10
