題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-111-Q01,FORMAL,False,C,C,未列於本輪取得111生物釋疑PDF4下方及5；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,23,23,1,1,,questions/Q01.png,f4b3eb6b4294c6090c25851a8592f9f41d6ee0160f7ac06fc0c32268348269df,L1989,31.3 / The Origin of Fungi,L1840,28.5 / Opisthokonts,31.3 / The Origin of Fungi：問真菌的親緣起源；659頁將真菌與動物置於較近共同祖先，並指出nucleariids為真菌最近姊妹群。,28.5 / Opisthokonts：613頁後鞭毛生物包含動物、真菌與若干原生生物，直接限制D選項的廣義解讀。,官方採C動物。以傳統界級對比可理解命題意圖，但D「原生生物」並非單系群，包含教材659頁所示比動物更接近真菌的nucleariids；不得把C說成不附條件的唯一科學結論。分類由親緣而非營養方式決定。,"613,659,660","662,708,709",Codex /root,ISU-111-R2-Q01
ISU-111-Q02,FORMAL,False,B,B,未列於本輪取得111生物釋疑PDF4下方及5；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,23,23,1,1,,questions/Q02.png,677874272f4cd0e64ea2904bf755c9bf8ec6f767fdb8765141069ebe6b59d3b1,L2908,43.3 / Immunization,,,43.3 / Immunization：968–969頁疫苗與人工主動免疫最直接涵蓋疫苗平台用途；不在目錄另造COVID疫苗條目。,無另列最小次條目；題問疫苗平台，免疫接種最貼近目的；EMA具名AZ載體補足，教材未收錄商品不冒稱直接記載。,官方B為AZ病毒載體疫苗。EMA產品評估確認ChAdOx1非複製型黑猩猩腺病毒載體攜帶S蛋白基因。Campbell支援免疫接種原理，沒有本題四商品的完整比較；mRNA與蛋白疫苗不是病毒載體，分類不移到一般病毒生活史。,"968,969","1017,1018",Codex /root,ISU-111-R2-Q02
ISU-111-Q03,FORMAL,False,A,A,未列於本輪取得111生物釋疑PDF4下方及5；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,23,23,1,1,,questions/Q03.png,c1fa903c22e60177c02d114706b179b558ba5bedcf56201b299355bd390872e5,L3231,48.4 / Neurotransmitters,,,48.4 / Neurotransmitters：1081頁明列serotonin由tryptophan合成，直接回答神經傳導物質前驅物。,無另列最小次條目；四選項是胺基酸前驅物，1081頁serotonin合成可決定，牛奶催眠前提未據此證成。,官方A色胺酸。牛奶情境不是本題分類主軸；色胺酸為血清素前驅物並不單獨證實喝牛奶有鎮靜或治療失眠效果。,"1080,1081","1129,1130",Codex /root,ISU-111-R2-Q03
ISU-111-Q04,FORMAL,False,B,B,未列於本輪取得111生物釋疑PDF4下方及5；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,23,23,1,1,,questions/Q04.png,e89a3fd8447a97531dae3b80c0193785af83b67683169882a5abddb575eae318,L1232,20.1 / DNA Sequencing,L1307,21.2 / Understanding Genes and Gene Expression at the Systems Level,20.1 / DNA Sequencing：416–417頁高通量DNA定序說明NGS取得核酸序列，界定它不能直接測得的蛋白功能層級。,21.2 / Understanding Genes and Gene Expression at the Systems Level：446–447頁蛋白體與系統層級基因表現補足核酸推論和蛋白實測的差別。,官方B。NGS能分析核酸與經逆轉錄的RNA，也能間接推論功能，但不能單靠序列直接量測所有轉譯後修飾、蛋白活性或互作；本題「無法」依直接測量層級解讀。,"416,417,424,425,446,447","465,466,473,474,495,496",Codex /root,ISU-111-R2-Q04
ISU-111-Q05,FORMAL,False,D,D,未列於本輪取得111生物釋疑PDF4下方及5；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,23,23,1,1,,questions/Q05.png,52fa42343f8a66d91bba8471f25ffd970e8446561c465ea977c68d6c106b1cdb,L2998,45.1 / Intercellular Information Flow,,,45.1 / Intercellular Information Flow：1001頁局部調節物的prostaglandins為修飾脂肪酸；屬細胞間訊息流動中的旁分泌情境。,無另列最小次條目；1001頁明列修飾脂肪酸；原選項嘌呤／類固醇／嘧啶／脂肪酸已完整比較，局部訊息流動為最小目錄。,官方D脂肪酸類。前列腺素不是由嘌呤、嘧啶或類固醇產生；最小目錄沒有單列prostaglandins，採其所屬Intercellular Information Flow。,"1000,1001","1049,1050",Codex /root,ISU-111-R2-Q05
ISU-111-Q06,FORMAL,False,A,A,未列於本輪取得111生物釋疑PDF4下方及5；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,23,23,1,1,,questions/Q06.png,7bdd88f2bbd1428b914200b13202b20746e4896eb17d5d37af054c8b1f28d511,L2711,41.3 / Digestion in the Stomach,,,41.3 / Digestion in the Stomach：907–908頁胃消化與腺體分泌，直接對應胃黏膜細胞及胃酸調控。,無另列最小次條目；907頁胃酸分泌細胞與MeSH組織胺來源分開，ECL是刺激上游而非壁細胞別名。,官方A ECL細胞分泌histamine刺激壁細胞分泌酸。Campbell907頁直接列chief與parietal細胞，未細列ECL；NCBI MeSH補足ECL—histamine關係。主細胞分泌胃蛋白酶原；D細胞的somatostatin與杯狀細胞黏液不等於組織胺。,"907,908","956,957",Codex /root,ISU-111-R2-Q06
ISU-111-Q07,FORMAL,False,B,B,未列於本輪取得111生物釋疑PDF4下方及5；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,23,23,1,1,,questions/Q07.png,d6978ed6c9baf92166da2f603b1db653dbf7e8efacf0aa8e081fae960532fdce,L0968,15.4 / Abnormal Chromosome Number,L0948,15.2 / X Inactivation in Female Mammals,15.4 / Abnormal Chromosome Number：307頁有絲分裂不分離可在同一個體產生不同染色體組成的細胞系，是題目遺傳嵌合的直接教材例子。,15.2 / X Inactivation in Female Mammals：300頁X失活造成表現型嵌合，用來比較功能性嵌合與DNA差異。,官方B mosaicism。NHGRI定義為單一受精卵來源但細胞具有不同基因組；chimera通常來自不同合子。一般遺傳嵌合也可由受精後序列突變造成，不限染色體數目；X失活是功能性嵌合例子，不能說失活本身必使DNA序列不同。,"300,307,308","349,356,357",Codex /root,ISU-111-R2-Q07
ISU-111-Q08,FORMAL,False,B,B,未列於本輪取得111生物釋疑PDF4下方及5；依同年度答案PDF1最下方生物表採計；不宣稱不存在其他未取得公告,23,23,1,1,,questions/Q08.png,5734bb4fe297c48b7e2e147395f880f4c8da0fc467f9e0ec3f02427f960ba143,L1251,20.2 / Analyzing Gene Expression,L1307,21.2 / Understanding Genes and Gene Expression at the Systems Level,20.2 / Analyzing Gene Expression：424–425頁RNA-seq以cDNA定序比較細胞轉錄本，最貼近題目要研究的RNA表現集合。,21.2 / Understanding Genes and Gene Expression at the Systems Level：446–447頁轉錄體與蛋白體的整體比較，保留組學層級的次要關係。,官方B。RNA-seq適用轉錄體分析，蛋白體或代謝物方法對象不同。原題「轉錄質體學」照留，科學說明使用轉錄體學（transcriptomics）；不默改原圖或原題。,"423,424,425,446,447","472,473,474,495,496",Codex /root,ISU-111-R2-Q08
ISU-111-Q09,FORMAL,False,D,D,同年度釋疑維持原答案D,23,23,1,1,4,questions/Q09.png,49edb62b9a58da77623c0ccfc5603e96a56207fd3076a5fd5b89e82ddb552def,L1136,18.3 / Effects on mRNAs by MicroRNAs and Small Interfering RNAs,L1139,18.3 / Chromatin Remodeling and Effects on Transcription by ncRNAs,18.3 / Effects on mRNAs by MicroRNAs and Small Interfering RNAs：380頁siRNA與miRNA對mRNA的作用直接涵蓋RNAi促進降解及抑制轉譯。,18.3 / Chromatin Remodeling and Effects on Transcription by ncRNAs：380頁ncRNA對染色質與轉錄的作用支持核內沉默界線，同章最小次目保留。,官方釋疑維持D促進mRNA降解。原題問RNAi作用，沒有明寫只限siRNA主要機制；公告承認某些情況抑制轉錄，Campbell380也支持ncRNA轉錄沉默，因此採D不表示A機制不存在。公告另談「抑制轉譯」，但原C實為「抑制mRNA的剪接」，兩者不可混同；B為轉譯後修飾，也不是翻譯抑制。其他版本及Becker頁碼只是公告引文，未冒充本輪12e實讀。,"379,380","428,429",Codex /root,ISU-111-R2-Q09
ISU-111-Q10,FORMAL,False,B,A/B,同年度釋疑更正為A/B皆可；原答案B保留,23,23,1,1,4,questions/Q10.png,970e20200f0812971f5e409b47e51ce6c0a8293c3e19a68c5ec0f5452df450b9,L2802,42.4 / Blood Composition and Function,,,42.4 / Blood Composition and Function：936頁凝血級聯、血小板及纖維蛋白屬Blood Composition and Function，沒有獨立凝血因子最小目錄。,無另列最小次條目；PDF4結果欄明列(A)(B)皆可；原B及採計A/B分欄，沒有用科學偏好取代正式更正。,原答案B；同年度釋疑PDF4更正A/B皆可。公告解釋鈣為第IV凝血因子，與VII及組織因子形成外在路徑相關複合物。Campbell支援凝血原理，未列完整因子編號；精確採計依111官方更正，不依教材自行選回單一答案。,"934,935,936,937","983,984,985,986",Codex /root,ISU-111-R2-Q10
