mode,chapter_number,chapter,count
primary,39,Ch39 Plant Responses to Internal and External Signals,6
primary,16,Ch16 The Molecular Basis of Inheritance,5
primary,6,Ch06 A Tour of the Cell,4
primary,17,Ch17 Gene Expression: From Gene to Protein,3
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,3
primary,10,Ch10 Photosynthesis,2
primary,12,Ch12 The Cell Cycle,2
primary,15,Ch15 The Chromosomal Basis of Inheritance,2
primary,20,Ch20 DNA Tools and Biotechnology,2
primary,34,Ch34 The Origin and Evolution of Vertebrates,2
primary,44,Ch44 Osmoregulation and Excretion,2
primary,54,Ch54 Community Ecology,2
primary,9,Ch09 Cellular Respiration and Fermentation,1
primary,11,Ch11 Cell Communication,1
primary,14,Ch14 Mendel and the Gene Idea,1
primary,19,Ch19 Viruses,1
primary,22,Ch22 Descent with Modification: A Darwinian View of Life,1
primary,25,Ch25 The History of Life on Earth,1
primary,28,Ch28 Protists,1
primary,29,Ch29 Plant Diversity I: How Plants Colonized Land,1
primary,33,Ch33 An Introduction to Invertebrates,1
primary,37,Ch37 Soil and Plant Nutrition,1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,47,Ch47 Animal Development,1
primary,48,"Ch48 Neurons, Synapses, and Signaling",1
primary,50,Ch50 Sensory and Motor Mechanisms,1
primary,55,Ch55 Ecosystems and Restoration Ecology,1
secondary,31,Ch31 Fungi,2
secondary,10,Ch10 Photosynthesis,1
secondary,28,Ch28 Protists,1
secondary,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
secondary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,1
secondary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
secondary,54,Ch54 Community Ecology,1
both,39,Ch39 Plant Responses to Internal and External Signals,6
both,16,Ch16 The Molecular Basis of Inheritance,5
both,6,Ch06 A Tour of the Cell,4
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,4
both,10,Ch10 Photosynthesis,3
both,17,Ch17 Gene Expression: From Gene to Protein,3
both,54,Ch54 Community Ecology,3
both,12,Ch12 The Cell Cycle,2
both,15,Ch15 The Chromosomal Basis of Inheritance,2
both,20,Ch20 DNA Tools and Biotechnology,2
both,28,Ch28 Protists,2
both,31,Ch31 Fungi,2
both,34,Ch34 The Origin and Evolution of Vertebrates,2
both,38,Ch38 Angiosperm Reproduction and Biotechnology,2
both,44,Ch44 Osmoregulation and Excretion,2
both,9,Ch09 Cellular Respiration and Fermentation,1
both,11,Ch11 Cell Communication,1
both,14,Ch14 Mendel and the Gene Idea,1
both,19,Ch19 Viruses,1
both,22,Ch22 Descent with Modification: A Darwinian View of Life,1
both,25,Ch25 The History of Life on Earth,1
both,29,Ch29 Plant Diversity I: How Plants Colonized Land,1
both,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
both,33,Ch33 An Introduction to Invertebrates,1
both,37,Ch37 Soil and Plant Nutrition,1
both,47,Ch47 Animal Development,1
both,48,"Ch48 Neurons, Synapses, and Signaling",1
both,50,Ch50 Sensory and Motor Mechanisms,1
both,55,Ch55 Ecosystems and Restoration Ecology,1
