題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-111-Q01,FORMAL,False,D,D,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q01.png,bcd39d228d963c7bc3f02fc3e0c85544b19aab0fd75c808abf211e78034aa119,L1085,17.5 / Types of Small-Scale Mutations,,,17.5 / Types of Small-Scale Mutations：357–359頁以插入或缺失改變讀框解釋小尺度突變，直接對應四個片段長度。,無另列最小次條目；重看4、17、7、18及stop codon完整題文；核心是非3倍數造成移框，定位17.5小尺度突變。18保持框而非保證功能，Q1右緣修復後問號完整。,官方D。18為3的倍數，在編碼區插入18鹼基通常保持下游讀框；4、17、7皆非3倍數。保持讀框不表示蛋白質功能正常；題幹泛稱基因片段，若在非編碼區則不能直接套用讀框推論。,"357,358,359","406,407,408",Codex /root,TCU-111-R2-Q01
TCU-111-Q02,FORMAL,False,B,B,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q02.png,c40261b7a560402f5dbe0f559476c7c35b5d9d5817aeff5023c89c87f90695a9,L0724,11.3 / Small Molecules and Ions as Second Messengers,L0734,11.4 / Regulation of the Response,11.3 / Small Molecules and Ions as Second Messengers：223–225頁的cAMP、Ca²⁺及IP3等第二訊使，把上游刺激傳遞給多個下游分子。,11.4 / Regulation of the Response：226–227頁的訊號放大補足題幹酵素催化大量產物的機制。,官方B。第二訊使是細胞內小分子或離子；Ca²⁺即使在IP3下游仍稱第二訊使，不依步驟改叫第三、第四級。酵素級聯也能放大訊號，並非所有放大都只靠第二訊使。,"223,224,225,226,227","272,273,274,275,276",Codex /root,TCU-111-R2-Q02
TCU-111-Q03,FORMAL,False,A,A,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q03.png,75ea222168de28fde68785c01cfc3e4e64165849484975658074acf13272e178,L2557,39.2 / A Survey of Plant Hormones,,,39.2 / A Survey of Plant Hormones：852–854頁在植物激素綜覽下直接列乙烯、街燈煤氣與葉片脫落。,無另列最小次條目；乙烯段同時支援煤氣與落葉，最小目錄是激素綜覽而非正文Ethylene小標；十八世紀與1800年代差異分存。,官方A。乙烯促進離層形成，作用也受葉片生長素平衡影響。原題寫十八世紀初，本地教材852頁寫1800年代，且1901年辨認乙烯；年代差異照存，不回改原題。,"852,853,854","901,902,903",Codex /root,TCU-111-R2-Q03
TCU-111-Q04,FORMAL,False,C,C,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q04.png,2e12cbe07e1a33c59cddede8542df516f95cf3b7554d6d08211ffe11d0f7cd92,L2093,33.1 / Sponges are basal animals that lack tissues,,,33.1 / Sponges are basal animals that lack tissues：690–691頁的海綿概念本身沒有更小目錄子項，直接說明缺少真正組織。,無另列最小次條目；重新比對四選項與33.1，實際目錄沒有子目，概念本身已最小；有細胞分工與無真正組織可以並存。,官方C。海綿有分化細胞但無真正組織與器官；其他選項動物具有組織。缺組織不等於缺細胞分工，不把海綿生活史或刺胞動物當主目。,"690,691","739,740",Codex /root,TCU-111-R2-Q04
TCU-111-Q05,FORMAL,False,D,D,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q05.png,b1653be704a8190789c0f778e495753d245dcbdfe0d22656e16257e9864c4153,L0789,12.3 / The Cell Cycle Control System,,,12.3 / The Cell Cycle Control System：244–247頁的週期控制系統以cyclin濃度週期性變化調控Cdk。,無另列最小次條目；逐項比較合成降解的是cyclin；控制系統最小項已足，不另列肌動蛋白或細胞質分裂。,官方D。週期素合成與降解使其量起伏；週期素依賴激酶的活性受結合週期素等方式調節，不可把Cdk活性變化等同其蛋白質量同步週期降解。肌動、肌凝蛋白不是題問的時鐘。,"244,245,246,247","293,294,295,296",Codex /root,TCU-111-R2-Q05
TCU-111-Q06,FORMAL,False,B,B,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q06.png,37cb8afa0c39f52655be57cb97d2886e3d51cf55bef51130e7ab6c3d8cb94aed,L0365,6.5 / Mitochondria: Chemical Energy Conversion,,,6.5 / Mitochondria: Chemical Energy Conversion：109–110頁描述粒線體由外膜及摺成嵴的內膜包圍。,無另列最小次條目；對照內外膜圖與四胞器，粒線體項可直接決定B，不需為無關內膜系統另加章。,官方B。雙層膜指兩個各自的磷脂雙層膜；內質網、高基氏體及細胞膜不是兩個包膜。不能把單一膜的兩個脂質葉層當成題問雙層膜。,"109,110","158,159",Codex /root,TCU-111-R2-Q06
TCU-111-Q07,FORMAL,False,A,A,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q07.png,f6fc70ef3292864c9fec2b8095e0edcd9435605a75715a406c777551e9489150,L3231,48.4 / Neurotransmitters,,,48.4 / Neurotransmitters：1080–1082頁區分小分子與胜肽傳遞物質，配合1077–1078頁突觸前釋放。,無另列最小次條目；以神經傳遞物質類型及突觸圖回查，A涵蓋不同合成處；小泡是儲釋位置，未把所有類型簡化為同一小胞器。,官方A。合成位置屬突觸前神經元；胜肽主要在胞體合成，小分子多在末梢由酵素生成。突觸小泡主要儲存與釋放，不能把所有傳遞物質概括為在小泡內合成或都以小泡儲存，NO等另有例外。,"1077,1078,1080,1081,1082","1126,1127,1129,1130,1131",Codex /root,TCU-111-R2-Q07
TCU-111-Q08,FORMAL,False,C,C,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q08.png,4b3d6bf4bbbc4ebdd8fbe9c53c4444f53e89d93d6b63b9dc9b9db24fce5a9f70,L2957,44.2 / Forms of Nitrogenous Waste,L2960,44.2 / The Influence of Evolution and Environment on Nitrogenous Wastes,44.2 / Forms of Nitrogenous Waste：982–983頁比較氨、尿素與尿酸的溶解度、毒性及能量成本。,44.2 / The Influence of Evolution and Environment on Nitrogenous Wastes：983頁補充陸生環境與有殼卵使不溶性排泄物有利。,官方C。尿酸難溶，可用少量水排出；其生成成本較高，並非快速溶於水或毒性最大。節水與能量成本是取捨，不能以低毒性推論低合成成本。,"982,983","1031,1032",Codex /root,TCU-111-R2-Q08
TCU-111-Q09,FORMAL,False,B,B,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q09.png,85478862effebd1c5f6e01efd48822dc0a1e96f1d95cab87ec9ee9f258e2158c,L3144,47.2 / Gastrulation,,,47.2 / Gastrulation：1049–1052頁原腸形成的細胞內移、原腸及胚孔直接對應發育階段。,無另列最小次條目；重看blastopore與各階段，原腸形成最小項直接支援B；不把神經胚、體腔當同義。,官方B。胚孔在原腸形成時出現，不能與囊胚腔混同；囊胚形成、神經胚形成及體腔形成不是此開口出現的最佳階段。,"1049,1050,1051,1052","1098,1099,1100,1101",Codex /root,TCU-111-R2-Q09
TCU-111-Q10,FORMAL,False,A,A,未列本輪取得的111年度生物釋疑PDF4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q10.png,d73be9497d5ae7d349f171393b3c9e216fd9e66c2f3d8a6f2c4a84a210e37ebd,L0371,6.5 / Peroxisomes: Oxidation,,,6.5 / Peroxisomes: Oxidation：112頁過氧化體最小目錄項下的乙醛酸循環體，直接涉及發芽油籽脂肪轉為糖。,無另列最小次條目；教材glyoxysome正文配合儲油萌發與油菜研究，只支援選項比較與相關胞器；保留物種與全文取得限制。,官方A。油質體供應脂肪，乙醛酸循環體與粒線體及細胞質參與儲油動員和糖生成；葉綠體最無直接關聯。830–831頁補足萌發使用儲存養分；補充論文研究油菜，不冒稱蓖麻實驗，也不擴張為所有質體都絕不參與。,"112,830,831","161,879,880",Codex /root,TCU-111-R2-Q10
