題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-112-Q01,FORMAL,False,B,B,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q01.png,9ae8bf3a0b3d500053f50d409eb3d7f31634c8b761af7c1053a54aade77eb178,L0892,14.3 / Extending Mendelian Genetics for a Single Gene,,,14.3 / Extending Mendelian Genetics for a Single Gene：以紅白純合親本、粉紅F1及F2分離辨認單基因不完全顯性。,無另列最小次條目；重看三代表型與A–D，異型合子粉紅而非紅白並列，確認14.3單基因延伸；不需另立發育主題。,官方B。異型合子表型介於兩純合子之間，屬不完全顯性；共顯性是兩種表型皆可辨認，不能因F2有三種顏色便稱共顯性。,"278,279","327,328",Codex /root,TCU-112-R2-Q01
TCU-112-Q02,FORMAL,False,B,B,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q02.png,64f2bd89ef8f8029c2801e6d7f3042539e1205ae0c36ce8eb357667b7eae0fbb,L2924,"43.4 / Exaggerated, Self-Directed, and Diminished Immune Responses",L2899,43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens,"43.4 / Exaggerated, Self-Directed, and Diminished Immune Responses：辨認IgE與肥大細胞參與的立即型過敏。",43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens：補足不同抗體類別的功能與IgE定位。,官方B。IgE先結合肥大細胞，致敏後過敏原交聯其表面IgE才引發脫顆粒與組織胺釋放；不能理解為游離IgE單獨必然使細胞釋放組織胺。,"965,970,971","1014,1019,1020",Codex /root,TCU-112-R2-Q02
TCU-112-Q03,FORMAL,False,A,A,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q03.png,6d6b6b2eb5f08add3e59fa3be16cf112874bcd08ef1e922a1ba559113c1fa076,L3150,47.2 / Organogenesis,L2170,34.2 / Derived Characters of Vertebrates,47.2 / Organogenesis：題目問色素細胞前驅細胞的胚胎來源，核心是神經脊遷移與器官形成。,34.2 / Derived Characters of Vertebrates：補足神經脊為脊椎動物衍生特徵及其產物。,官方A（神經脊細胞）。須區分色素細胞來源與皮膚附屬構造來源；原題把魚鱗、羽毛、毛髮一概稱表皮衍生物過度概括。斑馬魚鱗片研究顯示真皮成鱗細胞沉積鈣化基質，不能用這句概括否定A。,"722,723,1054,1055","771,772,1103,1104",Codex /root,TCU-112-R2-Q03
TCU-112-Q04,FORMAL,False,C,C,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q04.png,6eea4e1593256d94533e9122f33cf32b096c3ec2b473f476078ab1d543697d22,L1085,17.5 / Types of Small-Scale Mutations,L0911,14.4 / Recessively Inherited Disorders,17.5 / Types of Small-Scale Mutations：G542X表示第542位甘胺酸改為終止訊號，直接考小尺度突變類型。,14.4 / Recessively Inherited Disorders：CFTR與隱性囊性纖維化提供人類遺傳疾病背景。,官方C（無義突變）。ClinVar的CFTR c.1624G>T／p.Gly542Ter與題中G542X相符；這是胺基酸密碼子變為終止密碼子，不是同義或一般錯義替換。,"285,286,357,358","334,335,406,407",Codex /root,TCU-112-R2-Q04
TCU-112-Q05,FORMAL,False,A,A,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q05.png,9e069c70ab8a15b3d47b7f58c9394687f24f93079185a841cb355bd941ad7ee4,L0598,9.5 / Comparing Fermentation with Anaerobic and Aerobic Respiration,L0595,9.5 / Types of Fermentation,9.5 / Comparing Fermentation with Anaerobic and Aerobic Respiration：酵母生長而不產酒精，需比較有氧呼吸與發酵條件。,9.5 / Types of Fermentation：酒精發酵的產物與NAD+再生機制支援判別。,官方A（含有氧氣），屬題目預期的呼吸／發酵對照。不能擴張成所有酵母只要有氧就不產酒精：Crabtree陽性酵母可在有氧、高糖下產乙醇。補充研究實驗用葡萄糖，不能冒充本題麥芽糖培養的實測；原卷沒有菌株、糖濃度與氧耗資料。,"180,181,182","229,230,231",Codex /root,TCU-112-R2-Q05
TCU-112-Q06,FORMAL,False,B,B,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q06.png,fb6421b00ba66f07fdacdf4e2a17a5197810bf43e15182eb264a8c6665f79745,L2763,42.1 / Organization of Vertebrate Circulatory Systems,,,42.1 / Organization of Vertebrate Circulatory Systems：直接辨認魚類血液每輪只經心臟一次的單循環。,無另列最小次條目；重走心臟、鰓、身體、心臟路徑，魚類每輪經心一次；Circulatory Systems為最小目錄定位。,官方B。心臟→鰓微血管→全身微血管→心臟為單循環；兩套微血管床不等於雙循環，不能只以心腔數替代循環路徑。,"924,925","973,974",Codex /root,TCU-112-R2-Q06
TCU-112-Q07,FORMAL,False,A,A,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q07.png,e1e90cd3321129b7539dfd105caf5a230cc65b5ba368ca0e4ebb9f067f0dfa1e,L3144,47.2 / Gastrulation,L3150,47.2 / Organogenesis,47.2 / Gastrulation：比較三胚層形成及衍生組織，脊索屬中胚層。,47.2 / Organogenesis：器官形成中的脊索與神經管位置補足衍生關係。,官方A。毛囊表皮來自外胚層，肝臟及肺的主要上皮來自內胚層；器官的結締、血管等成分可另來自中胚層，不能把整個混合器官說成只有單一胚層來源。,"1050,1051,1054","1099,1100,1103",Codex /root,TCU-112-R2-Q07
TCU-112-Q08,FORMAL,False,A,A,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q08.png,ea2533e43e3fa2d4f6ab8328c504a9352157fbcc41f12ed4a287b299d9bcac69,L2717,41.3 / Absorption in the Small Intestine,,,41.3 / Absorption in the Small Intestine：腸吸收後的血液經肝門靜脈進肝，屬小腸營養吸收路徑。,無另列最小次條目；題幹限定富營養的血液送肝，A肝門靜脈直接；小腸吸收正文有明確路徑，脂質淋巴例外作說明而不擴增無必要次目。,官方A（肝門靜脈）。糖與胺基酸等進腸微血管後匯入肝門靜脈；大部分長鏈脂質以乳糜微粒經乳糜管及淋巴輸送，因此「所有營養必先經肝門靜脈」不是本題可推出的結論。,"909,910","958,959",Codex /root,TCU-112-R2-Q08
TCU-112-Q09,FORMAL,False,D,D,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q09.png,6c9320936eb9aa99b283d2163f010bf848488b282e6e58ad8bc03ceea6225464,L1123,18.2 / Regulation of Chromatin Structure,,,18.2 / Regulation of Chromatin Structure：組蛋白修飾、DNA甲基化及染色質重塑均直接屬染色質調控。,無另列最小次條目；原圖A–C直接為染色質調節，D一般醣化不是該層級；最小條目Regulation of Chromatin Structure確認。,官方D（蛋白質醣化）。一般蛋白質醣化本身不是典型表觀遺傳機制；不把所有翻譯後修飾都等同表觀遺傳，也不主張任何含醣修飾都絕不可能參與染色質調節。,"371,372,373","420,421,422",Codex /root,TCU-112-R2-Q09
TCU-112-Q10,FORMAL,False,A,A,未列本輪取得的112年度生物釋疑PDF2英文後至4；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q10.png,6c88d794b0fbae1249f6216006c1c7a883fe4a1b3e834355fe010520718dd08d,L2998,45.1 / Intercellular Information Flow,L3341,50.1 / Types of Sensory Receptors,45.1 / Intercellular Information Flow：前列腺素作為局部調節物的細胞間訊息作用直接涵蓋藥物抑制其合成。,50.1 / Types of Sensory Receptors：補足前列腺素增敏痛覺與aspirin、ibuprofen減痛的關係。,官方A。Aspirin與ibuprofen抑制前列腺素合成而減少疼痛及發炎；前列腺素可作局部調節物，不宜因題幹稱激素便改歸傳統血液循環內分泌。,"1000,1001,1111,1112","1049,1050,1160,1161",Codex /root,TCU-112-R2-Q10
