mode,chapter_number,chapter,count
primary,17,Ch17 Gene Expression: From Gene to Protein,6
primary,23,Ch23 The Evolution of Populations,5
primary,9,Ch09 Cellular Respiration and Fermentation,4
primary,27,Ch27 Bacteria and Archaea,3
primary,56,Ch56 Conservation Biology and Global Change,3
primary,14,Ch14 Mendel and the Gene Idea,2
primary,16,Ch16 The Molecular Basis of Inheritance,2
primary,29,Ch29 Plant Diversity I: How Plants Colonized Land,2
primary,31,Ch31 Fungi,2
primary,41,Ch41 Animal Nutrition,2
primary,42,Ch42 Circulation and Gas Exchange,2
primary,44,Ch44 Osmoregulation and Excretion,2
primary,45,Ch45 Hormones and the Endocrine System,2
primary,11,Ch11 Cell Communication,1
primary,12,Ch12 The Cell Cycle,1
primary,18,Ch18 Regulation of Gene Expression,1
primary,20,Ch20 DNA Tools and Biotechnology,1
primary,25,Ch25 The History of Life on Earth,1
primary,26,Ch26 Phylogeny and the Tree of Life,1
primary,33,Ch33 An Introduction to Invertebrates,1
primary,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,43,Ch43 The Immune System,1
primary,46,Ch46 Animal Reproduction,1
primary,52,Ch52 An Introduction to Ecology and the Biosphere,1
primary,54,Ch54 Community Ecology,1
secondary,6,Ch06 A Tour of the Cell,3
secondary,7,Ch07 Membrane Structure and Function,2
secondary,17,Ch17 Gene Expression: From Gene to Protein,2
secondary,18,Ch18 Regulation of Gene Expression,2
secondary,28,Ch28 Protists,2
secondary,42,Ch42 Circulation and Gas Exchange,2
secondary,49,Ch49 Nervous Systems,2
secondary,9,Ch09 Cellular Respiration and Fermentation,1
secondary,11,Ch11 Cell Communication,1
secondary,13,Ch13 Meiosis and Sexual Life Cycles,1
secondary,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
secondary,43,Ch43 The Immune System,1
secondary,44,Ch44 Osmoregulation and Excretion,1
both,17,Ch17 Gene Expression: From Gene to Protein,8
both,9,Ch09 Cellular Respiration and Fermentation,5
both,23,Ch23 The Evolution of Populations,5
both,42,Ch42 Circulation and Gas Exchange,4
both,6,Ch06 A Tour of the Cell,3
both,18,Ch18 Regulation of Gene Expression,3
both,27,Ch27 Bacteria and Archaea,3
both,44,Ch44 Osmoregulation and Excretion,3
both,56,Ch56 Conservation Biology and Global Change,3
both,7,Ch07 Membrane Structure and Function,2
both,11,Ch11 Cell Communication,2
both,14,Ch14 Mendel and the Gene Idea,2
both,16,Ch16 The Molecular Basis of Inheritance,2
both,28,Ch28 Protists,2
both,29,Ch29 Plant Diversity I: How Plants Colonized Land,2
both,31,Ch31 Fungi,2
both,41,Ch41 Animal Nutrition,2
both,43,Ch43 The Immune System,2
both,45,Ch45 Hormones and the Endocrine System,2
both,49,Ch49 Nervous Systems,2
both,12,Ch12 The Cell Cycle,1
both,13,Ch13 Meiosis and Sexual Life Cycles,1
both,20,Ch20 DNA Tools and Biotechnology,1
both,25,Ch25 The History of Life on Earth,1
both,26,Ch26 Phylogeny and the Tree of Life,1
both,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
both,33,Ch33 An Introduction to Invertebrates,1
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
both,38,Ch38 Angiosperm Reproduction and Biotechnology,1
both,46,Ch46 Animal Reproduction,1
both,52,Ch52 An Introduction to Ecology and the Biosphere,1
both,54,Ch54 Community Ecology,1
