題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
CMU-106-Q01,FORMAL,False,D,D,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,2,2,10,,questions/Q01.png,ae8605e44677943eff86d21346ca734bba9024787d677c0f958a50d16b974fa0,L3742,56.1 / Biodiversity and Human Welfare,,,56.1 / Biodiversity and Human Welfare：判斷河川提供的人類與生物利益，核心是生態系統服務。,無另列最小次條目；題目問服務種類，非河川上下游分帶，故以56.1最小條目為主，移除初擬的水域分帶次目。,官方D。棲地、水質淨化、濕地更新及沿岸養分輸送屬題設服務；「去除累積在河口三角洲的淤泥」不是此處列舉的調節服務。河川仍有侵蝕、搬運與沉積作用，不能反推河川永遠不移除沉積物。,"1177,1179,1262,1263","1226,1228,1311,1312",Codex /root,CMU-106-R2-Q01
CMU-106-Q02,FORMAL,False,A,A,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,2,2,10,,questions/Q02.png,27a2d1670bfa0d6220cc6e212567d1cc42b75c6f1d5cb2eaf488c8a6fff0ec19,L3745,56.1 / Threats to Biodiversity,L3742,56.1 / Biodiversity and Human Welfare,56.1 / Threats to Biodiversity：入侵種預防與移除難度，是生物多樣性威脅的直接判別。,56.1 / Biodiversity and Human Welfare：授粉者下降連結人類食物生產與生態系統服務。,官方A。已建立入侵族群往往難以根除，預防引入一般較有效；授粉、棲地減少、過度獵捕都是保育議題。島嶼風險是分布狹窄等條件下的通常趨勢，不宣稱每一島嶼種必較每一大陸種脆弱。,"1262,1263,1264,1265","1311,1312,1313,1314",Codex /root,CMU-106-R2-Q02
CMU-106-Q03,FORMAL,False,C,C,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,2,2,10,,questions/Q03.png,9f4f7e7a1e60eb3ef9533642f860058bbdc4a06dcd989006bad1d52129c8f307,L3787,56.4 / Greenhouse Gases and Climate Change,L1847,28.6 / Symbiotic Protists,56.4 / Greenhouse Gases and Climate Change：暖化及海水酸化是溫室氣體增加下的長期珊瑚礁壓力。,28.6 / Symbiotic Protists：珊瑚與共生原生生物的關係說明白化機制。,官方C。升溫可使珊瑚失去共生藻而白化；酸化主要妨礙碳酸鈣形成及礁體維持。原題把兩者都包進「造成白化」的語句偏廣，保留原文，勿將酸化與熱白化視為完全相同機制。,"614,615,1278,1279,1280,1281,1282","663,664,1327,1328,1329,1330,1331",Codex /root,CMU-106-R2-Q03
CMU-106-Q04,FORMAL,False,E,E,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,2,2,10,,questions/Q04.png,41730aa0531450477411d6c39acb6159da79affed3f394641bf44b65aba6678c,L3493,52.2 / General Features of Terrestrial Biomes,"L3474,L3477",52.1 / Regional and Local Effects on Climate ; 52.1 / Effects of Vegetation on Climate,52.2 / General Features of Terrestrial Biomes：正確選項描述沙漠每日溫差與稀疏植被，對應陸域生物群系的沙漠特徵。,52.1 / Regional and Local Effects on Climate：水域高比熱緩和氣候，用於排除B；52.1 / Effects of Vegetation on Climate：植被的蒸散與地表能量收支補充E的條件。,官方E。沙漠乾燥、植被少，夜間散熱可使日夜溫差大；水的高比熱使水域升降溫較慢。溫室效應本來就存在，人類增強其作用；多肉植物常見於乾旱環境；一般海拔帶狀分布不能照D倒置。E屬概括，仍受雲量、季節等影響。,"1167,1168,1169,1172,1173,1174","1216,1217,1218,1221,1222,1223",Codex /root,CMU-106-R2-Q04
CMU-106-Q05,FORMAL,False,B,B,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,2,2,10,,questions/Q05.png,f52f03583028885205a156fa9d9dca22f72b226934cef04ec64f77ced2039ff1,L3598,54.1 / Competition,,,54.1 / Competition：資源分隔是在競爭框架中減少生態棲位重疊的機制。,無另列最小次條目；教材1215–1216直接把分隔與棲位差異連結；最小目錄未單列resource partitioning，採其真實父條目Competition。,官方B。利用不同資源、空間或時間可降低競爭並促進共存；競爭排除是高度重疊時一方被排除的結果，非題問的共存機制。,"1215,1216","1264,1265",Codex /root,CMU-106-R2-Q05
CMU-106-Q06,FORMAL,False,D,D,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,2,2,10,,questions/Q06.png,22d4a42dbe8911fc6b347ce8b1f4cf42133b97b620b693d95578fd8b825558c3,L1445,23.2 / The Hardy-Weinberg Equation,,,23.2 / The Hardy-Weinberg Equation：由隱性疾病頻率反推帶因者比例必須用Hardy–Weinberg關係。,無另列最小次條目；分母及百分比重算，A是患病率、B是致病等位基因率，不能代替帶因者2pq。,官方D。在題目默認的二等位基因及Hardy–Weinberg近似下，q²=144/1000000=0.000144，q=0.012、p=0.988，2pq=0.023712=2.3712%。疾病發生率本身不足以無條件推定所有真實族群的帶因比例。,"490,491,492,493","539,540,541,542",Codex /root,CMU-106-R2-Q06
CMU-106-Q07,FORMAL,False,D,D,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,2,2,10,,questions/Q07.png,7ec25a0f7078af6b3bd9daf5070136d429f0ea90a465371775cee8cf9d059266,L1445,23.2 / The Hardy-Weinberg Equation,,,23.2 / The Hardy-Weinberg Equation：承Q6的平衡模型求正常等位基因頻率p。,無另列最小次條目；使用Q6同一百萬人／144患病的資料與假設，兩個分母意義分開，未借其他年度資料。,官方D。依Q6的q=0.012，正常等位基因p=1−q=0.988=98.8%；不是「正常表型者比例」1−q²。Q6完整題幹隨Q7原圖保存。,"490,491,492,493","539,540,541,542",Codex /root,CMU-106-R2-Q07
CMU-106-Q08,FORMAL,False,C,C,維持原答案C,2,2,10,4,questions/Q08.png,d582cd198ea41593518e143ad862917d99f337ed83624b4d98ee33cae6e590cf,L1085,17.5 / Types of Small-Scale Mutations,,,17.5 / Types of Small-Scale Mutations：非3倍數插入或缺失造成閱讀框改變，是連續下游胺基酸改變的直接機制。,無另列最小次條目；採17.5的小規模突變最小條目；不沿用釋疑把所有point mutation一律等同只改一個胺基酸的過度概括。,官方C，釋疑維持。框移可能改變多個胺基酸，也可能很快遇到終止碼。原題A/B的中文譯名與英文transversion/transition原樣保存；「點突變」在不同教材定義可涵蓋小規模替換或插缺，C仍是最具體機制。,"357,358,359","406,407,408",Codex /root,CMU-106-R2-Q08
CMU-106-Q09,FORMAL,False,C,C,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,3,3,10,,questions/Q09.png,a2468192cbe9b0a8fac524e366a7d249c7af2dbbdb7685527e93e63c344ef0b5,L0908,14.4 / Pedigree Analysis,L0911,14.4 / Recessively Inherited Disorders,14.4 / Pedigree Analysis：完整四代譜系的親子表型限制決定第一代基因型。,14.4 / Recessively Inherited Disorders：隱性病患者tt、正常帶因者Tt的規則是推理前提。,官方C。第一代兩人正常卻有患病女兒，患病tt必各從父母得到t，因此兩人均Tt。題幹已明定常染色體式T/t隱性模型，不需另假設性聯或新突變。,"284,285","333,334",Codex /root,CMU-106-R2-Q09
CMU-106-Q10,FORMAL,False,D,D,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,3,3,10,,questions/Q10.png,cc7045fff0efd73f7c5f98058355679c125bb967013b41968a11fe04df3dddd8,L0908,14.4 / Pedigree Analysis,L0911,14.4 / Recessively Inherited Disorders,14.4 / Pedigree Analysis：利用甲乙丙各自的患病子代反推正常親本必帶t。,14.4 / Recessively Inherited Disorders：正常表型不能排除隱性帶因者。,官方D。甲有患病女兒、乙與患病配偶生患病女兒、丙有患病兒子；三人均正常且必提供t，故均Tt。不是看到正常就判TT。,"284,285","333,334",Codex /root,CMU-106-R2-Q10
CMU-106-Q11,FORMAL,False,E,E,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,3,3,10,,questions/Q11.png,61559ffd2ac1d59e8388dd433d28f8d4072c7de0dd55ac45fdc603be66f644ef,L1013,16.2 / Proofreading and Repairing DNA,"L1088,L1085",17.5 / New Mutations and Mutagens ; 17.5 / Types of Small-Scale Mutations,16.2 / Proofreading and Repairing DNA：正確選項是複製後的損傷處理，依DNA校對修復最小條目歸類。,17.5 / New Mutations and Mutagens：吖啶橙、鹼基類似物及紫外線的誘變機制用於排除A/C/D；17.5 / Types of Small-Scale Mutations：missense與提早終止的nonsense不同。,官方E。吖啶橙是嵌入劑，非典型烷基化劑；嘧啶二聚體常由UV造成；missense通常換胺基酸，nonsense才形成提前終止。製後修復泛指複製後處理損傷後果，常涉及缺口填補、模板切換或跨損傷合成，不等同原始損傷立即被切除。輻射傷害亦非波長愈長必愈大。,"327,328,357,358,359,360","376,377,406,407,408,409",Codex /root,CMU-106-R2-Q11
CMU-106-Q12,FORMAL,False,B,B,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,3,3,10,,questions/Q12.png,94b0cc2f95f4d1f8648bc370019dfd43758c374a839f799e88bdbd788fa2c332,L1646,26.2 / Morphological and Molecular Homologies,L1675,26.4 / Gene Duplications and Gene Families,26.2 / Morphological and Molecular Homologies：分子同源性指序列相似來自共同祖先。,26.4 / Gene Duplications and Gene Families：區分因物種分化而分離的orthologs及因基因複製形成的paralogs。,官方B。同源證據支持共同祖先；直接把不同物種的paralog序列當作唯一物種關係指標會混入基因複製史。Paralog不被定義為永遠只能存在同一物種，複製可早於物種分化。,"558,559,565,566","607,608,614,615",Codex /root,CMU-106-R2-Q12
CMU-106-Q13,FORMAL,False,A,A,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,3,3,10,,questions/Q13.png,5211e8fa00c123f55fdc416d9a0c06958a79ebbd46dc691bf21121c5ac7b1bae,L1867,29.1 / Derived Traits of Plants,L0830,13.2 / The Variety of Sexual Life Cycles,29.1 / Derived Traits of Plants：植物衍生特徵中的世代交替是題問核心。,13.2 / The Variety of Sexual Life Cycles：性生殖生活史明示部分藻類也有多細胞n與2n世代。,官方A。世代交替不只陸生植物，部分藻類也有。配子體以有絲分裂產配子，苔蘚鞭毛精子需水；蕨類與種子植物屬euphyllophytes。B若概括全植物也過廣：antheridium適用苔蘚、蕨類等，種子植物通常沒有該多細胞精子器；保留題文適用範圍。,"258,259,621,622,629,631","307,308,670,671,678,680",Codex /root,CMU-106-R2-Q13
CMU-106-Q14,FORMAL,False,E,E,維持原答案E,4,4,10,4,questions/Q14.png,9217b04012c8738bb915ad117307a99a2092fd44dd2b4b9886511540660967e3,L1709,27.1 / Cell-Surface Structures,"L0381,L0349,L0371",6.6 / Components of the Cytoskeleton ; 6.4 / Lysosomes: Digestive Compartments ; 6.5 / Peroxisomes: Oxidation,27.1 / Cell-Surface Structures：醣質包被避免脫水及免疫攻擊，直接對應原核細胞表面構造。,6.6 / Components of the Cytoskeleton：肌凝蛋白沿微絲移動及鞭毛9+2由細胞骨架條目核對；6.4 / Lysosomes: Digestive Compartments：溶酶體主要酸性水解，非過氧化體式解毒；6.5 / Peroxisomes: Oxidation：過氧化體氧化／過氧化氫分解用於區分D。,官方E，釋疑維持。A應是myosin沿actin微絲移動，不是中間絲；典型動纖毛軸絲9+2，細胞核運輸亦非一般胞吞胞吐。釋疑A段另寫成「沿著中間絲(intermediate filament)移動的運動蛋白是肌動蛋白(actin)」，此敘述本身錯誤；保留公告原字圖，科學更正為myosin與actin。題文endocytosis譯作胞飲較窄。,"107,112,113,114,115,116,117,574,575","156,161,162,163,164,165,166,623,624",Codex /root,CMU-106-R2-Q14
CMU-106-Q15,FORMAL,False,A,A,維持原答案A,4,4,10,"4,5",questions/Q15.png,963a9372bfab3b76867810622b3c5b7f6544f78548d1e20eb9ae236fb9f8480a,L1979,31.2 / Sexual Reproduction,L1982,31.2 / Asexual Reproduction,31.2 / Sexual Reproduction：有性真菌生活史的核配、減數分裂與孢子倍性是主目。,31.2 / Asexual Reproduction：無性孢子由有絲分裂形成，與有性孢子比較。,官方A，釋疑維持。Campbell描述多數常見真菌的有性、無性孢子為n，但有Allomyces二倍體世代以有絲分裂產生二倍體游動孢子的例外，不能把A宣稱所有真菌的普遍定律。釋疑PDF4–5的Allomyces圖本身含倍性世代，PDF5圖上緣在原公告即不完整，保留原貌。,"657,658,659,661","706,707,708,710",Codex /root,CMU-106-R2-Q15
CMU-106-Q16,FORMAL,False,E,E,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,4,4,10,,questions/Q16.png,461b8b2e38689fcd9742a3585073027761b3b2eca2e9192b75d6bfecc51df526,L1560,25.2 / How Rocks and Fossils Are Dated,,,25.2 / How Rocks and Fossils Are Dated：以母子同位素比例和半衰期估算岩齡，對應岩石化石定年。,無另列最小次條目；保留39億年的官方計算與全部原始數值，另記USGS的雙分支限制；沒有以不同現行半衰期換掉題給13億。,官方E。題設簡化把0.0125+0.0875=0.1g視為原始鉀，殘餘1/8=三個半衰期，故3×13億=39億年。真實40K同時衰變至40Ca與40Ar；只給氬量且忽略分支比例、初始氬及封閉系統，不能當嚴格K–Ar定年。,"529,530","578,579",Codex /root,CMU-106-R2-Q16
CMU-106-Q17,FORMAL,False,B,B,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,4,4,10,,questions/Q17.png,931098299380d486daf57112444d5ff475fc78e957dae8d98c6fc8fb0d0e4b54,L1442,23.2 / Gene Pools and Allele Frequencies,,,23.2 / Gene Pools and Allele Frequencies：由三種可辨識基因型直接計數族群等位基因。,無另列最小次條目；重新以雙倍體每株兩個拷貝計算，主目是Gene Pools and Allele Frequencies，不以平衡方程誤代計數。,官方B。總500株；CR數=2×45+210=300、CW數=210+2×245=700，分母1000，因此0.3與0.7。此直接計數不需要Hardy–Weinberg假設。,"490,491","539,540",Codex /root,CMU-106-R2-Q17
CMU-106-Q18,FORMAL,False,D,D,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,4,4,10,,questions/Q18.png,089d611e4395cfdeb5b0959530b72a08542124fbb9971aa7e2400098629afdf0,L1442,23.2 / Gene Pools and Allele Frequencies,L1452,23.3 / Natural Selection,23.2 / Gene Pools and Allele Frequencies：移除白花後重新定義族群分母並計等位基因。,23.3 / Natural Selection：依基因型不等機率移除個體可作選汰改變頻率的比較，非宣稱人工操作就是自然選擇。,官方D。移除245株CWCW後剩255株，CR仍300、CW剩210，分母510，得0.588235與0.411765，四捨五入0.5882／0.4118。不能維持原1000分母，亦未經新一代隨機交配。,"490,491,494","539,540,543",Codex /root,CMU-106-R2-Q18
CMU-106-Q19,FORMAL,False,D,D,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,4,4,10,,questions/Q19.png,edf15ed3898022b99f91ca7d3655986363c2507951ce53412f7790044e306c76,L1442,23.2 / Gene Pools and Allele Frequencies,L1458,23.3 / Gene Flow,23.2 / Gene Pools and Allele Frequencies：從Q17原500株加入300株紅花，再做基因庫計數。,23.3 / Gene Flow：外加帶特定等位基因的個體可與基因流造成頻率改變比較，題目沒有交代實際遷移史。,官方D。明文「承17題」，故總800株；CR=300+600=900，CW=700，分母1600，得0.5625與0.4375。不能接續Q18移除白花後的族群。,"490,491,496,497","539,540,545,546",Codex /root,CMU-106-R2-Q19
CMU-106-Q20,FORMAL,False,C,C,未列於已取得106生物釋疑PDF4–7；依同年度原答案PDF10採計,4,4,10,,questions/Q20.png,64bbcb29408c7eb942a5bcccfc1be29184d0a818e1f542cb13a6e1c058edeb4f,L1754,27.4 / Archaea,L1751,27.4 / Bacteria,27.4 / Archaea：題問古菌與嗜極端環境的關係，官方C按教材典型分布判斷。,27.4 / Bacteria：藍綠菌固氮細胞、α變形菌及methanotrophs等細菌類群仍需辨別。,官方C。Campbell把多種極端嗜熱、嗜鹽類型列於古菌，不能進一步宣稱所有古菌都是嗜極端生物，或所有極端菌都是古菌。E的「甲烷唯一來源」亦過度概括：2005年Methylocella實驗證明兼性甲烷氧化菌可用乙酸等多碳底物。保存原E與官方C，不自行改採計。,"583,584,585,586","632,633,634,635",Codex /root,CMU-106-R2-Q20
