題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-113-Q01,FORMAL,False,D,D,未列於本輪取得113生物釋疑PDF3下方至5；依同年度答案PDF1最下方生物表採計,27,27,1,1,,questions/Q01.png,db6e524848afa477c9e68edcca0ac2ddb6b49e7c554abd51f257bd2153e2e2a2,L3364,50.3 / The Vertebrate Visual System,,,50.3 / The Vertebrate Visual System：題目以視錐分布辨認中央凹，屬脊椎動物視覺受器與視網膜構造。,無另列最小次條目；核對1122–1123連續段落，題問視錐密度而非動作電位或視覺中樞，50.3視覺最小條目足夠，答案D一致。,D。印刷1122–1123指出中央凹有最高視錐密度，周邊比例下降；視交叉是軸突路徑，非感光細胞聚集處。原題conal point保留，不另創造對應教材構造。,"1119,1120,1121,1122,1123","1168,1169,1170,1171,1172",Codex /root,ISU-113-R2-Q01
ISU-113-Q02,FORMAL,False,C,C,同年度釋疑維持原答案C,27,27,1,1,3,questions/Q02.png,f2aa2fb790149baf7a50dd5839bdf458df139431e75ec963f3a51682ff2758df,L0349,6.4 / Lysosomes: Digestive Compartments,L0343,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory,6.4 / Lysosomes: Digestive Compartments：水解酵素的胞器來源與溶體功能為判斷核心。,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory：溶體酵素由粗糙內質網合成並循分泌路徑輸送，須記生成位置。,C，釋疑維持。以標定特定溶體水解酵素追蹤其生合成運送路徑，粗糙ER→Golgi→lysosome；不是任意染劑的分布實驗。釋疑引用Campbell第7章與本地12e第6章不同；其粒線體歷史討論不表示粒線體會生成本題溶體酵素。,"104,105,106,107,108","153,154,155,156,157",Codex /root,ISU-113-R2-Q02
ISU-113-Q03,FORMAL,False,A,A,未列於本輪取得113生物釋疑PDF3下方至5；依同年度答案PDF1最下方生物表採計,27,27,1,1,,questions/Q03.png,a3bb0d0cfb7231b2e7b5ed7c0054c616e571ee6fdf98827cc9472c1d2f70ca48,L3611,54.2 / Species Diversity,,,54.2 / Species Diversity：兩群聚物種數相同而相對豐度不同，需同時評估豐富度與均勻度。,無另列最小次條目；獨立代入兩組比例而非重用總數，甲均勻度及Shannon較低；題問多樣性，54.2 Species Diversity正中核心，無需擴增族群成長次章。,A。兩群聚皆2種100個體，甲90:10較不均勻；Shannon指數重算甲0.325083、乙0.693147（自然對數），甲多樣性較低。不是以總個體數或僅物種數判斷。,"1222,1223","1271,1272",Codex /root,ISU-113-R2-Q03
ISU-113-Q04,FORMAL,False,D,D,同年度釋疑維持原答案D,27,27,1,1,"3,4",questions/Q04.png,9d89d5a5938e2d300ff2b44bdfe3a295e1265d2b1b6e1e6ac746ce3d9e873abc,L2987,44.5 / Homeostatic Regulation of the Kidney,L2974,44.4 / From Blood Filtrate to Urine: A Closer Look,44.5 / Homeostatic Regulation of the Kidney：問ADH在腎的主要標的，直接屬腎臟功能恆定調節。,44.4 / From Blood Filtrate to Urine: A Closer Look：集尿管與遠曲小管在腎元的分工須由濾液形成尿液條目辨識。,D，釋疑維持且承認遠曲小管後段也受影響。ADH促集尿管水通透性及水重吸收；「主要」不等於「唯一」。原題集尿管用語保留，未將遠曲小管從科學說明刪除。,"987,988,989,994,995","1036,1037,1038,1043,1044",Codex /root,ISU-113-R2-Q04
ISU-113-Q05,FORMAL,False,C,C,未列於本輪取得113生物釋疑PDF3下方至5；依同年度答案PDF1最下方生物表採計,27,27,1,1,,questions/Q05.png,1e71b2094da6b22cedde34b9a139f04798ad9026077c241b393d59bf77340959,L2576,39.3 / Photoperiodism and Responses to Seasons,,,39.3 / Photoperiodism and Responses to Seasons：臨界夜長與夜間光中斷控制開花，直接對應光週期反應。,無另列最小次條目；檢查原題短暫光照位於夜內；教材連續黑暗的條件排除D，C為唯一不中斷超過臨界值。分類只需光週期，不另加一般光合作用。,C。短日照植物須連續黑暗超過8小時；8.5小時不中斷符合。A僅7小時；B、D夜間被短暫光照切斷，不能只加總黑暗時數。,"859,860","908,909",Codex /root,ISU-113-R2-Q05
ISU-113-Q06,FORMAL,False,D,D,未列於本輪取得113生物釋疑PDF3下方至5；依同年度答案PDF1最下方生物表採計,27,27,1,1,,questions/Q06.png,47ccbd0cba939dcbdd3f6a14a12fd588dfd09a12981f68828e5ecf568eb7887d,L2483,38.1 / Methods of Pollination,,,38.1 / Methods of Pollination：花色、大小與氣味推定常見傳粉媒介，屬授粉方式。,無另列最小次條目；原題用通常，且問植物授粉方式；鳥媒症候群符合所給組合，38.1主目維持。沒有把一般化特徵提升成絕對物種鑑定。,D。大而鮮紅或黃色、氣味少是常見鳥媒花組合；風媒一般不需醒目花冠，蛾媒常依賴夜間香味，蜂媒的典型特徵不同。這是授粉症候群的通常關係，不保證每種植物只能由鳥授粉。,"825,826,827","874,875,876",Codex /root,ISU-113-R2-Q06
ISU-113-Q07,FORMAL,False,A,A,同年度釋疑維持原答案A,27,27,1,1,4,questions/Q07.png,7e81126da9d89a9c61890eb51ac92e1567eb5d405f082c66a5b6fbdd70d55f41,L1244,20.1 / Expressing Cloned Eukaryotic Genes,"L1238,L1110,L1307",20.1 / Using Restriction Enzymes to Make a Recombinant DNA Plasmid ; 18.1 / Repressible and Inducible Operons: Two Types of Negative Gene Regulation ; 21.2 / Understanding Genes and Gene Expression at the Systems Level,20.1 / Expressing Cloned Eukaryotic Genes：目標是讓大腸桿菌表現真核SOD重組蛋白，優先歸於克隆真核基因表現。,20.1 / Using Restriction Enzymes to Make a Recombinant DNA Plasmid：限制酶與接合酶參與傳統重組載體建構；18.1 / Repressible and Inducible Operons: Two Types of Negative Gene Regulation：lac調控及IPTG誘導是題目指定的表現開關；21.2 / Understanding Genes and Gene Expression at the Systems Level：蛋白質體學研究整體蛋白組，與單一目的蛋白製備區分。,A（乙戊），釋疑維持。題目預設傳統限制酶／接合酶重組與IPTG誘導流程；不需另加純化解旋酶，蛋白質體學也不是生產單一SOD的必要程序。不表示大腸桿菌自身沒有helicase、蛋白純度不能分析，或所有重組技術都必用限制酶。使用質譜檢查單一蛋白也不自動等於蛋白質體學。L1238文字目錄漏DNA，採PDF40與正文的完整題名。,"368,369,419,420,422,423,446,447","417,418,468,469,471,472,495,496",Codex /root,ISU-113-R2-Q07
ISU-113-Q08,FORMAL,False,C,C,未列於本輪取得113生物釋疑PDF3下方至5；依同年度答案PDF1最下方生物表採計,27,27,1,1,,questions/Q08.png,9aa43b84438b315b4bdba714eaf024a5285fb243c08448e4a85b0ed356d52fc9,L1966,31.1 / Nutrition and Ecology,L2018,31.5 / Fungi as Decomposers,31.1 / Nutrition and Ecology：題幹描述真菌吸收宿主营養，應由真菌營養生態判斷寄生與死亡後取食。,31.5 / Fungi as Decomposers：螞蟻死亡後真菌繼續利用有機物，需保留真菌分解者功能。,C。依題文，活宿主階段為寄生性消費者，死亡後繼續利用有機物而具分解作用；無光合生產者角色。分解者在廣義能量分類亦屬異營消費者，兩標籤不必互斥；不由俗名推定未給出的真菌物種。,"655,656,667","704,705,716",Codex /root,ISU-113-R2-Q08
ISU-113-Q09,FORMAL,False,C,C,未列於本輪取得113生物釋疑PDF3下方至5；依同年度答案PDF1最下方生物表採計,28,28,2,1,,questions/Q09.png,185a69b7c6772e723bda06a43c3861970516efa77ca3a90340240eaa33d840ec,L2789,42.3 / Blood Pressure,,,42.3 / Blood Pressure：收縮與舒張壓換算平均動脈壓是血壓指標問題。,無另列最小次條目；分別重算120、60、110並命名為端值平均、脈壓、慣用MAP估計。公式使用界線另查，主血壓條目足夠且採C。,C。MAP≈DBP+(SBP−DBP)/3=90+(150−90)/3=110 mmHg；60是脈壓，120是兩端點算術平均。三分之一公式是常見靜息周邊動脈近似，不是所有心率及波形下的精確時間積分。,"930,931,932","979,980,981",Codex /root,ISU-113-R2-Q09
ISU-113-Q10,FORMAL,False,A,A,未列於本輪取得113生物釋疑PDF3下方至5；依同年度答案PDF1最下方生物表採計,28,28,2,1,,questions/Q10.png,e9c10ca96bf9247eadacad1e42a04667a978f5942f1b0212f500b66bf7529936,L2908,43.3 / Immunization,L1049,17.2 / Molecular Components of Transcription,43.3 / Immunization：技術情境為疫苗誘導適應性免疫，主列免疫接種。,17.2 / Molecular Components of Transcription：由DNA模板製備mRNA的判斷需轉錄機制。,A。mRNA以DNA模板體外轉錄，進入細胞後翻譯的是蛋白質，不是DNA。平台通常可快速設計製造；RNA穩定性及遞送有要求，D的「易保存」不能作普遍優勢。Nobel2023官方背景支援本題現代技術，本地12e提供免疫與轉錄原理，未冒稱其已載2023得獎事件。,"342,343,344,968","391,392,393,1017",Codex /root,ISU-113-R2-Q10
