題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,官方答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-109-Q01,FORMAL,False,B,B,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q01.png,0b73d35eb9942f9b8a28ede0ecd7f950f8b9235836170b737865efb382d98edb,L0323,6.2 / Comparing Prokaryotic and Eukaryotic Cells,,,6.2 / Comparing Prokaryotic and Eukaryotic Cells：以原核與真核細胞的胞器差異辨認枯草桿菌，直接屬細胞比較。,無另列最小次條目；逐一核對四物種的細胞類型，決定答案的共同判準是有無粒線體，6.2細胞比較最直接；不另列背景物種章。,B。枯草桿菌為細菌，無粒線體；青黴菌、酵母菌及海葵均為真核生物。題目只需細胞構造判準，未另列真菌或動物分類條目。,"97,98","146,147",Codex /root,ISU-109-R2-Q01
ISU-109-Q02,FORMAL,False,D,D,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q02.png,8fc5a97bef9cbe0fc322803faa194eb99430123cb15a22b562b9a022cd8bc447,L3144,47.2 / Gastrulation,,,47.2 / Gastrulation：原腸是在原腸形成時建立的腔，辨認其後續命運須對照原腸形成。,無另列最小次條目；以教材原腸形成图文區分腔與胚層，D為腔的命運；Gastrulation比整章動物發育精確。,D。原腸腔成為消化道管腔，內胚層構成相關上皮；不能把腔與包圍腔的胚層混為一物，亦非原有囊胚腔。,"1049,1050,1051","1098,1099,1100",Codex /root,ISU-109-R2-Q02
ISU-109-Q03,FORMAL,False,D,D,109年度7/1審議會議釋疑維持原答案D,1,19,1,1,24,28,questions/Q03.png,a730600a3f3c8005a650039deae71295feb711c850f4925863591ceb05e892f8,L0608,9.6 / The Versatility of Catabolism,,,9.6 / The Versatility of Catabolism：直接去胺屬胺基酸分解，教材提供去除胺基再利用碳骨架的分類框架。,無另列最小次條目；官方109釋疑PDF28反應圖確認serine去胺生成pyruvate，維持D；Campbell僅提供分解代謝框架，公告外Stryer全文未讀。,D。絲胺酸經PLP相關脫水去胺形成丙酮酸與銨；官方PDF28的Stryer圖正面支持此反應並維持D。甘胺酸裂解、脯胺酸氧化及丙胺酸轉胺不可等同本題直接去胺。Campbell未細列該酵素，官方所引Stryer7e印刷708僅實讀公告內圖文，未冒稱取得該書；公告的lanine拼字照存。,"182,183","231,232",Codex /root,ISU-109-R2-Q03
ISU-109-Q04,FORMAL,False,A,A,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q04.png,8bd28d0880806ce7f820690b1596b5b377859230c573ae6a66064ded671915c3,L2495,38.1 / Seed Development and Structure,L2486,38.1 / The Angiosperm Life Cycle: An Overview,38.1 / Seed Development and Structure：三倍體胚乳是種子發育與構造的直接考點。,38.1 / The Angiosperm Life Cycle: An Overview：雙重受精的生命週期圖提供兩極核加一精核的來源。,A。典型被子植物的胚乳為3n；子房、花藥母體組織及種皮通常為2n。花藥含有單倍體花粉不代表花藥本身是3n。保留題設「典型」，不泛化到所有胚囊型。,"826,827,828,829","875,876,877,878",Codex /root,ISU-109-R2-Q04
ISU-109-Q05,FORMAL,False,A,A,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q05.png,fbf25a400d8153b5f056c3e9e3e524a05a88461fae33ca7e575f33f16e730a36,L2599,39.5 / Defenses Against Herbivores,"L2596,L2557",39.5 / Defenses Against Pathogens ; 39.2 / A Survey of Plant Hormones,39.5 / Defenses Against Herbivores：以茉莉酸誘導抗食草動物防禦為主要辨認機制。,39.5 / Defenses Against Pathogens：題幹亦明列病害，保留抗病原體條目；39.2 / A Survey of Plant Hormones：39.2荷爾蒙總覽印刷855直接說明jasmonates防禦作用。,A。印刷855明述茉莉酸調控對食草動物及病原體的防禦。水楊酸亦參與抗病，但不在選项中；「最重要」限此題選項，非所有病原及情境皆以茉莉酸為唯一核心。,"847,855,866,867,868","896,904,915,916,917",Codex /root,ISU-109-R2-Q05
ISU-109-Q06,FORMAL,False,C,C,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q06.png,6badd408336525bc47509e75a1d0464e86e14d3eda6088f72947938474bf0b01,L1583,25.4 / Plate Tectonics,,,25.4 / Plate Tectonics：盤古大陸的形成及分裂屬板塊構造對生物史的影響。,無另列最小次條目；盤古會合機制位於Plate Tectonics印刷538–539，二疊紀符合時間；不把「僅有」當全年代無例外地理敘述。,C。教材印刷539描述晚古生代約2.5億年前大陸會合，四選項以二疊紀符合。題文「僅有」是地史簡化，不把全年代每個陸塊皆完全合一當精確古地理命題。,"530,538,539,540","579,587,588,589",Codex /root,ISU-109-R2-Q06
ISU-109-Q07,FORMAL,False,C,C,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q07.png,38a3c301bd07f8ab6be76e0cd7eeeea00a6f5bf3714a04e8bc000f8e3ed76297,L1254,20.2 / Determining Gene Function,,,20.2 / Determining Gene Function：由突變表型推論基因是否相同是基因功能鑑定，目錄未單列互補試驗。,無另列最小次條目；Alberts互補段明確區分同／不同基因功能缺失；20.2基因功能鑑定最接近真實目錄，沒有假造Complementation子目。,C。通常將兩個隱性功能缺失突變置於可檢驗互補的系統：不同基因可彼此提供功能，同基因通常不能。Campbell提供功能鑑定框架，Alberts互補專節支持實驗判讀；此規則有適用條件，不能套用所有顯性突變。,"426,427","475,476",Codex /root,ISU-109-R2-Q07
ISU-109-Q08,FORMAL,False,B,B,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q08.png,674abe188ed424709593340a038e400b7243e3aad33d962f15e091de7b07e00a,L1107,18.1 / Operons: The Basic Concept,L1110,18.1 / Repressible and Inducible Operons: Two Types of Negative Gene Regulation,18.1 / Operons: The Basic Concept：色胺酸作共同抑制物活化抑制子的直接機制位於操縱子基本概念印刷367。,18.1 / Repressible and Inducible Operons: Two Types of Negative Gene Regulation：可抑制操縱子屬負調控類型，另保留其最小條目。,B。色胺酸結合trp repressor後，使其可結合operator阻斷轉錄。不是色胺酸不結合，也不是與乳糖操作子結合；不混淆operator與promoter。,"366,367,368,369","415,416,417,418",Codex /root,ISU-109-R2-Q08
ISU-109-Q09,FORMAL,False,B,B,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q09.png,bcff6c9e2ead9a779beab760557f53b1ad42e57675d5b467986980c5e26289dc,L0948,15.2 / X Inactivation in Female Mammals,L0974,15.4 / Human Conditions Due to Chromosomal Alterations,15.2 / X Inactivation in Female Mammals：巴爾小體數量的關鍵是X染色體不活化。,15.4 / Human Conditions Due to Chromosomal Alterations：XXY核型與Klinefelter表徵屬染色體改變疾病。,B。典型XXY個體有一條不活化X；正常XY及唐氏症XY男性、典型XO透納氏症不具有一個Barr body。此為通常的核型判讀，不保證每個細胞切片都可見清楚小體；「休止期」按間期語境。,"300,308,309","349,357,358",Codex /root,ISU-109-R2-Q09
ISU-109-Q10,FORMAL,False,C,C,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q10.png,b60d505955d396cb27f6dead5bff651e1391e7c287099701b9d816c9c305dca9,L0961,15.3 / Mapping the Distance Between Genes Using Recombination Data: Scientific Inquiry,,,15.3 / Mapping the Distance Between Genes Using Recombination Data: Scientific Inquiry：由重組頻率求相對位置，直接屬連鎖圖譜距離推算。,無另列最小次條目；依ab10、ac8、bc18推c-a-b，再依ad30、bd20置d於b外側；五組距離全部吻合c-a-b-d及其鏡像，排除其餘三選項。,C。取a=0、b=10，因ac=8且bc=18得c=-8；ad=30且bd=20得d=30，順序c-a-b-d，反向等價。依題設以頻率近似圖距；長距離雙交換會低估距離，不能把任意實際重組率視作嚴格可加。,"305,306","354,355",Codex /root,ISU-109-R2-Q10
ISU-109-Q11,FORMAL,False,B,B,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,1,19,1,1,24,,questions/Q11.png,e0eb0804691da85bbf148bd11015404168e1d43753919e85d19fc14941ec0133,L1442,23.2 / Gene Pools and Allele Frequencies,,,23.2 / Gene Pools and Allele Frequencies：題目要求由觀察到的基因型數求等位基因與表型頻率。,無另列最小次條目；獨立以等位基因總数200計114個B，得0.57；灰色50/100，直接觀察即可，主目確為Gene Pools and Allele Frequencies。,B。總數100；B頻率=(2×32+50)/(2×100)=0.57，灰鼠頻率=50/100=50%。直接計數，不須假設Hardy–Weinberg平衡，也不以0.57平方推估已觀察基因型。,"490,491","539,540",Codex /root,ISU-109-R2-Q11
ISU-109-Q12,FORMAL,False,B,B,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,2,20,2,1,24,,questions/Q12.png,d7f7c3888b7d0e5ce3e46680efd7e35a3349e25f9da8cc9b45e3b3f4719e8fe0,L0837,13.3 / The Stages of Meiosis,L0824,13.2 / Sets of Chromosomes in Human Cells,13.3 / The Stages of Meiosis：前期I同源染色體聯會形成四分體，直接對應減數分裂階段。,13.2 / Sets of Chromosomes in Human Cells：人類正常二倍體23對染色體提供四分體數目的計數前提。,B。正常二倍體減數分裂前期I有23個二價體，每個含四條染色分體；46條染色體及92條染色分體不是四分體數。男性性染色體在可配對區聯會，不代表X與Y全長同源。,"256,257,259,260,261,262","305,306,308,309,310,311",Codex /root,ISU-109-R2-Q12
ISU-109-Q13,FORMAL,False,B,B,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,2,20,2,1,24,,questions/Q13.png,c4e4d7675040482303ef498b81af8bff04a10a4ca424bc4f4729e22ecf1835de,L1113,18.1 / Positive Gene Regulation,L1110,18.1 / Repressible and Inducible Operons: Two Types of Negative Gene Regulation,18.1 / Positive Gene Regulation：高cAMP透過CAP促進lac轉錄，辨別較高表達量的關鍵為正調控。,18.1 / Repressible and Inducible Operons: Two Types of Negative Gene Regulation：乳糖衍生的異乳糖解除lac repressor抑制，須同時保留可誘導負調控。,B。高cAMP且有乳糖可同時具CAP活化與解除抑制。直接結合抑制子的誘導物為異乳糖，原題以乳糖作培養條件；不能僅有cAMP而忽略抑制子。,"368,369,370","417,418,419",Codex /root,ISU-109-R2-Q13
ISU-109-Q14,FORMAL,False,C,C,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,2,20,2,1,24,,questions/Q14.png,5b0e3864b64c6e0560b0d329a7120d704a86165ea829dca07817b1cf454043d0,L0665,10.4 / The Calvin cycle uses the chemical energy of ATP and NADPH to reduce CO2 to sugar,,,10.4 / The Calvin cycle uses the chemical energy of ATP and NADPH to reduce CO2 to sugar：Calvin循環本身的Concept 10.4沒有更小目錄子項，為適當最小條目。,無另列最小次條目；PDF目錄37的10.4無更細子目；正文191–192的stroma與201–202一致，採Concept本身即最小真實條目。,C。Calvin循環位於葉綠體基質；印刷191–192概覽圖文與201–202循環一致。類囊體膜進行光反應，不是碳固定循環的位置。,"191,192,201,202","240,241,250,251",Codex /root,ISU-109-R2-Q14
ISU-109-Q15,FORMAL,False,A,A,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,2,20,2,1,24,,questions/Q15.png,1d73c8e607c133fd9c16f7f02d5a2fa41c12747c2c99819cfabc50bfcad4e877,L2586,39.4 / Mechanical Stimuli,,,39.4 / Mechanical Stimuli：含羞草受機械刺激的快速膨壓運動直接屬Mechanical Stimuli。,無另列最小次條目；印刷861–862的pulvini為快速膨壓運動，選A，Mechanical Stimuli直接對應；無需另加生長向性。,A。葉枕由運動細胞構成，離子與水移動改變膨壓使葉片迅速運動；不是生長素造成的緩慢生長向性，也不把整個葉柄視為特化膨大部位。,"861,862","910,911",Codex /root,ISU-109-R2-Q15
ISU-109-Q16,FORMAL,False,A,A,未列本輪取得的109年度釋疑PDF28–29；依同年答案採計，不宣稱沒有其他未取得公告,2,20,2,1,24,,questions/Q16.png,15f483540dd1fefcea7d87e41f28ffd189434e13fe3becf55837cebd203e63a5,L3768,56.3 / Landscape Structure and Biodiversity,L3745,56.1 / Threats to Biodiversity,56.3 / Landscape Structure and Biodiversity：破碎棲地邊緣與核心比例改變屬景觀結構與多樣性。,56.1 / Threats to Biodiversity：棲地破壞是造成破碎化的生物多樣性威脅，保留其背景條目。,A。面積縮小及破碎化增加邊緣相對核心比例，改變微氣候與物種互動。廊道可緩和隔離，但題幹問面積縮小伴隨的問題；「最大」為考題選項判讀，不主張所有保育場域排序相同。,"1263,1264,1270,1271","1312,1313,1319,1320",Codex /root,ISU-109-R2-Q16
