題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,官方答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-106-Q01,FORMAL,False,A,A,未列本輪取得的106年度生物釋疑PDF26–28；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q01.png,c1ec7484bfc8b2507409060bd3c3a536dcb1c4447d6891ad5001bd65eabf56b4,L0961,15.3 / Mapping the Distance Between Genes Using Recombination Data: Scientific Inquiry,L0958,15.3 / Genetic Recombination and Linkage,15.3 / Mapping the Distance Between Genes Using Recombination Data: Scientific Inquiry：題目直接要求由重組資料定義圖距，應選基因定位的最小條目。,15.3 / Genetic Recombination and Linkage：交互互換產生重組是圖距計算的機制依據。,官方A。1 map unit或1 cM對應1%重組頻率；並非固定鹼基數，較遠距離的多次交換會使觀察重組率低估實際圖距。聯結、分離及突變率不是此定義。,"302,303,304,305,306","351,352,353,354,355",Codex /root,ISU-106-R2-Q01
ISU-106-Q02,FORMAL,False,D,A/B/D,106年度6/23審議會議釋疑：最終採計A/B/D（原答案D）,1,18,1,1,24,26,questions/Q02.png,eb85380a6cf41307c0751200d6b249474fac6e495b034f230edb2147ee44e37e,L0411,7.1 / The Fluidity of Membranes,"L0414,L0255",7.1 / Evolution of Differences in Membrane Lipid Composition ; 5.3 / Steroids,7.1 / The Fluidity of Membranes：膽固醇在不同溫度下緩衝膜流動性，是判讀各選項的直接機制。,7.1 / Evolution of Differences in Membrane Lipid Composition：脂肪酸不飽和度與鏈長的組成調整影響流動性；5.3 / Steroids：膽固醇屬類固醇，需保留上位與下位選項的重疊,原答案D；同年度6/23釋疑增列A、B，最終A/B/D。膽固醇在較高溫限制磷脂移動，低溫避免緊密堆積；脂肪酸組成亦影響流動性。類固醇是包含膽固醇的廣義類別，不能推論所有類固醇在所有細胞均有同樣作用。題目未限定細胞種類，科學範圍與官方多採計分開。,"75,128,129","124,177,178",Codex /root,ISU-106-R2-Q02
ISU-106-Q03,FORMAL,False,C,C,106年度6/23審議會議釋疑：最終採計C（原答案C）,1,18,1,1,24,26,questions/Q03.png,36f180226e486b47de467e036dc21d7a3217b761b292f72ec8a7e87f43d39929,L0349,6.4 / Lysosomes: Digestive Compartments,L0242,5.2 / Polysaccharides,6.4 / Lysosomes: Digestive Compartments：溶小體消化酵素缺損及儲積疾病直接對應病因。,5.2 / Polysaccharides：受影響的底物肝糖即glycogen，須連到多醣性質。,官方與同年釋疑採C。原圖Pumpe’s disease拼字照存，標準名稱Pompe disease。GAA所編碼的溶小體酸性α-glucosidase缺乏造成肝糖累積，並非膽固醇受體、脂質酵素或一般神經蛋白分解缺陷。Campbell108支持溶小體儲積疾病原理，具名GAA病因另由MedlinePlus核實。,"70,107,108","119,156,157",Codex /root,ISU-106-R2-Q03
ISU-106-Q04,FORMAL,False,A,A,未列本輪取得的106年度生物釋疑PDF26–28；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q04.png,3e522983a7f3d79535d326c580d08bdf52d9ea5dc2342c8dcc991a656c8875b7,L0443,7.3 / Facilitated Diffusion: Passive Transport Aided by Proteins,L0911,14.4 / Recessively Inherited Disorders,7.3 / Facilitated Diffusion: Passive Transport Aided by Proteins：題目問膜通道運送的離子，主分類為蛋白協助的離子跨膜運輸。,14.4 / Recessively Inherited Disorders：隱性疾病條目直接說明囊性纖維化的氯離子通道缺陷。,官方A。CFTR氯離子通道功能異常改變鹽分與水的移動，使分泌物黏稠；水分是間接受影響者，不能據厚痰改選水通道。此通道由ATP調控，不代表氯離子本身被當作主動運輸幫浦運送。,"135,285,286","184,334,335",Codex /root,ISU-106-R2-Q04
ISU-106-Q05,FORMAL,False,A,A,未列本輪取得的106年度生物釋疑PDF26–28；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q05.png,70a277c32d485137c7e5e0358ff11c1fc73847e0f6607f30f0dc74a01360f967,L0575,9.3 / The Citric Acid Cycle,L0572,9.3 / Oxidation of Pyruvate to Acetyl CoA,9.3 / The Citric Acid Cycle：須逐項辨認檸檬酸循環的產物與中間物。,9.3 / Oxidation of Pyruvate to Acetyl CoA：丙酮酸先氧化成acetyl CoA的銜接反應用以確定循環邊界。,官方A。pyruvate來自糖解，經氧化後以acetyl CoA進入循環；NADH及ATP或GTP的底物層級磷酸化產物形成於循環，α-ketoglutarate是其中間物。題目將中間物亦包含在過程產物中，不把它誤解為淨終產物。,"171,172,173,174","220,221,222,223",Codex /root,ISU-106-R2-Q05
ISU-106-Q06,FORMAL,False,C,C,未列本輪取得的106年度生物釋疑PDF26–28；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q06.png,90225ae0250e02286323d68ab478ace594fd0ca39688313a75e2a4cec4506ac2,L0365,6.5 / Mitochondria: Chemical Energy Conversion,,,6.5 / Mitochondria: Chemical Energy Conversion：粒線體內外兩層膜的構造可直接排除其餘三種胞器。,無另列最小次條目；109–110粒線體兩層各自的膜與三個單膜胞器可清楚區別，C確認；題目未問呼吸能量機制，無需額外掛能量代謝次目。,官方C。粒線體具外膜及內膜，每一層膜本身是脂質雙層；不能把單一脂質雙層誤當兩層胞器膜。溶小體、高基氏體、內質網均由單層單位膜圍成。,"109,110","158,159",Codex /root,ISU-106-R2-Q06
ISU-106-Q07,FORMAL,False,A,A,106年度6/23審議會議釋疑：最終採計A（原答案A）,1,18,1,1,24,26,questions/Q07.png,19eb8107696c4d71cb18bb04744a46c38ab3fde795cb014abd2d08dc44090975,L1244,20.1 / Expressing Cloned Eukaryotic Genes,L2527,38.3 / Plant Biotechnology and Genetic Engineering,20.1 / Expressing Cloned Eukaryotic Genes：真核宿主取得外源DNA的方法含電穿孔及細胞壁限制，最貼近題目辨識轉殖方法。,38.3 / Plant Biotechnology and Genetic Engineering：植物基因工程條目補足基因槍、Ti質體等植物應用及方法脈絡。,官方與同年釋疑採A。CaCl2處理轉形通常用於細菌，題目問植物常用方法；不能延伸成鈣鹽絕不影響任何植物DNA導入。釋疑明確保留脂質體導入，並列1990年文獻；本輪實讀的是官方釋疑所述方法，ISHS原始頁遇存取挑戰，未宣稱讀到原論文。Campbell422–423及837–838支持真核／植物DNA導入，未獨立逐一證明釋疑所列實驗。,"422,423,437,438,837,838","471,472,486,487,886,887",Codex /root,ISU-106-R2-Q07
ISU-106-Q08,FORMAL,False,B,B,未列本輪取得的106年度生物釋疑PDF26–28；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q08.png,391effb2009afdbd53f399bad09e18d1df25b9db51135bbd241be02db27c6445,L0394,6.7 / Cell Junctions,,,6.7 / Cell Junctions：胞間連絲與動物細胞連接的比較就在Cell Junctions最小條目。,無另列最小次條目；原圖問相鄰植物細胞聯繫，119–121的Cell Junctions比較plasmodesmata與gap junction，直接收於6.7，不因通道一詞擴列7章。,官方B。plasmodesmata跨越植物細胞壁，提供相鄰細胞細胞質聯繫；gap junction是動物細胞通道連接。integrin連結胞外基質與細胞，desmosome等不是植物胞間連絲的替代名稱。,"119,120,121","168,169,170",Codex /root,ISU-106-R2-Q08
ISU-106-Q09,FORMAL,False,A,A,106年度6/23審議會議釋疑：最終採計A（原答案A）,1,18,1,1,24,27,questions/Q09.png,59d4c5488e61552281f95560b684f1b0ae1a19dad2a4287dcdf1f878b933867f,L1010,16.2 / DNA Replication: A Closer Look,L1052,17.2 / Synthesis of an RNA Transcript,16.2 / DNA Replication: A Closer Look：題意先辨認DNA複製所需起點、引子與連接酵素。,17.2 / Synthesis of an RNA Transcript：sigma factor屬細菌轉錄起始相關因子，利用RNA合成条目比較複製與轉錄。,官方與同年釋疑採A。oriC為複製起點，ligase接合DNA片段，primase是合成RNA引子的特殊RNA polymerase。D用上位酵素名稱所以在此可包含primase，不能一概說RNA polymerase與DNA複製無關；sigma factor的標準功能是轉錄起始辨認。,"322,323,324,325,326,327,342,343,344","371,372,373,374,375,376,391,392,393",Codex /root,ISU-106-R2-Q09
ISU-106-Q10,FORMAL,False,B,B,未列本輪取得的106年度生物釋疑PDF26–28；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q10.png,66efeea6ecee0e06130592d69433ac099a44ae4f79286b665a31c0124306b4dd,L1728,27.2 / Genetic Recombination,L1715,27.1 / Internal Organization and DNA,27.2 / Genetic Recombination：R質體抗藥基因及細菌基因重組的段落直接涵蓋抗藥質體。,27.1 / Internal Organization and DNA：細菌染色體以外可獨立複製的小DNA分子構造來自內部組織與DNA條目。,官方B。質體具有自身複製起點，R質體可攜帶多個抗藥基因；不是所有質體皆抗藥，也不是不依賴宿主複製機器。啟動子、抑制子與活化子是調控相關元素，不是此種可獨立複製的DNA單位。,"577,579,580,581","626,628,629,630",Codex /root,ISU-106-R2-Q10
