mode,chapter_number,chapter,count
primary,6,Ch06 A Tour of the Cell,5
primary,7,Ch07 Membrane Structure and Function,3
primary,10,Ch10 Photosynthesis,3
primary,42,Ch42 Circulation and Gas Exchange,3
primary,43,Ch43 The Immune System,3
primary,50,Ch50 Sensory and Motor Mechanisms,3
primary,5,Ch05 The Structure and Function of Large Biological Molecules,2
primary,15,Ch15 The Chromosomal Basis of Inheritance,2
primary,17,Ch17 Gene Expression: From Gene to Protein,2
primary,27,Ch27 Bacteria and Archaea,2
primary,41,Ch41 Animal Nutrition,2
primary,44,Ch44 Osmoregulation and Excretion,2
primary,45,Ch45 Hormones and the Endocrine System,2
primary,47,Ch47 Animal Development,2
primary,8,Ch08 An Introduction to Metabolism,1
primary,9,Ch09 Cellular Respiration and Fermentation,1
primary,11,Ch11 Cell Communication,1
primary,12,Ch12 The Cell Cycle,1
primary,13,Ch13 Meiosis and Sexual Life Cycles,1
primary,16,Ch16 The Molecular Basis of Inheritance,1
primary,19,Ch19 Viruses,1
primary,20,Ch20 DNA Tools and Biotechnology,1
primary,23,Ch23 The Evolution of Populations,1
primary,33,Ch33 An Introduction to Invertebrates,1
primary,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,39,Ch39 Plant Responses to Internal and External Signals,1
primary,49,Ch49 Nervous Systems,1
secondary,5,Ch05 The Structure and Function of Large Biological Molecules,2
secondary,14,Ch14 Mendel and the Gene Idea,2
secondary,18,Ch18 Regulation of Gene Expression,2
secondary,48,"Ch48 Neurons, Synapses, and Signaling",2
secondary,9,Ch09 Cellular Respiration and Fermentation,1
secondary,12,Ch12 The Cell Cycle,1
secondary,17,Ch17 Gene Expression: From Gene to Protein,1
secondary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
secondary,46,Ch46 Animal Reproduction,1
secondary,47,Ch47 Animal Development,1
both,6,Ch06 A Tour of the Cell,5
both,5,Ch05 The Structure and Function of Large Biological Molecules,4
both,7,Ch07 Membrane Structure and Function,3
both,10,Ch10 Photosynthesis,3
both,17,Ch17 Gene Expression: From Gene to Protein,3
both,42,Ch42 Circulation and Gas Exchange,3
both,43,Ch43 The Immune System,3
both,47,Ch47 Animal Development,3
both,50,Ch50 Sensory and Motor Mechanisms,3
both,9,Ch09 Cellular Respiration and Fermentation,2
both,12,Ch12 The Cell Cycle,2
both,14,Ch14 Mendel and the Gene Idea,2
both,15,Ch15 The Chromosomal Basis of Inheritance,2
both,18,Ch18 Regulation of Gene Expression,2
both,27,Ch27 Bacteria and Archaea,2
both,38,Ch38 Angiosperm Reproduction and Biotechnology,2
both,41,Ch41 Animal Nutrition,2
both,44,Ch44 Osmoregulation and Excretion,2
both,45,Ch45 Hormones and the Endocrine System,2
both,48,"Ch48 Neurons, Synapses, and Signaling",2
both,8,Ch08 An Introduction to Metabolism,1
both,11,Ch11 Cell Communication,1
both,13,Ch13 Meiosis and Sexual Life Cycles,1
both,16,Ch16 The Molecular Basis of Inheritance,1
both,19,Ch19 Viruses,1
both,20,Ch20 DNA Tools and Biotechnology,1
both,23,Ch23 The Evolution of Populations,1
both,33,Ch33 An Introduction to Invertebrates,1
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
both,39,Ch39 Plant Responses to Internal and External Signals,1
both,46,Ch46 Animal Reproduction,1
both,49,Ch49 Nervous Systems,1
