mode,chapter_number,chapter,count
primary,6,Ch06 A Tour of the Cell,3
primary,11,Ch11 Cell Communication,3
primary,17,Ch17 Gene Expression: From Gene to Protein,3
primary,20,Ch20 DNA Tools and Biotechnology,3
primary,39,Ch39 Plant Responses to Internal and External Signals,3
primary,5,Ch05 The Structure and Function of Large Biological Molecules,2
primary,12,Ch12 The Cell Cycle,2
primary,18,Ch18 Regulation of Gene Expression,2
primary,24,Ch24 The Origin of Species,2
primary,35,"Ch35 Vascular Plant Structure, Growth, and Development",2
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
primary,37,Ch37 Soil and Plant Nutrition,2
primary,41,Ch41 Animal Nutrition,2
primary,47,Ch47 Animal Development,2
primary,48,"Ch48 Neurons, Synapses, and Signaling",2
primary,50,Ch50 Sensory and Motor Mechanisms,2
primary,9,Ch09 Cellular Respiration and Fermentation,1
primary,16,Ch16 The Molecular Basis of Inheritance,1
primary,27,Ch27 Bacteria and Archaea,1
primary,28,Ch28 Protists,1
primary,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
primary,33,Ch33 An Introduction to Invertebrates,1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,42,Ch42 Circulation and Gas Exchange,1
primary,43,Ch43 The Immune System,1
primary,44,Ch44 Osmoregulation and Excretion,1
primary,46,Ch46 Animal Reproduction,1
primary,49,Ch49 Nervous Systems,1
primary,54,Ch54 Community Ecology,1
secondary,38,Ch38 Angiosperm Reproduction and Biotechnology,2
secondary,6,Ch06 A Tour of the Cell,1
secondary,10,Ch10 Photosynthesis,1
secondary,18,Ch18 Regulation of Gene Expression,1
secondary,27,Ch27 Bacteria and Archaea,1
secondary,28,Ch28 Protists,1
secondary,37,Ch37 Soil and Plant Nutrition,1
secondary,42,Ch42 Circulation and Gas Exchange,1
secondary,45,Ch45 Hormones and the Endocrine System,1
secondary,46,Ch46 Animal Reproduction,1
secondary,48,"Ch48 Neurons, Synapses, and Signaling",1
secondary,49,Ch49 Nervous Systems,1
both,6,Ch06 A Tour of the Cell,4
both,11,Ch11 Cell Communication,3
both,17,Ch17 Gene Expression: From Gene to Protein,3
both,18,Ch18 Regulation of Gene Expression,3
both,20,Ch20 DNA Tools and Biotechnology,3
both,37,Ch37 Soil and Plant Nutrition,3
both,38,Ch38 Angiosperm Reproduction and Biotechnology,3
both,39,Ch39 Plant Responses to Internal and External Signals,3
both,48,"Ch48 Neurons, Synapses, and Signaling",3
both,5,Ch05 The Structure and Function of Large Biological Molecules,2
both,12,Ch12 The Cell Cycle,2
both,24,Ch24 The Origin of Species,2
both,27,Ch27 Bacteria and Archaea,2
both,28,Ch28 Protists,2
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",2
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
both,41,Ch41 Animal Nutrition,2
both,42,Ch42 Circulation and Gas Exchange,2
both,46,Ch46 Animal Reproduction,2
both,47,Ch47 Animal Development,2
both,49,Ch49 Nervous Systems,2
both,50,Ch50 Sensory and Motor Mechanisms,2
both,9,Ch09 Cellular Respiration and Fermentation,1
both,10,Ch10 Photosynthesis,1
both,16,Ch16 The Molecular Basis of Inheritance,1
both,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
both,33,Ch33 An Introduction to Invertebrates,1
both,43,Ch43 The Immune System,1
both,44,Ch44 Osmoregulation and Excretion,1
both,45,Ch45 Hormones and the Endocrine System,1
both,54,Ch54 Community Ecology,1
