mode,chapter_number,chapter,count
primary,42,Ch42 Circulation and Gas Exchange,4
primary,18,Ch18 Regulation of Gene Expression,3
primary,27,Ch27 Bacteria and Archaea,3
primary,31,Ch31 Fungi,3
primary,33,Ch33 An Introduction to Invertebrates,3
primary,45,Ch45 Hormones and the Endocrine System,3
primary,9,Ch09 Cellular Respiration and Fermentation,2
primary,11,Ch11 Cell Communication,2
primary,15,Ch15 The Chromosomal Basis of Inheritance,2
primary,20,Ch20 DNA Tools and Biotechnology,2
primary,43,Ch43 The Immune System,2
primary,49,Ch49 Nervous Systems,2
primary,50,Ch50 Sensory and Motor Mechanisms,2
primary,5,Ch05 The Structure and Function of Large Biological Molecules,1
primary,6,Ch06 A Tour of the Cell,1
primary,7,Ch07 Membrane Structure and Function,1
primary,8,Ch08 An Introduction to Metabolism,1
primary,12,Ch12 The Cell Cycle,1
primary,14,Ch14 Mendel and the Gene Idea,1
primary,16,Ch16 The Molecular Basis of Inheritance,1
primary,17,Ch17 Gene Expression: From Gene to Protein,1
primary,23,Ch23 The Evolution of Populations,1
primary,28,Ch28 Protists,1
primary,40,Ch40 Basic Principles of Animal Form and Function,1
primary,41,Ch41 Animal Nutrition,1
primary,44,Ch44 Osmoregulation and Excretion,1
primary,46,Ch46 Animal Reproduction,1
primary,47,Ch47 Animal Development,1
primary,48,"Ch48 Neurons, Synapses, and Signaling",1
primary,51,Ch51 Animal Behavior,1
secondary,21,Ch21 Genomes and Their Evolution,2
secondary,5,Ch05 The Structure and Function of Large Biological Molecules,1
secondary,15,Ch15 The Chromosomal Basis of Inheritance,1
secondary,18,Ch18 Regulation of Gene Expression,1
secondary,28,Ch28 Protists,1
secondary,37,Ch37 Soil and Plant Nutrition,1
secondary,46,Ch46 Animal Reproduction,1
secondary,48,"Ch48 Neurons, Synapses, and Signaling",1
both,18,Ch18 Regulation of Gene Expression,4
both,42,Ch42 Circulation and Gas Exchange,4
both,15,Ch15 The Chromosomal Basis of Inheritance,3
both,27,Ch27 Bacteria and Archaea,3
both,31,Ch31 Fungi,3
both,33,Ch33 An Introduction to Invertebrates,3
both,45,Ch45 Hormones and the Endocrine System,3
both,5,Ch05 The Structure and Function of Large Biological Molecules,2
both,9,Ch09 Cellular Respiration and Fermentation,2
both,11,Ch11 Cell Communication,2
both,20,Ch20 DNA Tools and Biotechnology,2
both,21,Ch21 Genomes and Their Evolution,2
both,28,Ch28 Protists,2
both,43,Ch43 The Immune System,2
both,46,Ch46 Animal Reproduction,2
both,48,"Ch48 Neurons, Synapses, and Signaling",2
both,49,Ch49 Nervous Systems,2
both,50,Ch50 Sensory and Motor Mechanisms,2
both,6,Ch06 A Tour of the Cell,1
both,7,Ch07 Membrane Structure and Function,1
both,8,Ch08 An Introduction to Metabolism,1
both,12,Ch12 The Cell Cycle,1
both,14,Ch14 Mendel and the Gene Idea,1
both,16,Ch16 The Molecular Basis of Inheritance,1
both,17,Ch17 Gene Expression: From Gene to Protein,1
both,23,Ch23 The Evolution of Populations,1
both,37,Ch37 Soil and Plant Nutrition,1
both,40,Ch40 Basic Principles of Animal Form and Function,1
both,41,Ch41 Animal Nutrition,1
both,44,Ch44 Osmoregulation and Excretion,1
both,47,Ch47 Animal Development,1
both,51,Ch51 Animal Behavior,1
