題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,官方答案PDF頁,釋疑PDF頁,官方第二次釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-110-Q01,FORMAL,False,D,D,8/17及8/19第二次會議兩版生物釋疑均維持原答案D,23,23,1,1,29,5,34,questions/Q01.png,812acb6510565072b47f9975c707308af10451ed103e548992a5178338bdea73,L1085,17.5 / Types of Small-Scale Mutations,,,17.5 / Types of Small-Scale Mutations：判斷編碼序列近起點單一插入造成移碼，核心是小尺度突變類型及蛋白後果。,無另列最小次條目；以357–359閱讀框機制和兩版釋疑確認D；保留最可能與非絕對傷害的界線，主17.5不擴成DNA複製。,官方D，兩版釋疑維持。非三倍數插入使插入點之後的閱讀框改變，可能提前終止；三核苷酸缺失通常不移碼。官方「整個蛋白序列完全錯誤」及不存在較輕情形過於絕對：插入前序列不因此改變，傷害仍依位置與功能而異。題問最可能，保留D並分開記錄科學限定。,"357,358,359","406,407,408",Codex /root,ISU-110-R2-Q01
ISU-110-Q02,FORMAL,False,A,A,8/17及8/19第二次會議兩版生物釋疑均維持原答案A,23,23,1,1,29,5,34,questions/Q02.png,c0dd0c902b63a65cfcb24e9e3efd79e31f947f9f88f6a3c5e1790a539ed372a1,L2089,33 / An Introduction to Invertebrates,L2133,33.4 / Arthropods,33 / An Introduction to Invertebrates：整體無脊椎動物的物種數與包含關係在第33章導論686–689，先於33.1；真實目錄沒有更小導論條目。,33.4 / Arthropods：節肢動物與昆蟲是無脊椎動物子集合，706及710補足比較，保留同章次目。,官方A，兩版釋疑維持。課本686標示無脊椎動物超過已知動物物種95%；昆蟲屬節肢動物，節肢動物屬無脊椎動物。「族群」在題中泛指類群，並非生態學同種族群；無脊椎動物也不是一個單系分類階級，物種數不能換成個體數。,"686,687,688,689,706,710","735,736,737,738,755,759",Codex /root,ISU-110-R2-Q02
ISU-110-Q03,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,23,23,1,1,29,,,questions/Q03.png,e220159bfe0105684b33d1f9d47ca1e8d635ab801d79f4caa066c66bbfe12c2e,L2977,44.4 / Solute Gradients and Water Conservation,L2974,44.4 / From Blood Filtrate to Urine: A Closer Look,44.4 / Solute Gradients and Water Conservation：亨利氏環維持腎髓質滲透梯度，使水分回收及濃縮尿可行。,44.4 / From Blood Filtrate to Urine: A Closer Look：逐段濾液處理提供降支水通透、升支鹽運輸等機制，同章仍保存。,官方D。高滲髓質有利降支與可透水集尿管的水再吸收；上升支不透水而運輸鹽，有助建立梯度。不是增加腎臟產尿量或直接加速腎小球過濾；集尿管水通透性仍受ADH等條件控制。,"987,988,989,990","1036,1037,1038,1039",Codex /root,ISU-110-R2-Q03
ISU-110-Q04,FORMAL,False,B,B,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,23,23,1,1,29,,,questions/Q04.png,67f082e221dedb07ac6197bce3f28f2180a526a862afe32ac27b919bb1771936,L3242,49.1 / Organization of the Vertebrate Nervous System,,,49.1 / Organization of the Vertebrate Nervous System：縮手反射由脊髓局部迴路完成，先於大腦對疼痛的有意識感知。,無另列最小次條目；脊髓迴路已足夠解釋先縮手，不能概括所有感覺纖維無髓鞘；主神經系統組織，B確認。,官方B。脊髓整合感覺輸入與運動輸出，使縮手可先發生；訊息仍可上傳腦，不代表大腦永遠不參與疼痛或動作調節。,"1087,1088","1136,1137",Codex /root,ISU-110-R2-Q04
ISU-110-Q05,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,23,23,1,1,29,,,questions/Q05.png,389f12aeb07eaeb463cd597296dc230386847a0e956c08b66f48c8282a868057,L1945,30.3 / Angiosperm Diversity,L2303,35.3 / Primary Growth of Shoots,30.3 / Angiosperm Diversity：單子葉與真雙子葉的典型差異表直接比較子葉、葉脈與維管束等特徵。,35.3 / Primary Growth of Shoots：莖初生生長中的維管束排列支持題中判別特徵。,官方D。植株大小在兩群均可變動，單靠大小不能有效區分；子葉數及典型葉脈、莖維管束排列較有用。題文和教材均以真雙子葉為比較對象，不把典型差異寫成沒有例外的定律。,"649,650,759,760,769,770","698,699,808,809,818,819",Codex /root,ISU-110-R2-Q05
ISU-110-Q06,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,23,23,1,1,29,,,questions/Q06.png,14d1d02d25d987deee226f23c526286054a7543bc2ccd1a2921fa7bb6d1315c5,L2469,"37.3 / Epiphytes, Parasitic Plants, and Carnivorous Plants",L2450,37.2 / Essential Elements,"37.3 / Epiphytes, Parasitic Plants, and Carnivorous Plants：食蟲植物在缺乏礦質的環境由獵物取得氮，直接落在特殊植物營養條目。",37.2 / Essential Elements：必要礦物元素說明氮用於蛋白質等含氮分子合成。,官方D。捕食昆蟲補充氮等礦質，氮可用於蛋白質合成；食蟲植物通常仍行光合作用，不把昆蟲視為取代一切光合碳源。題中醣與脂肪不是主要以氮構成的選項。,"810,818,819","859,867,868",Codex /root,ISU-110-R2-Q06
ISU-110-Q07,FORMAL,False,A,A,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,23,23,1,1,29,,,questions/Q07.png,62464afbf070285205a3c024c5194a1af21f3ad12cca7439a3a87d0bc7910f86,L2685,41.1 / Essential Nutrients,,,41.1 / Essential Nutrients：考人體無法充分合成而須由膳食取得的必需胺基酸。,無另列最小次條目；MedlinePlus現列甲硫胺酸與組胺酸，差異保存；四選項仍僅A為必需，無未解分類問題。,官方A，甲硫胺酸為必需胺基酸。本地12版899寫成人8種、嬰兒另需組胺酸；MedlinePlus現列9種包括組胺酸。保留本地教材版本差異，不以舊8種說法取代現行定義；本題A不受影響。,"899,900","948,949",Codex /root,ISU-110-R2-Q07
ISU-110-Q08,FORMAL,False,B,B,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,23,23,1,1,29,,,questions/Q08.png,815be3f89b0b5a34a3599892251ccb1dacce47ba19f07c5713d9c5ba653ed8fe,L0920,14.4 / Genetic Testing and Counseling,,,14.4 / Genetic Testing and Counseling：新生兒PKU篩檢屬遺傳疾病檢測與諮詢，正文289有明確情境。,無另列最小次條目；Phe累積為題中PKU異常指標，篩檢可同測Tyr但不因此改答；剔除過廣Nature and Nurture次目。,官方B，篩檢異常重點為血中苯丙胺酸升高。GeneReviews說明乾血點測Phe及Tyr；陽性篩檢需後續確認，不把單次篩檢直接當確診，也不把酪胺酸誤選為題問累積物。,"288,289","337,338",Codex /root,ISU-110-R2-Q08
ISU-110-Q09,FORMAL,False,C,C,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,23,23,1,1,29,,,questions/Q09.png,853c3d7747a7d9b6e485577e0d5bc7daa80384788d7d036b77a3c899ec36270f,L2381,36.3 / Bulk Flow Transport via the Xylem,L2368,36.2 / Long-Distance Transport: The Role of Bulk Flow,36.3 / Bulk Flow Transport via the Xylem：百公尺木質部運水依賴蒸散引起的張力與整體流，非靠分子擴散完成長距離運輸。,36.2 / Long-Distance Transport: The Role of Bulk Flow：長距離整體流條目明確區別bulk flow與diffusion。,官方C。內聚、對管壁附著及蒸散拉力支持木質部上升水柱，擴散不是此距離輸水的主機制。原題「聚合力」保留，依選項意圖解為附著力；不能推成植物任何部位都不用擴散或滲透。,"791,792,793,794,795,796","840,841,842,843,844,845",Codex /root,ISU-110-R2-Q09
ISU-110-Q10,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,24,24,2,1,29,,,questions/Q10.png,b8fe26979711cd60ecc36cc4582c28d82cd792d94d1ad334f64c664b6cabf31c,L3231,48.4 / Neurotransmitters,,,48.4 / Neurotransmitters：神經傳遞物質條目1081明載肉毒桿菌毒素抑制乙醯膽鹼釋出。,無另列最小次條目；1081直接點名botulinum及ACh，D確認；不把停止釋出混成回收，移除Termination次目。,官方D。神經肌肉接點ACh釋放受阻，肌肉興奮與收縮下降；不是增加ACh清除或直接抑制血清素。毒素作用機制與正常訊息終止不同，因此不另列清除訊息條目。,"1080,1081","1129,1130",Codex /root,ISU-110-R2-Q10
