mode,chapter_number,chapter,count
primary,42,Ch42 Circulation and Gas Exchange,5
primary,43,Ch43 The Immune System,5
primary,11,Ch11 Cell Communication,3
primary,18,Ch18 Regulation of Gene Expression,3
primary,21,Ch21 Genomes and Their Evolution,3
primary,50,Ch50 Sensory and Motor Mechanisms,3
primary,5,Ch05 The Structure and Function of Large Biological Molecules,2
primary,6,Ch06 A Tour of the Cell,2
primary,15,Ch15 The Chromosomal Basis of Inheritance,2
primary,19,Ch19 Viruses,2
primary,20,Ch20 DNA Tools and Biotechnology,2
primary,44,Ch44 Osmoregulation and Excretion,2
primary,49,Ch49 Nervous Systems,2
primary,7,Ch07 Membrane Structure and Function,1
primary,9,Ch09 Cellular Respiration and Fermentation,1
primary,10,Ch10 Photosynthesis,1
primary,12,Ch12 The Cell Cycle,1
primary,13,Ch13 Meiosis and Sexual Life Cycles,1
primary,16,Ch16 The Molecular Basis of Inheritance,1
primary,17,Ch17 Gene Expression: From Gene to Protein,1
primary,22,Ch22 Descent with Modification: A Darwinian View of Life,1
primary,23,Ch23 The Evolution of Populations,1
primary,24,Ch24 The Origin of Species,1
primary,26,Ch26 Phylogeny and the Tree of Life,1
primary,39,Ch39 Plant Responses to Internal and External Signals,1
primary,41,Ch41 Animal Nutrition,1
primary,47,Ch47 Animal Development,1
secondary,11,Ch11 Cell Communication,2
secondary,15,Ch15 The Chromosomal Basis of Inheritance,2
secondary,17,Ch17 Gene Expression: From Gene to Protein,2
secondary,18,Ch18 Regulation of Gene Expression,2
secondary,20,Ch20 DNA Tools and Biotechnology,2
secondary,45,Ch45 Hormones and the Endocrine System,2
secondary,48,"Ch48 Neurons, Synapses, and Signaling",2
secondary,5,Ch05 The Structure and Function of Large Biological Molecules,1
secondary,6,Ch06 A Tour of the Cell,1
secondary,9,Ch09 Cellular Respiration and Fermentation,1
secondary,19,Ch19 Viruses,1
secondary,27,Ch27 Bacteria and Archaea,1
secondary,41,Ch41 Animal Nutrition,1
secondary,44,Ch44 Osmoregulation and Excretion,1
secondary,50,Ch50 Sensory and Motor Mechanisms,1
both,11,Ch11 Cell Communication,5
both,18,Ch18 Regulation of Gene Expression,5
both,42,Ch42 Circulation and Gas Exchange,5
both,43,Ch43 The Immune System,5
both,15,Ch15 The Chromosomal Basis of Inheritance,4
both,20,Ch20 DNA Tools and Biotechnology,4
both,50,Ch50 Sensory and Motor Mechanisms,4
both,5,Ch05 The Structure and Function of Large Biological Molecules,3
both,6,Ch06 A Tour of the Cell,3
both,17,Ch17 Gene Expression: From Gene to Protein,3
both,19,Ch19 Viruses,3
both,21,Ch21 Genomes and Their Evolution,3
both,44,Ch44 Osmoregulation and Excretion,3
both,9,Ch09 Cellular Respiration and Fermentation,2
both,41,Ch41 Animal Nutrition,2
both,45,Ch45 Hormones and the Endocrine System,2
both,48,"Ch48 Neurons, Synapses, and Signaling",2
both,49,Ch49 Nervous Systems,2
both,7,Ch07 Membrane Structure and Function,1
both,10,Ch10 Photosynthesis,1
both,12,Ch12 The Cell Cycle,1
both,13,Ch13 Meiosis and Sexual Life Cycles,1
both,16,Ch16 The Molecular Basis of Inheritance,1
both,22,Ch22 Descent with Modification: A Darwinian View of Life,1
both,23,Ch23 The Evolution of Populations,1
both,24,Ch24 The Origin of Species,1
both,26,Ch26 Phylogeny and the Tree of Life,1
both,27,Ch27 Bacteria and Archaea,1
both,39,Ch39 Plant Responses to Internal and External Signals,1
both,47,Ch47 Animal Development,1
