mode,chapter_number,chapter,count
primary,9,Ch09 Cellular Respiration and Fermentation,3
primary,15,Ch15 The Chromosomal Basis of Inheritance,3
primary,20,Ch20 DNA Tools and Biotechnology,3
primary,27,Ch27 Bacteria and Archaea,3
primary,35,"Ch35 Vascular Plant Structure, Growth, and Development",3
primary,43,Ch43 The Immune System,3
primary,6,Ch06 A Tour of the Cell,2
primary,11,Ch11 Cell Communication,2
primary,17,Ch17 Gene Expression: From Gene to Protein,2
primary,23,Ch23 The Evolution of Populations,2
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
primary,39,Ch39 Plant Responses to Internal and External Signals,2
primary,44,Ch44 Osmoregulation and Excretion,2
primary,49,Ch49 Nervous Systems,2
primary,5,Ch05 The Structure and Function of Large Biological Molecules,1
primary,7,Ch07 Membrane Structure and Function,1
primary,10,Ch10 Photosynthesis,1
primary,12,Ch12 The Cell Cycle,1
primary,14,Ch14 Mendel and the Gene Idea,1
primary,16,Ch16 The Molecular Basis of Inheritance,1
primary,18,Ch18 Regulation of Gene Expression,1
primary,19,Ch19 Viruses,1
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
primary,40,Ch40 Basic Principles of Animal Form and Function,1
primary,41,Ch41 Animal Nutrition,1
primary,42,Ch42 Circulation and Gas Exchange,1
primary,45,Ch45 Hormones and the Endocrine System,1
primary,46,Ch46 Animal Reproduction,1
primary,47,Ch47 Animal Development,1
primary,52,Ch52 An Introduction to Ecology and the Biosphere,1
secondary,5,Ch05 The Structure and Function of Large Biological Molecules,1
secondary,9,Ch09 Cellular Respiration and Fermentation,1
secondary,11,Ch11 Cell Communication,1
secondary,18,Ch18 Regulation of Gene Expression,1
secondary,19,Ch19 Viruses,1
secondary,20,Ch20 DNA Tools and Biotechnology,1
secondary,21,Ch21 Genomes and Their Evolution,1
secondary,43,Ch43 The Immune System,1
both,9,Ch09 Cellular Respiration and Fermentation,4
both,20,Ch20 DNA Tools and Biotechnology,4
both,43,Ch43 The Immune System,4
both,11,Ch11 Cell Communication,3
both,15,Ch15 The Chromosomal Basis of Inheritance,3
both,27,Ch27 Bacteria and Archaea,3
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",3
both,5,Ch05 The Structure and Function of Large Biological Molecules,2
both,6,Ch06 A Tour of the Cell,2
both,17,Ch17 Gene Expression: From Gene to Protein,2
both,18,Ch18 Regulation of Gene Expression,2
both,19,Ch19 Viruses,2
both,23,Ch23 The Evolution of Populations,2
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
both,39,Ch39 Plant Responses to Internal and External Signals,2
both,44,Ch44 Osmoregulation and Excretion,2
both,49,Ch49 Nervous Systems,2
both,7,Ch07 Membrane Structure and Function,1
both,10,Ch10 Photosynthesis,1
both,12,Ch12 The Cell Cycle,1
both,14,Ch14 Mendel and the Gene Idea,1
both,16,Ch16 The Molecular Basis of Inheritance,1
both,21,Ch21 Genomes and Their Evolution,1
both,38,Ch38 Angiosperm Reproduction and Biotechnology,1
both,40,Ch40 Basic Principles of Animal Form and Function,1
both,41,Ch41 Animal Nutrition,1
both,42,Ch42 Circulation and Gas Exchange,1
both,45,Ch45 Hormones and the Endocrine System,1
both,46,Ch46 Animal Reproduction,1
both,47,Ch47 Animal Development,1
both,52,Ch52 An Introduction to Ecology and the Biosphere,1
