mode,chapter_number,chapter,count
primary,15,Ch15 The Chromosomal Basis of Inheritance,6
primary,26,Ch26 Phylogeny and the Tree of Life,4
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,4
primary,6,Ch06 A Tour of the Cell,3
primary,39,Ch39 Plant Responses to Internal and External Signals,3
primary,9,Ch09 Cellular Respiration and Fermentation,2
primary,11,Ch11 Cell Communication,2
primary,14,Ch14 Mendel and the Gene Idea,2
primary,17,Ch17 Gene Expression: From Gene to Protein,2
primary,20,Ch20 DNA Tools and Biotechnology,2
primary,23,Ch23 The Evolution of Populations,2
primary,25,Ch25 The History of Life on Earth,2
primary,35,"Ch35 Vascular Plant Structure, Growth, and Development",2
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
primary,54,Ch54 Community Ecology,2
primary,7,Ch07 Membrane Structure and Function,1
primary,10,Ch10 Photosynthesis,1
primary,12,Ch12 The Cell Cycle,1
primary,24,Ch24 The Origin of Species,1
primary,37,Ch37 Soil and Plant Nutrition,1
primary,40,Ch40 Basic Principles of Animal Form and Function,1
primary,43,Ch43 The Immune System,1
primary,45,Ch45 Hormones and the Endocrine System,1
primary,46,Ch46 Animal Reproduction,1
primary,52,Ch52 An Introduction to Ecology and the Biosphere,1
secondary,6,Ch06 A Tour of the Cell,2
secondary,9,Ch09 Cellular Respiration and Fermentation,2
secondary,11,Ch11 Cell Communication,2
secondary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,2
secondary,39,Ch39 Plant Responses to Internal and External Signals,2
secondary,14,Ch14 Mendel and the Gene Idea,1
secondary,18,Ch18 Regulation of Gene Expression,1
secondary,22,Ch22 Descent with Modification: A Darwinian View of Life,1
secondary,23,Ch23 The Evolution of Populations,1
secondary,35,"Ch35 Vascular Plant Structure, Growth, and Development",1
secondary,37,Ch37 Soil and Plant Nutrition,1
secondary,38,Ch38 Angiosperm Reproduction and Biotechnology,1
secondary,54,Ch54 Community Ecology,1
both,15,Ch15 The Chromosomal Basis of Inheritance,6
both,6,Ch06 A Tour of the Cell,5
both,38,Ch38 Angiosperm Reproduction and Biotechnology,5
both,39,Ch39 Plant Responses to Internal and External Signals,5
both,9,Ch09 Cellular Respiration and Fermentation,4
both,11,Ch11 Cell Communication,4
both,26,Ch26 Phylogeny and the Tree of Life,4
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,4
both,14,Ch14 Mendel and the Gene Idea,3
both,23,Ch23 The Evolution of Populations,3
both,35,"Ch35 Vascular Plant Structure, Growth, and Development",3
both,54,Ch54 Community Ecology,3
both,17,Ch17 Gene Expression: From Gene to Protein,2
both,20,Ch20 DNA Tools and Biotechnology,2
both,25,Ch25 The History of Life on Earth,2
both,37,Ch37 Soil and Plant Nutrition,2
both,7,Ch07 Membrane Structure and Function,1
both,10,Ch10 Photosynthesis,1
both,12,Ch12 The Cell Cycle,1
both,18,Ch18 Regulation of Gene Expression,1
both,22,Ch22 Descent with Modification: A Darwinian View of Life,1
both,24,Ch24 The Origin of Species,1
both,40,Ch40 Basic Principles of Animal Form and Function,1
both,43,Ch43 The Immune System,1
both,45,Ch45 Hormones and the Endocrine System,1
both,46,Ch46 Animal Reproduction,1
both,52,Ch52 An Introduction to Ecology and the Biosphere,1
