題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
CMU-108-Q01,FORMAL,False,E,E,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,2,2,4,,questions/Q01.png,c6b3bd4b434111a41beb17169abb5085af1d0644e0d1905881d957635b90a3bb,L0875,14.1 / The Law of Independent Assortment,L0872,14.1 / The Law of Segregation,14.1 / The Law of Independent Assortment：雙因子雜交個體在兩基因獨立分配時產生四種等比例配子，測交直接讀出配子比例。,14.1 / The Law of Segregation：分離定律條目內的測交正文說明與aabb交配的判讀設計，Testcross未另列於目錄，不自造葉節點。,原題共用背景AAbb×aaBB得AaBb；在未連鎖的題設下，與aabb測交得AaBb、Aabb、aaBb、aabb各1/4，採E。獨立分配是本題遺傳比例假設，不等於所有物理位置都在不同染色體。,"272,273,274,275","321,322,323,324",Codex /root,CMU-108-R2-Q01
CMU-108-Q02,FORMAL,False,B,B,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,2,2,4,,questions/Q02.png,09f62fc939d487d893ba552dd7162bb56d9c3c10f9106989fcad207bd0593c04,L0955,15.3 / How Linkage Affects Inheritance,L0958,15.3 / Genetic Recombination and Linkage,15.3 / How Linkage Affects Inheritance：完全連鎖時同一染色體的等位基因組合整組傳遞。,15.3 / Genetic Recombination and Linkage：與雙隱性親本的後代用來辨認親本型及重組型。,共用親本確定F1相位為Ab/aB；完全連鎖無交換時只產Ab、aB配子，與aabb測交得Aabb與aaBb，採B。不能把相位改成AB/ab。,"301,302,303,304","350,351,352,353",Codex /root,CMU-108-R2-Q02
CMU-108-Q03,FORMAL,False,D,D,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,2,2,4,,questions/Q03.png,4c93105280d87fc4eaeb146cbda7280cc7d0c0d1604865c1e3fbd8e7aecab0d7,L2486,38.1 / The Angiosperm Life Cycle: An Overview,"L2489,L2495",38.1 / Development of Female Gametophytes (Embryo Sacs) ; 38.1 / Seed Development and Structure,38.1 / The Angiosperm Life Cycle: An Overview：雙受精的精子與兩個極核融合產生胚乳，必須從被子植物生活史讀出核來源。,38.1 / Development of Female Gametophytes (Embryo Sacs)：母本胚囊由大孢子形成，提供兩個aB極核；38.1 / Seed Development and Structure：種子發育條目說明三倍體胚乳與二倍體胚的區別。,母本aaBB的兩個極核各aB，父本AAbb精子Ab，合成AaaBBb，採D。AaBb是胚而非胚乳。Double Fertilization是正文小標，不是獨立目錄葉節點；主分類保留真實目錄的生活史概觀。,"826,827,828","875,876,877",Codex /root,CMU-108-R2-Q03
CMU-108-Q04,FORMAL,False,C,C,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,2,2,4,,questions/Q04.png,d91b97308634d7628631ea3b6ee4fa1898645db1c80301e1b629e75e017d261c,L0961,15.3 / Mapping the Distance Between Genes Using Recombination Data: Scientific Inquiry,L0958,15.3 / Genetic Recombination and Linkage,15.3 / Mapping the Distance Between Genes Using Recombination Data: Scientific Inquiry：依重組後代數除以總後代數計算遺傳圖距。,15.3 / Genetic Recombination and Linkage：後代基因型須還原成F1配子，判別親本與重組型。,本題回交AAbb，不是與aabb測交。AABb304、AAbb824、AaBb809、Aabb363對應F1的AB、Ab、aB、ab；重組為304+363，總2300，重組率29%，採C。,"302,303,304,305,306","351,352,353,354,355",Codex /root,CMU-108-R2-Q04
CMU-108-Q05,FORMAL,False,B,B,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,2,2,4,,questions/Q05.png,c0e65e3777ccee5363f02a3b8e5193a972d754893e5d74b14058574b33c52dfc,L1488,24.1 / The Biological Species Concept,,,24.1 / The Biological Species Concept：嘗試交配但生殖器構造不合，是合子前機械隔離。,無另列最小次條目；教材的隔離類型依真正阻斷環節分類；原題明示構造阻礙。,題述雄性大角麋鹿對雌性乳牛呼喚並嘗試交配，阻礙是構造不匹配，採B。不能僅因有呼喚就選行為隔離。緬因州情境按原題保留，未聲稱另外查證該具名自然史事件。,"507,508,509,510","556,557,558,559",Codex /root,CMU-108-R2-Q05
CMU-108-Q06,FORMAL,False,E,E,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,2,2,4,,questions/Q06.png,05fe394a13e76832d948fc3a4c9178db2950d43f63c84717cbbcc3436bd632de,L0575,9.3 / The Citric Acid Cycle,,,9.3 / The Citric Acid Cycle：檸檬酸循環兩個氧化脫羧步驟各放出一個二氧化碳。,無另列最小次條目；反應底物及兩次脫羧可直接對照教材循環圖，無須另列一般酵素條目。,isocitrate→α-ketoglutarate及α-ketoglutarate→succinyl-CoA各釋出一個CO2，採E。原文α-ketogultarate的拼字照留於題圖及題文，科學說明使用α-ketoglutarate。,"172,173","221,222",Codex /root,CMU-108-R2-Q06
CMU-108-Q07,FORMAL,False,E,E,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,3,3,4,,questions/Q07.png,3d5b1609cce89f4006dd2254e330175dc1d84a86e9aac09179d840c8be33f4fa,L1698,26.6 / The Important Role of Horizontal Gene Transfer,L2527,38.3 / Plant Biotechnology and Genetic Engineering,26.6 / The Important Role of Horizontal Gene Transfer：跨物種而非親子世代的基因移入，是水平基因轉移。,38.3 / Plant Biotechnology and Genetic Engineering：農桿菌Ti質體是植物基因工程的具體載體應用。,農桿菌將DNA移入植物，採E的horizontal gene transfer。不是染色體內移位，也不是exon shuffling；水平轉移的分類框架與Ti載體的實例分開定位。,"568,569,837,838","617,618,886,887",Codex /root,CMU-108-R2-Q07
CMU-108-Q08,FORMAL,False,C,C,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,3,3,4,,questions/Q08.png,bef87571f308e5fdbc09f6ce905293cf72c53ad936b97b9f8d00d625f7dfae23,L1675,26.4 / Gene Duplications and Gene Families,,,26.4 / Gene Duplications and Gene Families：同一祖先基因複製並分化所生的基因是旁系同源。,無另列最小次條目；以複製事件和物種分化事件區分，落在實際旁系同源最小條目。,同一物種的globin基因家族來自基因複製，為paralogous genes，採C。Orthologous指物種分化後的對應同源基因，不能僅因序列相似就互換。,"565,566","614,615",Codex /root,CMU-108-R2-Q08
CMU-108-Q09,FORMAL,False,C,C,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,3,3,4,,questions/Q09.png,8a792d0ef11947d74e12ac5e2869722dd3fbd1d0ec2e6f1315392427e48cd798,L2289,35.1 / Common Types of Plant Cells,L2410,36.5 / Movement from Sugar Sources to Sugar Sinks,35.1 / Common Types of Plant Cells：維管組織細胞型的比較包含裸子植物的篩細胞與被子植物的篩管分子。,36.5 / Movement from Sugar Sources to Sugar Sinks：韌皮部運輸條目補足篩管分子與伴細胞的功能關係。,裸子植物使用篩細胞，採C；被子植物典型為篩管分子與伴細胞。裸子植物可有相關白蛋白細胞，但不是被子植物的真伴細胞。分類依植物組織細胞型，不把裸子植物韌皮部說成完全沒有支持細胞。,"764,765,799,800","813,814,848,849",Codex /root,CMU-108-R2-Q09
CMU-108-Q10,FORMAL,False,C,C,未列於已取得108生物釋疑PDF7下半部–9；依同年度原答案PDF4採計,3,3,4,,questions/Q10.png,ea56835f93708022b81fa75b0338f9004c2f0a908bc81dab0a7911f07e48478a,L1049,17.2 / Molecular Components of Transcription,,,17.2 / Molecular Components of Transcription：題目直接辨別轉錄所使用的RNA聚合酶類型。,無另列最小次條目；分類為轉錄分子組件；特定聚合酶對應有另列補充證據。,真核細胞核內5S rRNA由RNA polymerase III轉錄，採C。Campbell印刷342概述三種核RNA聚合酶，詳述Pol II；5S與Pol III的明確對應另由Cooper教材及原始研究補證，不冒稱Campbell此頁已逐項列出。,"342,343","391,392",Codex /root,CMU-108-R2-Q10
