mode,chapter_number,chapter,count
primary,10,Ch10 Photosynthesis,3
primary,18,Ch18 Regulation of Gene Expression,3
primary,36,Ch36 Resource Acquisition and Transport in Vascular Plants,3
primary,41,Ch41 Animal Nutrition,3
primary,49,Ch49 Nervous Systems,3
primary,53,Ch53 Population Ecology,3
primary,8,Ch08 An Introduction to Metabolism,2
primary,9,Ch09 Cellular Respiration and Fermentation,2
primary,16,Ch16 The Molecular Basis of Inheritance,2
primary,34,Ch34 The Origin and Evolution of Vertebrates,2
primary,37,Ch37 Soil and Plant Nutrition,2
primary,38,Ch38 Angiosperm Reproduction and Biotechnology,2
primary,7,Ch07 Membrane Structure and Function,1
primary,11,Ch11 Cell Communication,1
primary,13,Ch13 Meiosis and Sexual Life Cycles,1
primary,14,Ch14 Mendel and the Gene Idea,1
primary,17,Ch17 Gene Expression: From Gene to Protein,1
primary,19,Ch19 Viruses,1
primary,20,Ch20 DNA Tools and Biotechnology,1
primary,21,Ch21 Genomes and Their Evolution,1
primary,23,Ch23 The Evolution of Populations,1
primary,24,Ch24 The Origin of Species,1
primary,28,Ch28 Protists,1
primary,29,Ch29 Plant Diversity I: How Plants Colonized Land,1
primary,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
primary,42,Ch42 Circulation and Gas Exchange,1
primary,43,Ch43 The Immune System,1
primary,45,Ch45 Hormones and the Endocrine System,1
primary,47,Ch47 Animal Development,1
primary,48,"Ch48 Neurons, Synapses, and Signaling",1
primary,50,Ch50 Sensory and Motor Mechanisms,1
primary,55,Ch55 Ecosystems and Restoration Ecology,1
secondary,17,Ch17 Gene Expression: From Gene to Protein,2
secondary,37,Ch37 Soil and Plant Nutrition,2
secondary,45,Ch45 Hormones and the Endocrine System,2
secondary,8,Ch08 An Introduction to Metabolism,1
secondary,9,Ch09 Cellular Respiration and Fermentation,1
secondary,15,Ch15 The Chromosomal Basis of Inheritance,1
secondary,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,1
secondary,31,Ch31 Fungi,1
secondary,47,Ch47 Animal Development,1
secondary,51,Ch51 Animal Behavior,1
both,37,Ch37 Soil and Plant Nutrition,4
both,8,Ch08 An Introduction to Metabolism,3
both,9,Ch09 Cellular Respiration and Fermentation,3
both,10,Ch10 Photosynthesis,3
both,17,Ch17 Gene Expression: From Gene to Protein,3
both,18,Ch18 Regulation of Gene Expression,3
both,36,Ch36 Resource Acquisition and Transport in Vascular Plants,3
both,41,Ch41 Animal Nutrition,3
both,45,Ch45 Hormones and the Endocrine System,3
both,49,Ch49 Nervous Systems,3
both,53,Ch53 Population Ecology,3
both,16,Ch16 The Molecular Basis of Inheritance,2
both,30,Ch30 Plant Diversity II: The Evolution of Seed Plants,2
both,34,Ch34 The Origin and Evolution of Vertebrates,2
both,38,Ch38 Angiosperm Reproduction and Biotechnology,2
both,47,Ch47 Animal Development,2
both,7,Ch07 Membrane Structure and Function,1
both,11,Ch11 Cell Communication,1
both,13,Ch13 Meiosis and Sexual Life Cycles,1
both,14,Ch14 Mendel and the Gene Idea,1
both,15,Ch15 The Chromosomal Basis of Inheritance,1
both,19,Ch19 Viruses,1
both,20,Ch20 DNA Tools and Biotechnology,1
both,21,Ch21 Genomes and Their Evolution,1
both,23,Ch23 The Evolution of Populations,1
both,24,Ch24 The Origin of Species,1
both,28,Ch28 Protists,1
both,29,Ch29 Plant Diversity I: How Plants Colonized Land,1
both,31,Ch31 Fungi,1
both,42,Ch42 Circulation and Gas Exchange,1
both,43,Ch43 The Immune System,1
both,48,"Ch48 Neurons, Synapses, and Signaling",1
both,50,Ch50 Sensory and Motor Mechanisms,1
both,51,Ch51 Animal Behavior,1
both,55,Ch55 Ecosystems and Restoration Ecology,1
